step,grad_l2
0,3.152650
1,4.513858
2,7.785998
3,9.796679
4,6.220975
5,9.428358
6,8.120373
7,7.183168
8,7.366805
9,5.997984
10,6.972076
11,5.226077
12,4.382208
13,1.767608
14,2.870502
15,1.859050
16,1.604282
17,1.949307
18,2.458438
19,2.096543
20,3.111415
21,1.806491
22,1.926157
23,2.295277
24,0.892824
25,1.620952
26,2.741482
27,1.161942
28,1.047667
29,0.591832
30,0.918952
31,0.397942
32,0.816561
33,0.812870
34,0.943285
35,0.855404
36,0.668439
37,0.498644
38,0.482917
39,0.464177
40,0.320564
41,0.442932
42,0.599329
43,0.501300
44,0.451133
45,0.624408
46,0.525998
47,0.412658
48,0.422428
49,0.565294
50,0.461242
51,0.622700
52,0.479872
53,0.402511
54,0.578640
55,0.670344
56,0.433145
57,0.394806
58,0.528668
59,0.699250
60,0.625705
61,0.817214
62,0.576618
63,0.725448
64,0.498225
65,0.447491
66,0.512495
67,0.502717
68,0.548814
69,0.558391
70,0.527488
71,0.461289
72,0.445439
73,0.507242
74,0.454368
75,0.580483
76,0.574473
77,0.702269
78,0.548735
79,0.605628
80,0.699713
81,0.674784
82,0.601085
83,0.588292
84,0.658298
85,0.777103
86,1.025724
87,0.540550
88,0.573278
89,0.577347
90,0.518112
91,0.550092
92,0.372111
93,0.520357
94,0.659096
95,0.511907
96,0.636158
97,0.862426
98,0.864803
99,0.604122
100,0.660629
101,0.523870
102,0.769720
103,0.540587
104,0.524141
105,0.501796
106,0.589071
107,0.644407
108,0.670931
109,0.714712
110,0.852496
111,0.640828
112,1.082045
113,0.588545
114,0.583017
115,0.549713
116,0.566051
117,0.872599
118,0.694190
119,0.459109
120,0.503677
121,0.851019
122,0.711839
123,0.502763
124,0.702479
125,0.616823
126,0.926695
127,0.581912
128,0.467123
129,0.751861
130,0.779786
131,0.509107
132,0.530717
133,0.519191
134,0.447332
135,0.732627
136,0.613803
137,0.592282
138,0.715128
139,0.572824
140,0.642698
141,0.591896
142,0.522503
143,0.549432
144,0.698703
145,0.478217
146,0.975242
147,0.589615
148,1.616533
149,1.731333
150,0.763462
151,0.651999
152,0.958596
153,1.178961
154,0.595443
155,0.858885
156,0.768087
157,0.865860
158,0.561572
159,0.843137
160,0.766103
161,1.083275
162,0.783448
163,0.920001
164,0.711251
165,0.806041
166,0.743960
167,0.584980
168,0.649792
169,0.691193
170,0.829385
171,0.813906
172,0.772185
173,0.651186
174,0.843458
175,0.773694
176,0.739699
177,0.760620
178,0.740991
