step,fwd_ms,bwd_ms,opt_ms,total_ms
0,270.297,633.130,49.924,953.350
1,238.092,607.005,6.820,851.916
2,228.729,563.955,7.285,799.969
3,225.509,556.784,7.259,789.552
4,234.805,566.282,6.710,807.797
5,216.617,560.278,7.428,784.324
6,219.821,619.322,7.233,846.376
7,240.175,601.579,7.449,849.203
8,240.851,562.064,7.393,810.308
9,255.722,578.681,6.659,841.062
10,249.921,584.277,6.903,841.101
11,321.814,632.962,6.796,961.573
12,239.987,580.180,6.929,827.095
13,236.253,591.257,6.718,834.228
14,212.380,555.774,6.658,774.812
15,251.529,571.266,7.530,830.325
16,256.948,616.353,7.526,880.827
17,317.737,565.499,7.120,890.356
18,227.556,589.671,7.132,824.359
19,255.062,568.193,7.216,830.471
20,240.237,557.453,7.237,804.928
21,246.184,599.230,7.486,852.900
22,218.627,602.000,6.741,827.369
23,248.782,607.847,7.316,863.945
24,245.971,571.004,7.273,824.248
25,240.961,595.861,6.826,843.648
26,241.668,562.984,7.287,811.939
27,220.619,563.628,6.993,791.240
28,255.318,600.722,6.912,862.952
29,222.310,575.600,6.705,804.615
30,240.899,572.360,6.815,820.074
31,238.588,590.439,7.341,836.367
32,235.687,596.536,7.300,839.523
33,228.910,586.020,6.707,821.637
34,229.619,585.544,6.793,821.956
35,228.814,584.065,6.743,819.622
36,232.746,572.812,7.326,812.884
37,236.105,568.419,7.200,811.724
38,227.929,586.829,7.063,821.821
39,221.344,582.839,6.625,810.808
40,223.851,528.997,7.306,760.154
41,225.594,578.270,6.729,810.593
42,238.318,556.634,7.301,802.253
43,235.570,578.860,6.691,821.121
44,224.042,562.135,7.302,793.479
45,230.209,608.242,7.020,845.471
46,232.663,579.393,6.834,818.890
47,228.490,584.329,7.213,820.033
48,237.690,595.319,6.708,839.717
49,222.353,520.326,7.280,749.960
50,202.145,561.565,7.277,770.987
51,213.619,561.917,15.310,790.846
52,225.471,582.383,7.202,815.056
53,237.817,571.072,7.195,816.084
54,221.782,540.126,7.243,769.151
55,211.323,545.002,7.230,763.556
56,209.901,549.846,7.447,767.194
57,200.686,548.885,6.832,756.403
58,213.178,543.762,6.760,763.701
59,205.172,538.412,6.663,750.247
60,233.153,543.456,6.605,783.214
61,199.473,608.818,6.693,814.984
62,210.968,585.249,7.159,803.376
63,210.212,533.331,7.219,750.761
