step,loss
0,2.291411
1,2.664882
2,3.032870
3,3.931488
4,4.899358
5,6.194573
6,6.474840
7,5.496376
8,5.746072
9,4.324948
10,4.223884
11,4.382262
12,2.914401
13,2.983078
14,2.984705
15,3.198288
16,2.773607
17,3.142401
18,2.570920
19,2.364895
20,2.958267
21,2.265289
22,2.497392
23,2.280730
24,2.374874
25,2.434383
26,2.426092
27,2.455111
28,2.184119
29,2.382067
30,2.373627
31,2.237657
32,2.293022
33,2.296818
34,2.241190
35,2.194946
36,2.106277
37,2.101140
38,2.292185
39,2.265643
40,2.113904
41,2.075408
42,2.037976
43,2.183954
44,2.029671
45,2.018141
46,2.162990
47,2.098218
48,2.104501
49,2.102193
50,2.090487
51,2.063824
52,2.107639
53,2.029239
54,2.041415
55,2.055321
56,2.168750
57,2.085516
58,1.969804
59,1.915574
60,2.087573
61,2.087668
62,1.924963
63,1.953637
64,1.919157
65,1.936313
66,2.043758
67,1.998298
68,2.049643
69,1.927122
70,1.979006
71,2.121569
72,2.113420
73,1.914033
74,1.934448
75,1.951499
76,1.849687
77,2.012797
78,1.893884
79,2.029468
80,1.919656
81,1.871441
82,1.932965
83,1.844362
84,1.875970
85,1.822887
86,1.924352
87,1.899045
88,2.044364
89,1.912307
90,1.771232
91,1.845135
92,1.834662
93,1.967413
94,2.018070
95,1.814073
96,1.881243
97,1.907973
98,1.918969
99,1.894644
100,1.828095
101,1.805966
102,1.873178
103,1.897360
104,1.977346
105,1.839673
106,1.809527
107,1.695173
108,1.896279
109,1.843894
110,1.931322
111,1.774281
112,1.994680
113,1.731131
114,1.690285
115,1.897262
116,1.826869
117,2.004254
118,1.827613
119,1.750257
120,1.974095
121,1.842856
122,1.827162
123,1.916938
124,1.857284
125,1.800702
126,1.839153
127,1.777587
128,1.864449
129,1.869197
130,1.806270
131,1.716261
132,1.767791
133,1.762940
134,1.786701
135,1.756496
136,1.637573
137,1.804339
138,1.770425
139,1.776660
140,1.820891
141,1.825797
142,1.768393
143,1.795020
144,1.748419
145,1.972911
146,1.814611
147,1.810795
148,1.749105
149,1.659416
150,1.791043
151,1.859629
152,1.761165
153,1.752634
154,1.757932
155,1.602665
156,1.750650
157,1.802368
158,1.802027
159,1.712111
160,1.786401
161,1.772876
162,1.847114
163,1.766759
164,1.775158
165,1.574524
166,1.548307
167,1.682787
168,1.792871
169,1.701517
170,1.560701
171,1.653354
172,1.599319
173,1.655533
174,1.672146
175,1.609575
176,1.661456
177,1.720978
178,1.792128
179,1.784221
180,1.622918
181,1.714236
182,1.784629
183,1.810943
184,1.667969
185,1.683043
186,1.619231
187,1.795161
188,1.742499
189,1.653550
190,1.751753
191,1.878183
192,1.589285
193,1.680570
194,1.618671
195,1.703918
196,1.554848
197,1.498315
198,1.504945
199,1.570001
200,1.607540
201,1.563430
202,1.532600
203,1.654739
204,1.610407
205,1.525600
206,1.658549
207,1.544652
208,1.543911
209,1.567523
210,1.637074
211,1.574189
212,1.649487
213,1.674606
214,1.618937
215,1.705242
216,1.549585
217,1.542617
218,1.552873
219,1.474424
220,1.619126
221,1.718205
222,1.558369
223,1.595892
224,1.611034
225,1.625354
226,1.518855
227,1.413910
228,1.388868
229,1.453014
230,1.520009
231,1.534745
232,1.507176
233,1.634602
234,1.631469
235,1.483122
236,1.453035
237,1.462134
238,1.603682
239,1.488173
240,1.572153
241,1.496173
242,1.456492
243,1.554040
244,1.531250
245,1.545581
246,1.401530
247,1.532875
248,1.623145
249,1.338979
250,1.589152
251,1.561482
252,1.519214
253,1.306922
254,1.541965
255,1.470805
256,1.552450
257,1.482011
258,1.421187
259,1.597450
260,1.462663
261,1.461422
262,1.404334
263,1.536829
264,1.610491
265,1.469701
266,1.464341
267,1.489939
268,1.465417
269,1.573892
270,1.439273
271,1.383083
272,1.527040
273,1.469889
274,1.340038
275,1.505018
276,1.592635
277,1.442750
278,1.404427
279,1.376539
280,1.482737
281,1.540486
282,1.541382
283,1.542184
284,1.574161
285,1.402118
286,1.527604
287,1.411895
288,1.489807
289,1.433751
290,1.574201
291,1.260177
292,1.563134
293,1.320596
294,1.314338
295,1.287815
296,1.383292
297,1.266988
298,1.130166
299,1.514349
300,1.390656
301,1.439505
302,1.436508
303,1.320829
304,1.476697
305,1.430989
306,1.512255
307,1.485280
308,1.572399
309,1.415732
310,1.634313
311,1.411181
312,1.359452
313,1.531285
314,1.463368
315,1.398471
316,1.573990
317,1.368644
318,1.380530
319,1.406798
320,1.363510
321,1.392129
322,1.474860
323,1.407344
324,1.466758
325,1.395854
326,1.434415
327,1.364656
328,1.333453
329,1.265377
330,1.252281
