step,loss
0,2.423275
1,2.886190
2,3.467254
3,3.991926
4,4.123713
5,4.399953
6,3.896464
7,3.692126
8,3.094301
9,3.625267
10,3.918726
11,3.470098
12,3.517800
13,5.518438
14,5.098082
15,3.613773
16,3.516789
17,4.841517
18,2.702186
19,3.886976
20,2.535071
21,2.520592
22,2.554059
23,3.264079
24,2.610322
25,2.405949
26,2.405864
27,2.678045
28,2.789307
29,2.223242
30,3.083102
31,2.235451
32,2.314947
33,2.382870
34,2.124348
35,2.213311
36,2.632626
37,2.127143
38,2.075264
39,2.117072
40,2.155185
41,2.079233
42,2.213726
43,2.255545
44,2.030030
45,2.166578
46,2.009195
47,2.032058
48,2.079603
49,1.996125
50,1.952881
51,2.063709
52,1.989091
53,1.939512
54,2.081525
55,2.074571
56,1.913982
57,2.056551
58,1.975583
59,1.881516
60,2.130141
61,2.013015
62,1.904931
63,1.912923
64,1.905894
65,1.999197
66,1.930988
67,1.795520
68,1.934587
69,1.937599
70,1.888282
71,1.892345
72,1.951304
73,1.994718
74,1.893330
75,2.067154
76,1.778215
77,1.913458
78,1.949685
79,1.832785
80,1.961859
81,1.780459
82,1.929393
83,1.917714
84,1.721003
85,1.772357
86,1.844013
87,1.758146
88,1.792399
89,1.788677
90,1.673498
91,1.732123
92,1.819560
93,1.827554
94,1.793353
95,1.788434
96,1.882670
97,1.727943
98,1.787149
99,1.790868
100,1.745393
101,1.796634
102,1.987170
103,1.778917
104,1.853496
105,1.793146
106,1.937246
107,1.861998
108,1.694417
109,1.542317
110,1.805253
111,1.622904
112,1.673165
113,1.629087
114,1.771785
115,1.733209
116,1.635980
117,1.679620
118,1.840521
119,1.793196
120,1.619768
121,1.690194
122,1.809610
123,1.685525
124,1.738248
125,1.682236
126,1.695271
127,1.735746
128,1.842840
129,1.693012
130,1.779437
131,1.771107
132,1.549574
133,1.633532
134,1.713892
135,1.783065
136,1.683351
137,1.531363
138,1.564957
139,1.479549
140,1.618231
141,1.552680
142,1.630587
143,1.568434
144,1.776121
145,1.610431
146,1.676433
147,1.642272
148,1.649998
149,1.661893
150,1.750051
151,1.463510
152,1.675309
153,1.569775
154,1.743757
155,1.592291
156,1.636054
157,1.563161
158,1.616199
159,1.724637
160,1.503913
161,1.572493
162,1.534900
163,1.477879
164,1.605540
165,1.525887
166,1.749821
167,1.402679
168,1.635071
169,1.505608
170,1.634127
171,1.555578
172,1.567678
173,1.459404
174,1.539795
175,1.650751
176,1.564360
177,1.628380
178,1.649501
179,1.499313
180,1.396518
181,1.539942
182,1.597780
183,1.456765
184,1.437143
185,1.582949
186,1.447628
187,1.435373
188,1.532536
189,1.537654
190,1.305989
191,1.473659
192,1.480266
193,1.479800
194,1.487741
195,1.515550
196,1.465075
197,1.525345
198,1.599364
199,1.723889
200,1.459011
201,1.533684
202,1.593575
203,1.591485
204,1.477874
205,1.421053
206,1.447974
207,1.379545
208,1.489755
209,1.429434
210,1.542195
211,1.450054
212,1.546962
213,1.526643
214,1.544484
215,1.555720
216,1.389824
217,1.553362
218,1.425386
219,1.383210
220,1.440898
221,1.429389
222,1.393846
223,1.581451
224,1.666031
225,1.530596
226,1.520345
227,1.671833
228,1.412670
229,1.440356
230,1.441939
231,1.536291
232,1.440907
233,1.517874
234,1.416229
235,1.496356
236,1.301006
237,1.484128
238,1.428972
239,1.430927
240,1.438121
241,1.329844
242,1.293112
243,1.571856
244,1.569726
245,1.282070
246,1.260870
247,1.372934
248,1.451910
249,1.454279
250,1.437508
251,1.551295
252,1.464290
253,1.423548
254,1.336133
255,1.582347
256,1.383925
257,1.321657
258,1.322452
259,1.612220
260,1.250292
261,1.434201
262,1.384884
263,1.413652
264,1.477992
265,1.472211
266,1.157627
267,1.326482
268,1.466048
269,1.383482
270,1.462649
271,1.423835
272,1.346168
273,1.367302
274,1.266340
275,1.430566
276,1.484001
277,1.377418
278,1.308628
279,1.339871
280,1.250057
281,1.348029
282,1.330616
283,1.329695
284,1.183343
285,1.451276
286,1.393149
287,1.361079
288,1.305932
289,1.248357
290,1.393990
291,1.300416
292,1.504224
293,1.328169
294,1.294341
295,1.370118
296,1.295465
297,1.297757
298,1.409461
299,1.298075
300,1.469028
301,1.244748
302,1.550723
303,1.256698
304,1.212563
305,1.229099
306,1.319706
307,1.250734
308,1.271957
309,1.278349
310,1.254161
311,1.303830
312,1.152095
313,1.283118
314,1.287568
315,1.283408
316,1.394474
317,1.342543
318,1.223336
319,1.255572
320,1.118407
321,1.258934
322,1.304954
323,1.280489
324,1.212646
325,1.437485
326,1.297254
327,1.298079
328,1.420036
329,1.380632
330,1.289305
331,1.282972
332,1.191308
333,1.300588
334,1.338248
335,1.149208
336,1.345912
337,1.109088
338,1.400883
339,1.260678
340,1.252670
341,1.245530
342,1.114544
343,1.397383
344,1.229315
345,1.317442
346,1.224414
347,1.318499
348,1.399966
349,1.295720
350,1.278375
351,1.158878
352,1.168234
353,1.230905
354,1.182727
355,1.164810
356,0.918481
357,1.213607
358,1.189955
359,1.159340
360,1.239476
361,1.192912
362,1.316433
363,1.236516
364,1.292338
365,1.417025
366,1.371423
367,1.198847
368,1.354772
369,1.256474
370,1.297101
371,1.209258
372,1.273239
373,1.220412
374,1.184862
375,1.071308
376,1.168221
377,1.106973
378,1.234391
379,1.194376
380,1.108538
381,1.432192
382,1.324431
383,1.116614
384,1.283706
385,1.241418
386,1.266802
387,1.269032
388,1.262925
389,1.341737
390,1.088044
391,1.115959
392,1.136316
393,1.246921
394,1.216962
395,1.214780
396,1.207828
397,0.985627
398,1.071903
399,1.128329
400,1.058633
401,0.989113
402,1.185637
403,1.071689
404,1.091367
405,1.133037
406,1.094293
407,1.142507
408,1.216344
409,1.158642
410,1.399031
411,1.307855
412,1.131086
413,1.134256
414,1.125854
415,1.143694
416,1.178960
417,1.088735
418,1.109765
419,1.121684
420,1.026380
421,1.008987
422,1.187034
423,1.141325
424,1.251216
425,1.133381
426,1.186381
427,1.094964
428,1.167569
429,1.232208
430,0.901579
431,1.166119
432,1.098326
433,1.118600
434,1.236169
435,1.004301
436,1.105653
437,1.136515
438,1.190746
439,0.875837
440,1.202590
441,1.101937
442,1.285996
443,1.042197
444,1.038490
445,0.984320
446,1.220399
447,0.992659
448,1.117322
449,1.152732
450,1.167928
451,1.064913
452,0.915528
453,1.283254
454,1.081353
455,1.190952
456,1.113263
457,1.055697
458,1.207995
459,1.090273
460,1.276258
461,0.924632
462,1.185431
463,1.228152
464,0.978753
465,0.846536
466,1.107149
467,0.928762
468,1.089322
469,0.903695
470,0.938637
471,0.980265
472,0.910367
473,0.967342
474,0.914984
475,1.133890
476,1.130298
477,1.144693
478,1.062907
479,0.995461
480,0.977089
481,0.959189
482,1.053818
483,1.065489
484,1.109211
485,1.020963
486,1.407524
487,0.928606
488,0.893742
489,0.864234
490,1.014294
491,1.008191
492,0.942286
493,0.994168
494,0.904496
495,0.985755
496,1.088013
497,1.143274
498,1.175814
499,0.860358
