step,loss
0,2.423275
1,2.886190
2,3.467216
3,3.992005
4,4.122491
5,4.401840
6,3.907576
7,3.669363
8,3.045820
9,3.525389
10,3.734433
11,3.146124
12,4.019875
13,4.325307
14,4.317022
15,4.031562
16,3.322808
17,4.456883
18,2.690707
19,3.357724
20,2.369870
21,2.425480
22,2.663646
23,2.953259
24,2.943088
25,2.566276
26,2.384777
27,2.999741
28,2.544961
29,2.358643
30,3.406924
31,2.660119
32,2.312900
33,2.350345
34,2.116099
35,2.246657
36,2.586051
37,2.154468
38,2.108199
39,1.889962
40,2.029619
41,1.947277
42,2.107070
43,2.194239
44,1.945167
45,2.125428
46,2.042666
47,1.983134
48,2.059940
49,1.924257
50,1.959544
51,2.007524
52,1.967516
53,1.914646
54,2.056809
55,2.032243
56,1.900618
57,2.171651
58,1.978005
59,1.844570
60,2.167090
61,2.103126
62,1.918569
63,1.890483
64,1.880632
65,1.994641
66,1.991121
67,1.813296
68,1.908696
69,1.963974
70,1.871701
71,1.776357
72,1.978764
73,2.037367
74,1.829634
75,2.069397
76,1.751247
77,1.806717
78,1.977126
79,1.782410
80,1.859631
81,1.777899
82,1.920937
83,1.895128
84,1.741649
85,1.754844
86,1.812031
87,1.715224
88,1.823210
89,1.754083
90,1.640506
91,1.745203
92,1.813760
93,1.854212
94,1.756267
95,1.774076
96,1.832540
97,1.745945
98,1.720317
99,1.774880
100,1.740437
101,1.790114
102,1.947415
103,1.676442
104,1.854799
105,1.684545
106,1.896889
107,1.771686
108,1.601486
109,1.544022
110,1.769055
111,1.568132
112,1.599583
113,1.578808
114,1.737926
115,1.666680
116,1.610235
117,1.644912
118,1.824954
119,1.703960
120,1.598903
121,1.645867
122,1.818645
123,1.573678
124,1.707654
125,1.609363
126,1.624341
127,1.748767
128,1.805658
129,1.588642
130,1.684176
131,1.708410
132,1.511070
133,1.639976
134,1.638244
135,1.764406
136,1.595027
137,1.473996
138,1.570329
139,1.482863
140,1.580135
141,1.461585
142,1.507990
143,1.514737
144,1.641018
145,1.530178
146,1.727680
147,1.542969
148,1.589866
149,1.744592
150,1.698021
151,1.502710
152,1.583166
153,1.521020
154,1.740949
155,1.659572
156,1.554236
157,1.488524
158,1.649964
159,1.743795
160,1.517667
161,1.563694
162,1.522125
163,1.456429
164,1.569008
165,1.440611
166,1.706125
167,1.382436
168,1.541303
169,1.509482
170,1.540327
171,1.574985
172,1.497701
173,1.418935
174,1.500698
175,1.473677
176,1.488073
177,1.669109
178,1.601745
179,1.458295
180,1.392830
181,1.562179
182,1.512536
183,1.405621
184,1.399568
185,1.527736
186,1.401158
187,1.478774
188,1.440473
189,1.429033
190,1.340865
191,1.464516
192,1.457119
193,1.464078
194,1.419120
195,1.497743
196,1.423757
197,1.393289
198,1.622890
199,1.596271
200,1.475923
201,1.566672
202,1.454175
203,1.500502
204,1.421367
205,1.450176
206,1.405258
207,1.379604
208,1.419346
209,1.504541
210,1.513962
211,1.351578
212,1.504089
213,1.668250
214,1.440395
215,1.436383
216,1.362496
217,1.448829
218,1.353984
219,1.354310
220,1.386203
221,1.385934
222,1.335815
223,1.558476
224,1.595582
225,1.519150
226,1.517869
227,1.630390
228,1.464209
229,1.390167
230,1.444700
231,1.468515
232,1.425613
233,1.452524
234,1.448152
235,1.396407
236,1.270182
237,1.421618
238,1.506565
239,1.459079
240,1.428887
241,1.219202
242,1.249349
243,1.472404
244,1.492021
245,1.186433
246,1.179163
247,1.351168
248,1.419805
249,1.477811
250,1.510415
251,1.515273
252,1.445262
253,1.450356
254,1.387953
255,1.570480
256,1.385036
257,1.365337
258,1.388246
259,1.597035
260,1.300661
261,1.328048
262,1.310803
263,1.435312
264,1.421002
265,1.549923
266,1.176680
267,1.182030
268,1.465566
269,1.298245
270,1.487860
271,1.474338
272,1.418617
273,1.378650
274,1.257672
275,1.453203
276,1.537707
277,1.311237
278,1.250397
279,1.332922
280,1.349046
281,1.308969
282,1.212987
283,1.387231
284,1.289484
285,1.407296
286,1.405846
287,1.333972
288,1.257395
289,1.227448
290,1.371308
291,1.221070
292,1.457250
293,1.320704
294,1.284564
295,1.284915
296,1.280106
297,1.322415
298,1.377281
299,1.192336
300,1.455118
301,1.218433
302,1.478943
303,1.228808
304,1.180927
305,1.164390
306,1.223654
307,1.286426
308,1.225425
309,1.227291
310,1.258285
311,1.369178
312,1.138633
313,1.233706
314,1.283450
315,1.302503
316,1.374514
317,1.228051
318,1.256135
319,1.249024
320,1.090822
321,1.262447
322,1.356348
323,1.209450
324,1.123995
325,1.449386
326,1.272207
327,1.264847
328,1.321151
329,1.335926
330,1.211288
331,1.199927
332,1.121004
333,1.272912
334,1.325183
335,1.111744
336,1.352123
337,1.035686
338,1.325667
339,1.330105
340,1.169054
341,1.102154
342,1.024639
343,1.372473
344,1.159873
345,1.229228
346,1.228546
347,1.221583
348,1.272703
349,1.282346
350,1.232515
351,1.077932
352,1.065075
353,1.169401
354,1.197896
355,1.047187
356,0.923248
357,1.170634
358,1.084494
359,1.150449
360,1.219920
361,1.254886
362,1.175245
363,1.244123
364,1.274518
365,1.320196
366,1.273465
367,1.164957
368,1.281317
369,1.273957
370,1.283757
371,1.274824
372,1.289511
373,1.250091
374,1.136321
375,1.046883
376,1.149715
377,1.134925
378,1.208180
379,1.161295
380,1.101130
381,1.446337
382,1.301809
383,1.053727
384,1.218743
385,1.273792
386,1.203909
387,1.162589
388,1.229169
389,1.314813
390,1.090872
391,1.077510
392,1.112527
393,1.175810
394,1.233180
395,1.142358
396,1.155253
397,0.892321
398,0.999284
399,1.098489
400,1.075747
401,1.030836
402,1.339337
403,1.123473
404,0.961770
405,1.200452
406,1.144630
407,1.124011
408,1.159517
409,1.249643
410,1.347683
411,1.284760
412,1.088128
413,1.193464
414,1.177075
415,1.148962
416,1.193729
417,1.136161
418,1.169063
419,1.102944
420,0.993704
421,1.094628
422,1.201485
423,1.191206
424,1.329612
425,1.118393
426,1.167977
427,1.078686
428,1.109721
429,1.171592
430,0.882087
431,1.062618
432,1.191310
433,1.131588
434,1.305107
435,0.935666
436,1.080413
437,1.077309
438,1.242003
439,0.861098
440,1.128069
441,1.065824
442,1.323135
443,1.150443
444,1.148190
445,1.052019
446,1.079230
447,0.965299
448,1.151470
449,1.162122
450,1.128465
451,1.060224
452,1.014357
453,1.280286
454,1.019385
455,1.233829
456,1.220065
457,0.994309
458,1.126659
459,1.062161
460,1.210753
461,0.891570
462,1.163295
463,1.164112
464,0.949342
465,0.906014
466,1.109153
467,0.969727
468,1.013019
469,0.973016
470,0.957074
471,1.019119
472,0.830351
473,0.858865
474,0.920899
475,1.094686
476,1.126010
477,1.146230
478,1.087579
479,1.064080
480,1.050271
481,0.950120
482,1.035060
483,1.039126
484,1.089120
485,1.012280
486,1.361426
487,0.911065
488,0.976118
489,0.920422
490,0.962475
491,0.976046
492,1.013144
493,1.012329
494,0.938416
495,1.055401
496,1.154161
497,1.177383
498,1.160721
499,0.923741
