step,loss
0,2.423275
1,2.886535
2,3.473910
3,3.995551
4,4.182369
5,4.456134
6,3.862802
7,3.506353
8,3.035594
9,3.529244
10,3.575685
11,4.830889
12,4.533809
13,3.062423
14,3.755354
15,3.686265
16,3.585356
17,3.456997
18,3.760889
19,2.979900
20,2.518593
21,2.553248
22,2.679590
23,2.456782
24,2.358495
25,2.335062
26,2.292794
27,2.376817
28,2.320557
29,2.332630
30,2.676858
31,2.171188
32,2.110291
33,2.333524
34,2.246935
35,2.224695
36,2.522749
37,2.165336
38,2.033819
39,2.076251
40,2.038682
41,1.926584
42,2.120768
43,2.012588
44,2.012192
45,2.057032
46,2.027090
47,1.977889
48,2.078175
49,1.954163
50,1.939506
51,2.110006
52,1.985116
53,1.910257
54,2.115960
55,2.070653
56,1.882875
57,2.033035
58,2.001569
59,1.893008
60,2.114422
61,1.968420
62,1.985239
63,1.896281
64,1.952397
65,1.941220
66,1.937506
67,1.778970
68,1.849793
69,1.970361
70,1.817488
71,1.831863
72,1.957094
73,1.896987
74,1.803629
75,2.018813
76,1.727529
77,1.885637
78,1.905264
79,1.755097
80,1.842721
81,1.795392
82,1.929123
83,1.824968
84,1.746364
85,1.759593
86,1.874380
87,1.689877
88,1.771371
89,1.720467
90,1.594729
91,1.666277
92,1.793405
93,1.820629
94,1.741499
95,1.814516
96,1.821512
97,1.696087
98,1.726483
99,1.668487
100,1.746387
101,1.755393
102,1.916893
103,1.729605
104,1.836528
105,1.718682
106,1.929021
107,1.866729
108,1.717496
109,1.562801
110,1.744506
111,1.546534
112,1.657941
113,1.676532
114,1.683397
115,1.661331
116,1.553694
117,1.620570
118,1.805740
119,1.687470
120,1.604136
121,1.672349
122,1.727383
123,1.623033
124,1.690295
125,1.605036
126,1.684592
127,1.637152
128,1.749142
129,1.571966
130,1.688802
131,1.711386
132,1.462798
133,1.618227
134,1.629114
135,1.769648
136,1.654821
137,1.507990
138,1.565498
139,1.469101
140,1.633214
141,1.419426
142,1.460922
143,1.615781
144,1.588156
145,1.493464
146,1.603459
147,1.626565
148,1.613413
149,1.680128
150,1.680229
151,1.346553
152,1.579517
153,1.651648
154,1.662884
155,1.589039
156,1.500668
157,1.537230
158,1.578964
159,1.632666
160,1.433787
161,1.479368
162,1.518109
163,1.431834
164,1.570647
165,1.422592
166,1.641757
167,1.343891
168,1.528655
169,1.587743
170,1.507325
171,1.577537
172,1.494738
173,1.380032
174,1.521122
175,1.495304
176,1.496836
177,1.627610
178,1.573021
179,1.427806
180,1.407008
181,1.564571
182,1.508151
183,1.406937
184,1.401528
185,1.623219
186,1.355904
187,1.412386
188,1.397920
189,1.477879
190,1.298609
191,1.510328
192,1.354626
193,1.442896
194,1.467739
195,1.441855
196,1.335066
197,1.557809
