step,fwd_ms,bwd_ms,opt_ms,total_ms
0,325.787,705.833,48.453,1080.073
1,238.239,709.732,5.988,953.958
2,222.717,651.454,5.994,880.165
3,224.273,701.236,5.747,931.256
4,222.759,660.028,5.882,888.669
5,229.007,632.650,5.969,867.625
6,217.680,734.992,6.010,958.682
7,223.239,634.099,5.938,863.275
8,238.449,714.525,6.045,959.019
9,249.108,1570.263,5.935,1825.305
10,230.714,663.190,5.919,899.823
11,229.704,693.855,5.974,929.533
12,222.228,622.385,6.063,850.675
13,229.607,716.821,5.853,952.281
14,235.089,644.418,6.181,885.688
15,232.240,647.257,5.930,885.427
16,234.788,733.303,6.247,974.338
17,237.798,638.283,5.883,881.965
18,231.247,701.055,6.273,938.576
19,216.459,621.351,5.936,843.746
20,217.434,716.606,5.850,939.889
21,240.927,637.652,6.030,884.609
22,232.589,699.855,6.217,938.662
23,217.646,1102.001,5.989,1325.636
24,221.722,685.476,5.974,913.172
25,224.606,692.017,6.090,922.714
26,225.921,743.148,5.896,974.965
27,222.132,659.178,6.289,887.598
28,231.456,697.546,5.972,934.975
29,246.572,692.154,5.977,944.703
30,235.327,705.698,5.811,946.836
31,232.045,680.942,6.075,919.062
32,230.720,706.064,5.885,942.669
33,235.582,612.233,6.088,853.903
34,233.387,683.540,5.972,922.899
35,220.162,641.372,5.861,867.395
36,208.406,655.113,6.160,869.679
37,214.167,623.300,6.039,843.505
38,216.954,732.248,6.096,955.299
39,222.754,1028.915,6.076,1257.745
40,211.982,682.225,6.184,900.391
41,227.048,650.820,5.886,883.755
42,212.319,689.178,5.865,907.361
43,201.435,1109.435,5.880,1316.750
44,194.174,693.726,5.988,893.889
45,217.664,606.806,6.085,830.554
46,223.205,713.401,6.019,942.625
47,212.241,652.352,5.863,870.456
48,220.784,718.738,6.004,945.526
49,233.175,653.594,6.301,893.070
50,210.503,735.911,5.897,952.311
51,228.071,1204.717,6.054,1438.841
52,238.795,1067.307,5.967,1312.069
53,238.132,699.853,6.017,944.002
54,228.596,684.557,5.851,919.004
55,234.908,695.748,5.853,936.509
56,226.276,657.631,6.218,890.125
57,224.331,703.014,6.027,933.371
58,224.329,667.250,5.904,897.482
59,236.834,706.718,5.940,949.493
60,214.056,1057.049,6.166,1277.270
61,213.749,706.422,6.282,926.453
62,227.436,687.159,6.189,920.785
63,229.134,671.074,5.736,905.945
64,241.822,732.894,6.003,980.719
65,232.386,635.348,6.344,874.079
66,224.309,713.667,5.950,943.927
67,209.357,900.557,6.070,1115.985
68,212.846,673.041,5.977,891.864
69,201.482,631.553,5.978,839.013
70,219.998,719.498,5.899,945.395
71,251.094,656.150,5.850,913.094
72,209.013,702.712,5.846,917.570
73,206.592,854.634,6.058,1067.284
74,235.166,709.961,5.992,951.119
75,208.901,601.692,6.026,816.618
76,204.662,663.502,5.902,874.065
77,217.924,649.250,5.927,873.101
78,213.630,700.307,6.067,920.005
79,227.962,643.687,5.958,877.607
80,214.938,931.594,5.939,1152.471
81,221.204,587.007,5.904,814.114
82,205.348,644.865,6.107,856.320
83,187.500,570.575,5.985,764.060
84,221.866,649.112,5.859,876.837
85,205.686,610.399,6.046,822.131
86,188.366,599.174,6.297,793.837
87,223.314,592.737,6.004,822.055
88,202.103,625.346,6.031,833.479
89,205.727,609.811,6.027,821.565
90,186.870,635.482,6.069,828.420
91,193.851,555.193,6.000,755.044
92,190.913,548.681,6.165,745.759
93,186.798,664.288,5.982,857.068
94,211.913,589.467,6.040,807.421
95,222.999,730.562,5.764,959.326
96,209.722,645.564,6.090,861.376
97,206.746,650.896,5.973,863.615
98,223.793,659.626,6.160,889.580
99,224.737,688.198,5.880,918.816
100,228.997,637.040,5.906,871.943
101,217.970,680.851,6.097,904.919
102,235.125,656.664,5.828,897.617
103,217.088,737.585,5.804,960.478
104,243.930,622.646,5.945,872.521
105,226.405,712.679,5.928,945.012
106,217.373,670.322,6.158,893.854
107,233.292,1072.294,5.880,1311.466
108,213.724,601.112,5.834,820.669
109,230.746,674.525,5.841,911.112
110,229.462,673.754,5.983,909.199
111,207.752,648.071,5.954,861.777
112,231.731,686.836,6.073,924.639
113,235.245,604.435,12.190,851.870
114,217.160,660.358,6.131,883.649
115,217.809,647.111,5.891,870.811
116,210.179,679.636,6.328,896.143
117,223.683,622.667,5.908,852.258
118,216.914,673.429,6.008,896.351
119,218.312,614.876,6.041,839.229
120,222.655,678.144,5.807,906.606
121,223.757,879.894,6.096,1109.746
122,218.712,637.338,6.300,862.350
123,218.962,693.855,6.064,918.881
124,221.691,625.793,6.071,853.555
125,208.547,666.609,6.014,881.171
126,216.874,661.005,5.827,883.706
127,211.986,616.197,5.899,834.082
128,218.495,772.956,5.787,997.238
129,217.550,692.126,5.893,915.569
130,247.906,712.585,6.133,966.624
131,233.667,678.150,5.970,917.787
132,232.734,708.956,5.832,947.522
133,237.095,644.319,6.010,887.424
134,235.520,709.252,6.030,950.802
135,227.041,649.911,5.982,882.934
136,222.594,707.700,5.831,936.125
137,224.824,1062.031,5.920,1292.775
138,222.727,659.084,5.982,887.793
139,224.833,712.387,5.966,943.185
140,239.093,1168.297,6.016,1413.406
141,214.313,714.865,5.769,934.947
142,221.548,661.175,6.236,888.960
143,229.872,721.757,5.893,957.522
144,241.511,641.786,5.773,889.070
145,227.340,704.553,5.886,937.778
146,218.482,642.811,5.915,867.208
147,218.219,646.081,5.892,870.192
148,220.184,736.404,5.898,962.485
149,205.803,670.521,5.847,882.170
150,218.085,721.112,5.951,945.148
151,211.827,673.382,5.892,891.101
152,225.272,720.284,5.962,951.518
153,221.145,680.458,5.947,907.550
154,225.718,692.603,6.087,924.409
155,213.330,1712.239,5.985,1931.553
156,214.228,664.546,6.047,884.822
157,216.193,672.987,5.825,895.006
158,222.957,715.847,5.821,944.624
159,214.392,636.475,5.944,856.812
160,238.216,697.725,5.927,941.868
161,218.136,635.013,6.192,859.341
162,207.475,645.084,5.886,858.445
163,231.043,631.393,6.012,868.447
164,204.787,720.486,6.020,931.294
165,230.404,657.940,6.164,894.507
166,212.860,731.132,5.787,949.779
167,237.880,1078.599,5.864,1322.343
168,224.514,675.051,5.923,905.489
169,224.074,654.484,6.019,884.578
170,214.439,717.042,6.226,937.708
171,224.525,661.371,5.906,891.802
172,230.773,662.801,5.980,899.554
173,208.447,713.597,5.853,927.898
174,222.257,662.807,6.136,891.200
175,207.012,638.288,12.250,857.550
176,227.385,667.978,5.943,901.307
177,229.745,707.106,5.901,942.752
178,214.607,667.941,5.922,888.471
179,218.938,1008.609,6.058,1233.605
180,207.592,637.066,6.277,850.935
181,226.004,718.940,5.810,950.754
182,233.187,673.339,6.137,912.662
183,215.630,710.426,5.906,931.961
184,239.202,613.847,5.957,859.006
185,230.447,672.602,6.068,909.117
186,203.928,1111.580,6.183,1321.691
187,224.025,697.072,5.825,926.921
188,232.418,649.271,6.206,887.895
189,226.272,697.097,6.021,929.389
190,234.408,610.312,5.897,850.617
191,195.148,677.006,5.912,878.066
192,231.197,645.123,6.028,882.347
193,225.379,695.647,5.846,926.872
194,234.853,642.338,10.879,888.070
195,436.022,845.088,91.153,1372.263
196,237.269,675.356,7.710,920.335
197,235.561,767.028,6.325,1008.914
198,224.866,1029.897,6.247,1261.010
199,230.123,672.576,6.272,908.971
200,234.637,712.898,6.439,953.975
201,233.026,655.434,6.145,894.605
202,218.974,731.400,6.249,956.623
203,224.246,642.841,7.293,874.380
204,245.421,689.668,6.218,941.307
205,234.048,645.214,7.295,886.557
206,233.208,719.341,6.321,958.871
207,233.428,649.838,6.257,889.523
208,226.255,634.388,6.399,867.043
209,233.412,638.145,6.323,877.880
210,240.990,731.826,6.269,979.085
211,235.085,636.024,6.327,877.436
212,233.899,717.286,6.276,957.461
213,230.988,642.721,6.206,879.916
214,210.975,711.403,6.274,928.651
215,207.695,1206.150,6.239,1420.084
216,234.578,669.340,6.310,910.228
217,234.382,694.764,6.271,935.418
218,220.018,640.472,6.333,866.822
219,233.333,716.978,6.292,956.604
220,207.323,627.753,6.276,841.351
221,207.102,688.623,9.033,904.758
222,208.870,603.137,6.512,818.520
223,226.071,702.832,6.229,935.131
224,207.429,634.379,8.548,850.356
225,230.694,626.456,6.105,863.255
226,215.074,694.806,6.517,916.398
227,229.116,635.411,6.221,870.748
228,220.696,675.860,6.543,903.099
229,235.519,651.469,6.365,893.353
230,214.641,668.156,6.297,889.094
231,218.841,635.689,6.171,860.701
232,198.514,660.201,6.504,865.219
233,206.156,591.399,6.334,803.889
234,256.378,706.825,6.213,969.416
235,230.915,631.767,6.255,868.938
236,225.167,692.420,6.223,923.809
237,218.927,626.772,6.375,852.074
238,229.674,652.875,6.195,888.744
239,214.669,665.713,6.614,886.996
240,198.724,607.146,6.182,812.052
241,236.278,709.553,6.668,952.498
242,226.214,632.110,6.258,864.581
243,227.168,703.590,6.331,937.088
244,213.892,624.055,6.158,844.106
245,231.575,681.865,6.231,919.672
246,227.047,694.366,6.444,927.857
247,214.103,1109.700,6.282,1330.084
248,202.776,613.294,6.518,822.589
249,204.789,683.620,6.327,894.736
250,205.709,620.562,6.241,832.512
251,205.029,678.474,6.137,889.640
252,195.181,627.541,6.177,828.900
253,193.773,656.663,6.088,856.524
254,196.957,577.725,6.268,780.951
255,204.616,1535.048,6.167,1745.831
256,185.934,644.482,6.360,836.776
257,199.062,899.820,6.221,1105.103
258,179.470,635.678,6.234,821.382
259,201.028,605.565,6.250,812.843
260,190.970,653.134,6.237,850.341
261,198.788,605.841,6.575,811.204
262,210.966,606.051,6.242,823.259
263,220.633,683.113,6.460,910.205
264,245.849,606.628,6.183,858.660
265,220.058,801.686,6.228,1027.971
266,226.888,630.286,6.173,863.348
267,222.470,676.191,6.501,905.161
268,237.111,654.379,6.282,897.772
269,232.066,1457.780,6.288,1696.133
270,247.012,713.905,6.146,967.063
271,223.316,622.423,6.250,851.989
272,242.958,701.862,6.308,951.128
273,230.428,647.049,6.253,883.730
274,230.645,699.888,6.202,936.735
275,219.870,635.237,7.437,862.544
276,225.424,696.219,6.221,927.863
277,218.415,622.789,6.261,847.465
278,223.331,650.472,6.195,879.998
279,235.673,693.740,6.227,935.639
280,216.925,1142.296,6.190,1365.411
281,231.232,648.166,6.365,885.763
282,234.182,717.385,6.351,957.919
283,231.441,671.785,6.135,909.361
284,232.219,696.836,6.101,935.157
285,231.653,627.070,6.256,864.979
286,232.549,712.153,6.287,950.988
287,220.141,648.682,6.262,875.084
288,216.328,675.336,6.120,897.784
289,232.006,646.619,6.419,885.044
290,214.528,693.793,6.093,914.414
291,208.643,1138.022,6.214,1352.878
292,228.638,652.328,13.070,894.035
293,228.181,722.052,6.101,956.335
294,225.728,659.955,6.468,892.151
295,231.614,694.270,6.122,932.006
296,217.179,642.789,6.274,866.242
297,224.791,714.394,6.609,945.794
298,237.236,633.036,6.467,876.738
299,231.460,722.807,6.399,960.667
300,232.820,658.739,6.202,897.761
301,239.042,712.969,6.480,958.491
302,226.307,670.745,6.295,903.347
303,234.352,707.740,6.257,948.349
304,215.840,646.293,6.294,868.427
305,230.427,705.056,6.293,941.775
306,220.408,638.610,6.151,865.169
307,217.986,1504.216,6.319,1728.522
308,228.710,719.340,6.207,954.258
309,232.746,667.273,6.249,906.267
310,238.313,709.863,6.270,954.446
311,224.842,652.380,6.195,883.418
312,235.721,710.482,6.514,952.717
313,231.270,646.319,6.178,883.767
314,232.377,710.457,6.467,949.301
315,218.090,621.257,6.307,845.654
316,213.525,660.184,6.428,880.136
317,255.336,636.650,6.398,898.384
318,215.370,717.945,6.126,939.442
319,218.463,627.475,6.296,852.234
320,223.617,673.236,6.294,903.147
321,240.430,641.097,6.227,887.754
322,230.388,706.724,6.238,943.350
323,232.935,638.146,6.314,877.395
324,217.151,682.133,6.232,905.516
325,239.796,698.037,6.291,944.125
326,239.398,637.642,6.421,883.461
327,217.376,693.004,6.135,916.516
328,229.938,614.764,12.415,857.116
329,238.118,650.792,6.471,895.381
330,224.635,707.008,6.348,937.990
331,230.034,623.581,6.167,859.781
332,230.614,678.835,6.316,915.764
333,237.324,734.321,6.318,977.964
334,224.520,670.002,6.147,900.669
335,244.199,668.324,6.260,918.784
336,232.053,653.610,6.190,891.853
337,231.736,709.100,6.211,947.047
338,218.663,719.805,6.303,944.771
339,229.402,647.406,6.379,883.187
340,217.629,709.655,6.263,933.547
341,234.318,630.101,6.375,870.794
342,234.537,712.925,6.263,953.725
343,233.800,661.174,6.283,901.258
344,231.834,718.398,6.211,956.443
345,231.334,654.804,6.326,892.464
346,227.560,702.956,6.197,936.713
347,235.290,2735.713,6.278,2977.281
348,235.597,711.877,6.149,953.622
349,236.630,2266.791,6.183,2509.604
350,231.200,635.837,6.308,873.345
351,224.592,696.386,6.656,927.634
352,214.096,654.713,6.166,874.975
353,218.312,702.861,6.269,927.442
354,217.575,609.091,6.191,832.857
355,223.277,666.971,6.369,896.617
