step,fwd_ms,bwd_ms,opt_ms,total_ms
0,289.183,626.122,45.395,960.701
1,237.760,589.795,5.813,833.368
2,221.539,593.991,6.065,821.596
3,222.491,610.517,5.541,838.548
4,222.308,559.609,5.639,787.555
5,235.439,575.671,5.549,816.660
6,236.616,595.261,5.804,837.681
7,232.805,582.434,5.882,821.121
8,234.366,563.159,5.717,803.243
9,233.490,591.804,5.799,831.094
10,230.367,601.091,5.775,837.234
11,234.113,577.267,5.556,816.935
12,232.157,572.607,5.734,810.498
13,233.106,586.954,5.576,825.637
14,233.551,581.512,5.534,820.597
15,227.560,588.003,5.548,821.111
16,223.573,563.153,5.459,792.185
17,230.106,606.350,5.745,842.201
18,222.586,604.653,5.452,832.692
19,229.239,613.111,5.859,848.209
20,216.240,596.125,6.019,818.383
21,229.996,581.751,5.587,817.334
22,215.332,577.463,6.331,799.126
23,225.742,598.560,5.644,829.946
24,237.012,545.824,5.589,788.425
25,237.256,579.377,5.508,822.141
26,236.172,579.751,5.663,821.586
27,233.215,586.975,5.837,826.028
28,231.311,614.533,5.960,851.804
29,216.836,579.011,6.148,801.995
30,214.594,565.510,6.006,786.110
31,212.948,583.524,6.501,802.973
32,232.567,598.528,5.555,836.650
33,224.432,584.656,5.540,814.629
34,218.733,605.525,5.737,829.995
35,222.843,601.172,5.590,829.606
36,228.402,597.164,5.534,831.100
37,216.500,580.984,6.228,803.711
38,216.712,594.444,5.540,816.696
39,234.067,592.234,5.952,832.253
40,223.867,587.678,5.789,817.334
41,230.523,574.849,5.741,811.112
42,220.141,553.910,6.307,780.357
43,228.060,569.500,5.516,803.076
44,211.490,578.018,6.066,795.575
45,213.713,550.177,6.318,770.208
46,214.641,579.369,5.566,799.577
47,221.182,554.127,5.514,780.824
48,245.690,601.928,5.594,853.213
49,229.020,595.850,5.551,830.421
50,234.636,579.839,5.995,820.471
51,224.687,607.588,5.588,837.864
52,219.878,556.072,17.817,793.768
53,223.698,576.357,5.885,805.941
54,231.632,583.597,5.794,821.023
55,232.712,597.789,5.599,836.100
56,221.533,592.881,5.728,820.142
57,236.947,580.778,5.898,823.623
58,234.782,591.821,5.843,832.446
59,234.389,584.036,5.777,824.202
60,219.770,586.677,6.056,812.503
61,230.428,579.975,16.963,827.365
62,228.299,590.147,6.086,824.532
63,230.889,565.175,5.613,801.677
64,218.271,593.724,6.184,818.179
65,211.161,553.753,5.764,770.678
66,242.150,578.095,5.725,825.970
67,232.151,582.022,5.912,820.085
68,216.363,568.909,6.251,791.524
69,230.839,580.718,5.532,817.089
70,212.838,591.309,6.437,810.584
71,223.093,547.278,6.268,776.640
72,223.492,626.674,5.745,855.911
73,232.508,606.568,5.530,844.606
74,228.387,591.070,5.537,824.994
75,224.974,604.881,5.707,835.562
76,233.471,614.156,5.699,853.326
77,224.618,580.291,5.544,810.454
78,238.551,589.461,5.958,833.970
79,222.667,578.318,5.481,806.466
80,239.838,593.714,5.783,839.335
81,233.447,594.852,5.527,833.825
82,233.493,588.403,6.160,828.057
83,230.611,599.244,5.585,835.440
84,218.540,596.069,6.309,820.917
85,218.174,571.854,5.469,795.497
86,233.642,606.918,5.513,846.072
87,223.457,613.348,6.142,842.947
88,223.348,592.456,5.548,821.352
89,237.402,606.170,5.619,849.192
90,236.020,606.594,5.756,848.370
91,234.102,584.346,5.588,824.035
92,224.099,594.472,5.486,824.057
93,232.258,591.468,5.478,829.205
94,222.885,588.349,5.425,816.659
95,226.495,604.169,6.306,836.971
96,230.792,581.564,5.475,817.832
97,235.307,589.946,5.532,830.786
98,231.898,600.108,6.101,838.107
99,231.760,597.480,5.750,834.990
100,217.144,609.916,5.705,832.765
101,224.242,579.211,5.743,809.196
102,231.801,613.967,5.636,851.404
103,228.122,546.923,6.050,781.095
104,233.648,568.846,5.644,808.138
105,232.335,564.549,5.827,802.710
106,224.062,597.259,6.165,827.486
107,212.834,616.934,5.828,835.595
108,213.170,562.337,6.105,781.611
109,214.074,617.081,6.383,837.538
110,235.391,598.032,5.468,838.891
111,224.397,595.531,5.790,825.718
112,227.196,593.679,5.461,826.336
113,232.031,595.761,5.468,833.260
114,234.147,582.397,5.530,822.074
115,234.432,587.276,5.997,827.705
116,215.678,555.147,5.805,776.631
117,224.668,597.610,5.755,828.034
118,217.980,567.808,6.213,792.001
119,231.965,595.377,5.999,833.340
120,224.329,592.309,5.511,822.149
121,233.006,589.062,6.021,828.089
122,222.186,555.385,6.361,783.932
123,223.070,552.273,6.445,781.787
124,225.530,602.118,5.504,833.152
125,224.328,603.314,5.803,833.446
126,232.834,605.011,5.606,843.451
127,234.751,581.163,5.645,821.560
128,235.212,581.833,5.515,822.560
129,235.505,583.219,5.580,824.304
130,217.896,572.570,6.256,796.722
131,222.807,570.881,15.388,809.076
132,225.775,601.202,5.524,832.501
133,232.279,567.034,6.001,805.314
134,234.562,563.192,5.565,803.319
135,216.586,577.537,6.005,800.128
136,230.068,594.784,5.491,830.343
137,234.371,597.360,5.736,837.467
138,230.424,601.075,5.810,837.309
139,238.246,591.248,13.077,842.571
140,225.146,596.262,5.749,827.158
141,223.196,574.723,5.517,803.436
142,209.685,599.985,5.739,815.409
143,213.019,571.920,6.138,791.077
144,235.878,619.026,5.993,860.897
145,221.714,584.611,5.551,811.876
146,238.019,599.424,5.711,843.154
147,234.406,607.210,5.906,847.522
148,225.862,588.321,5.553,819.736
149,218.622,580.460,6.213,805.295
150,225.850,594.109,5.546,825.505
151,237.267,585.031,5.466,827.765
152,233.940,577.983,5.636,817.558
153,224.355,571.675,6.270,802.300
154,223.513,625.977,6.163,855.653
155,218.566,620.494,6.323,845.383
156,214.879,632.161,6.103,853.142
157,230.986,595.956,5.847,832.790
158,227.879,612.443,5.483,845.805
159,232.596,608.248,5.502,846.346
160,207.948,603.560,6.015,817.524
161,220.399,557.922,15.333,793.655
162,216.602,581.930,5.711,804.243
163,234.770,585.605,5.468,825.842
164,233.305,621.901,5.617,860.823
165,233.245,598.744,5.841,837.830
166,214.352,577.053,5.883,797.288
167,231.996,565.796,5.744,803.535
168,216.508,564.764,5.984,787.257
169,227.977,621.426,5.774,855.177
170,225.195,576.935,6.027,808.156
171,235.055,596.267,5.439,836.761
172,234.684,583.264,6.146,824.094
173,225.382,598.407,5.943,829.732
174,232.273,562.038,5.494,799.804
175,235.060,587.620,5.713,828.393
176,228.120,573.090,6.120,807.331
177,224.448,586.523,12.319,823.291
178,227.044,579.292,5.604,811.939
179,234.444,571.845,5.887,812.176
180,232.401,582.839,5.800,821.040
181,229.284,586.791,5.857,821.932
182,231.876,584.985,5.554,822.415
183,229.837,590.580,5.527,825.944
184,233.402,604.096,5.500,842.999
185,226.787,599.121,5.579,831.488
186,235.601,577.079,5.451,818.131
187,232.357,580.468,5.494,818.319
188,241.940,547.859,5.576,795.374
189,215.223,546.338,12.533,774.095
190,223.596,559.273,5.576,788.445
191,241.925,590.863,5.519,838.308
192,228.036,601.340,5.536,834.912
193,237.046,591.430,5.505,833.982
194,228.027,606.268,5.473,839.768
195,434.533,720.259,83.534,1238.326
196,223.250,631.629,8.903,863.783
197,233.976,590.038,5.533,829.546
198,232.932,606.789,5.604,845.325
199,221.668,599.351,8.052,829.071
200,232.185,573.291,6.555,812.031
201,219.932,569.660,8.242,797.834
202,227.413,601.439,6.106,834.958
203,221.154,613.464,7.069,841.687
204,231.901,602.118,5.737,839.757
205,224.367,580.571,6.428,811.366
206,232.605,576.441,6.375,815.421
207,220.888,599.227,6.531,826.645
208,218.710,619.348,6.178,844.237
209,232.698,567.778,5.741,806.218
210,222.248,620.818,6.340,849.406
211,220.045,619.533,6.167,845.745
212,231.379,615.496,6.562,853.437
213,217.078,582.235,6.083,805.395
214,218.937,596.293,5.858,821.089
215,218.511,586.138,5.880,810.529
216,226.662,586.927,6.433,820.022
217,228.801,583.701,5.467,817.969
218,231.979,579.799,6.485,818.263
219,217.825,585.201,9.489,812.514
220,216.499,566.902,5.983,789.384
221,234.522,553.055,5.581,793.158
222,230.717,562.191,5.563,798.471
223,233.408,579.226,5.875,818.510
224,225.552,542.039,6.021,773.612
225,232.839,582.319,6.132,821.290
226,230.444,579.058,5.814,815.316
227,224.699,585.106,5.572,815.377
228,218.731,566.235,6.445,791.412
229,224.012,558.196,6.108,788.315
230,218.288,589.161,5.675,813.125
231,239.747,558.197,5.538,803.483
232,256.044,583.921,5.622,845.587
233,232.680,579.055,5.810,817.546
234,230.405,586.435,5.758,822.598
235,217.889,540.284,6.194,764.367
236,231.913,572.099,5.490,809.502
237,232.544,560.966,5.479,798.989
238,232.567,573.943,5.565,812.075
239,225.202,568.440,5.710,799.352
240,235.653,586.008,5.634,827.295
241,232.609,590.463,5.821,828.892
242,226.839,538.031,6.445,771.315
243,229.008,571.497,5.785,806.290
244,231.201,579.149,6.065,816.416
245,230.677,567.956,5.768,804.401
246,222.475,561.198,5.425,789.098
247,232.168,568.591,5.551,806.309
248,222.266,568.329,5.583,796.178
249,233.194,559.339,5.539,798.073
250,232.032,572.605,5.548,810.185
251,223.067,571.928,6.133,801.127
252,220.943,588.246,5.815,815.003
253,213.191,547.610,6.314,767.115
254,232.630,573.856,5.639,812.125
255,220.916,583.979,6.013,810.908
256,229.655,608.740,5.638,844.033
257,222.961,555.020,5.952,783.934
258,233.994,595.538,5.481,835.013
259,236.990,574.496,5.547,817.033
260,224.594,578.292,6.375,809.260
261,229.239,594.417,6.165,829.821
262,223.108,610.904,5.524,839.536
263,231.393,565.169,13.639,810.201
264,226.088,606.300,6.181,838.569
265,223.776,572.455,5.604,801.835
266,219.804,573.927,5.505,799.236
267,231.820,622.036,5.485,859.341
268,227.549,585.752,5.721,819.022
269,217.168,595.592,5.626,818.385
270,226.717,563.103,6.113,795.934
271,233.761,565.485,5.620,804.866
272,215.905,597.338,6.036,819.279
273,233.514,557.330,6.044,796.888
274,233.699,595.752,5.567,835.018
275,224.824,586.989,5.593,817.406
276,223.696,551.775,6.208,781.679
277,237.113,597.249,5.987,840.349
278,222.857,549.474,5.849,778.180
279,243.207,574.934,5.494,823.635
280,232.253,595.831,5.607,833.690
281,224.645,576.228,5.833,806.707
282,216.540,594.344,6.065,816.948
283,220.693,568.533,5.553,794.779
284,238.503,586.574,6.437,831.515
285,229.716,600.825,6.365,836.905
286,224.242,551.058,15.722,791.022
287,224.950,582.949,6.257,814.157
288,230.633,601.934,5.707,838.274
289,227.817,584.077,6.332,818.226
290,225.146,604.261,5.863,835.270
291,226.622,594.428,6.302,827.352
292,221.848,561.845,6.457,790.149
293,217.181,532.673,6.488,756.341
294,235.555,608.694,5.610,849.859
295,224.941,570.854,5.595,801.391
296,225.358,573.365,5.799,804.522
297,213.728,534.440,5.859,754.028
298,218.377,538.430,6.520,763.327
299,219.656,565.844,6.073,791.573
300,231.169,593.583,5.573,830.325
301,225.764,575.698,5.550,807.012
302,235.135,592.342,6.287,833.764
303,230.588,577.416,5.545,813.550
304,236.540,591.784,5.605,833.929
305,236.417,586.802,6.568,829.787
306,231.284,591.208,5.528,828.021
307,228.183,585.629,5.562,819.375
308,222.710,560.743,5.794,789.247
309,209.790,563.520,6.434,779.744
310,215.463,569.797,6.427,791.687
311,207.209,559.100,6.107,772.417
312,203.326,561.464,6.178,770.968
313,228.924,526.101,6.123,761.148
314,236.475,571.747,6.396,814.617
315,229.189,560.053,6.202,795.444
316,226.626,571.968,5.547,804.141
317,234.263,609.928,6.141,850.332
318,228.743,589.997,5.737,824.477
319,257.168,603.927,5.544,866.639
320,226.825,615.444,5.855,848.124
321,225.064,581.154,6.190,812.408
322,216.623,583.108,6.105,805.837
323,236.451,607.717,5.504,849.672
324,231.449,554.698,5.926,792.073
325,232.154,613.313,5.473,850.940
326,237.912,591.047,5.765,834.724
327,235.208,600.903,6.097,842.209
328,224.581,579.503,5.558,809.642
329,225.281,583.639,5.879,814.800
330,210.624,584.464,6.022,801.110
331,235.606,593.086,5.805,834.497
332,252.636,607.157,5.794,865.588
333,232.904,614.525,6.015,853.444
334,223.556,591.719,6.414,821.689
335,216.440,620.169,6.259,842.868
336,216.061,617.595,6.530,840.187
337,232.219,612.028,6.152,850.400
338,231.206,591.014,5.559,827.779
339,212.036,607.722,5.761,825.518
340,234.942,609.649,6.179,850.770
341,232.162,627.519,5.518,865.199
342,223.643,573.464,5.570,802.676
343,248.235,580.266,6.076,834.577
344,229.873,598.779,5.577,834.228
345,233.446,593.853,5.525,832.824
346,232.613,603.600,6.015,842.228
347,223.870,565.337,5.849,795.056
348,231.225,590.450,5.793,827.469
349,219.903,569.948,6.246,796.097
350,214.155,565.705,6.224,786.083
351,235.402,614.373,6.334,856.109
352,233.407,561.432,5.602,800.442
353,228.778,588.390,6.100,823.268
354,217.519,568.962,18.812,805.293
355,232.555,600.708,5.825,839.089
356,227.800,608.464,5.584,841.848
357,226.383,587.733,5.489,819.605
358,227.232,564.799,5.567,797.598
359,214.555,614.342,6.406,835.304
360,209.280,552.049,6.215,767.543
361,232.366,579.834,5.626,817.827
362,233.962,599.402,6.267,839.631
363,230.217,564.523,5.522,800.263
364,237.234,595.391,6.089,838.714
365,230.660,581.733,5.547,817.940
366,237.713,612.200,6.005,855.918
367,232.847,588.363,6.410,827.620
368,221.075,601.507,6.306,828.888
369,229.695,601.482,5.529,836.706
370,227.755,589.727,5.519,823.002
371,226.221,593.793,5.610,825.624
372,233.432,588.309,6.066,827.807
373,230.905,614.840,5.670,851.414
374,224.008,565.881,6.301,796.190
375,218.516,553.570,6.027,778.113
376,244.572,570.281,6.424,821.276
377,230.534,610.604,5.420,846.558
378,222.745,588.704,5.618,817.066
379,241.222,588.615,6.036,835.873
380,208.854,617.530,5.990,832.374
381,224.364,552.405,6.347,783.115
382,231.838,590.423,5.604,827.865
383,219.664,588.647,6.005,814.316
384,230.198,542.112,6.168,778.478
385,233.636,573.614,5.754,813.004
386,201.686,549.083,6.273,757.041
387,233.082,569.084,5.625,807.791
388,239.198,576.180,5.630,821.008
389,206.000,562.422,6.652,775.073
390,435.396,673.293,85.145,1193.834
391,222.674,594.190,6.421,823.284
392,212.815,623.251,9.979,846.045
393,223.570,592.875,5.802,822.248
394,213.183,616.694,6.169,836.046
395,223.781,572.586,6.135,802.501
396,213.195,558.652,6.357,778.204
397,220.154,563.414,6.501,790.068
398,212.097,596.792,6.130,815.019
399,213.816,591.063,6.195,811.073
400,197.571,588.192,6.065,791.828
401,218.641,563.127,10.082,791.850
402,214.755,570.563,5.577,790.895
403,222.128,558.042,5.508,785.679
404,225.361,538.620,5.952,769.934
405,220.010,533.764,6.115,759.890
406,218.092,578.651,6.353,803.096
407,206.312,551.051,6.293,763.656
408,218.392,559.673,6.205,784.269
409,197.442,534.002,6.392,737.836
410,200.089,543.093,6.563,749.745
411,206.448,541.067,6.378,753.892
412,199.784,591.067,6.115,796.966
413,193.030,523.972,6.176,723.178
414,198.267,574.940,6.003,779.211
415,213.271,534.870,6.492,754.633
416,204.532,547.654,6.117,758.304
417,204.413,530.743,6.192,741.348
418,205.976,537.007,6.225,749.208
