step,grad_l2
0,3.043623
1,4.415893
2,6.097968
3,7.917622
4,7.274247
5,6.343007
6,7.488584
7,3.984166
8,4.813021
9,4.273725
10,2.527077
11,3.757338
12,3.097674
13,2.892074
14,3.145674
15,1.699596
16,2.857156
17,2.260213
18,1.166215
19,1.902907
20,1.371585
21,1.530754
22,1.555810
23,1.796032
24,1.951024
25,1.018569
26,0.982196
27,2.046890
28,1.639017
29,1.946589
30,0.874136
31,1.287063
32,1.257329
33,1.192558
34,1.049888
35,1.093265
36,1.416593
37,1.177784
38,0.738585
39,0.962309
40,0.732283
41,0.606391
42,0.672651
43,0.533153
44,0.627190
45,1.042378
46,0.580570
47,0.763834
48,0.877225
49,0.800174
50,0.899506
51,1.101780
52,0.935917
53,0.808731
54,0.753596
55,0.898723
56,0.922318
57,0.938106
58,0.738309
59,1.094855
60,0.752666
61,1.068608
62,0.972276
63,0.880475
64,0.822524
65,0.701042
66,0.586542
67,1.024911
68,0.620133
69,0.884044
70,0.735590
71,1.013400
72,0.709249
73,0.749005
74,0.955793
75,1.434961
76,1.074713
77,0.973092
78,0.939355
79,0.953455
80,0.909604
81,0.918854
82,1.024379
83,1.053711
84,1.324960
85,0.899637
86,0.906792
87,1.528724
88,0.969119
89,1.055062
90,1.266152
91,0.892911
92,1.341884
93,1.004822
94,0.942601
95,0.751275
96,0.857258
97,1.242122
98,1.115284
99,1.220824
100,0.732644
101,1.199502
102,0.766613
103,1.052457
104,1.032467
105,1.020419
106,0.947328
107,1.039301
108,0.970809
109,0.847741
110,1.426979
111,0.990341
112,1.205249
113,1.191760
114,0.935823
115,1.044588
116,0.950314
117,1.095153
118,0.968384
119,1.129465
120,1.014975
121,0.992333
122,0.947073
123,0.981609
124,1.127779
125,0.818252
126,0.907797
127,1.073213
128,1.026329
129,1.206493
130,1.322522
131,1.319537
132,1.125860
133,1.096830
134,1.104589
135,1.322053
136,1.186326
137,1.178430
138,0.975028
139,0.943479
140,0.962564
141,0.875960
142,1.168920
143,1.357695
144,1.051049
145,1.219936
146,1.364265
147,1.137514
148,0.833863
149,0.807434
150,0.969002
151,0.987587
152,0.920627
153,1.001898
154,0.938649
155,1.085817
156,1.104294
157,1.195920
158,0.978008
159,1.008077
160,0.882613
161,0.910583
162,1.055645
163,1.138767
164,1.199223
165,1.163066
166,0.884278
167,1.112244
168,1.405666
169,1.268853
170,1.282033
171,1.180244
172,1.033306
173,1.128973
174,1.381116
175,1.087608
176,0.996592
177,1.369883
178,1.253806
179,1.168890
180,1.230489
181,1.162571
182,1.025202
183,1.193241
184,1.611624
185,0.905340
186,1.173736
187,1.138754
188,1.335995
189,1.017634
190,1.113489
191,1.227787
192,1.402751
193,1.204500
194,1.372838
195,1.387042
196,1.420154
197,0.952020
198,1.279172
199,1.163212
200,1.241053
201,1.088036
202,1.295412
203,1.655604
204,1.485618
205,1.294403
206,1.345171
207,1.161597
208,1.368564
209,1.158070
210,1.176842
211,1.180831
212,1.203117
213,1.450377
214,1.246463
215,1.255258
216,1.244296
217,1.225249
218,0.971272
219,1.078657
220,1.417551
221,1.218734
222,1.254930
223,1.394079
224,1.552334
225,1.437412
226,1.449406
227,1.265693
228,1.525955
229,1.505480
230,1.352250
231,1.228456
232,1.241690
233,1.242377
234,1.390799
235,1.318143
236,1.120255
237,1.439319
238,1.195760
239,1.166552
