step,fwd_ms,bwd_ms,opt_ms,total_ms
0,305.883,832.799,47.773,1186.455
1,237.864,737.072,5.987,980.923
2,222.879,762.964,6.057,991.899
3,215.379,745.635,5.948,966.962
4,238.668,701.009,6.098,945.775
5,321.194,717.101,6.210,1044.506
6,298.272,775.066,5.937,1079.275
7,338.082,694.433,6.261,1038.776
8,227.795,789.148,6.113,1023.055
9,231.106,769.291,5.955,1006.352
10,223.747,754.482,6.156,984.385
11,275.542,784.067,6.053,1065.662
12,208.935,752.990,6.154,968.079
13,208.334,735.660,5.975,949.969
14,239.803,705.049,6.148,951.000
15,287.185,752.772,6.328,1046.285
16,204.487,695.190,6.324,906.001
17,207.140,628.857,5.861,841.858
18,348.922,661.435,6.308,1016.664
19,334.015,630.755,12.179,976.949
20,408.323,680.811,6.407,1095.541
21,339.634,702.592,6.110,1048.336
22,347.810,716.323,6.394,1070.526
23,283.570,701.378,5.938,990.886
24,339.888,698.594,6.159,1044.641
25,311.698,751.728,5.991,1069.417
26,277.107,742.958,5.960,1026.026
27,224.665,741.628,5.964,972.257
28,291.938,766.513,6.022,1064.474
29,209.111,777.887,5.911,992.909
30,248.006,758.994,5.996,1012.997
31,259.260,748.875,6.134,1014.270
32,251.486,735.293,6.048,992.827
33,332.112,759.450,6.248,1097.811
34,231.133,783.153,6.031,1020.318
35,214.356,706.775,5.953,927.084
36,294.035,708.487,6.004,1008.526
37,301.444,663.299,6.147,970.890
38,353.005,729.073,5.863,1087.941
39,249.310,698.560,6.296,954.165
40,327.217,672.638,5.929,1005.784
41,304.044,672.690,5.847,982.582
42,358.795,659.008,6.087,1023.890
43,304.346,713.968,6.076,1024.391
44,335.320,739.327,11.066,1085.714
45,275.987,765.763,6.035,1047.785
46,241.903,727.813,6.123,975.840
47,292.549,752.084,5.866,1050.499
48,241.216,745.521,6.155,992.892
49,254.583,769.831,5.851,1030.264
50,246.885,743.314,6.395,996.593
51,280.296,738.571,6.023,1024.890
52,260.689,779.555,6.187,1046.431
53,223.722,757.735,5.966,987.422
54,227.604,747.386,6.471,981.461
55,219.704,770.914,6.357,996.975
56,210.469,758.975,6.283,975.728
57,207.065,749.639,6.115,962.818
58,241.226,768.198,6.364,1015.788
59,207.890,754.390,5.962,968.242
60,224.810,750.124,6.238,981.172
61,236.785,751.808,5.992,994.584
62,224.163,787.267,5.964,1017.393
63,228.374,745.594,6.315,980.283
64,228.041,793.172,6.045,1027.258
65,231.691,768.030,5.985,1005.706
66,227.546,791.256,6.108,1024.910
67,233.359,779.394,6.364,1019.117
68,224.033,725.318,6.100,955.451
69,297.639,742.031,5.925,1045.595
70,280.982,747.619,6.211,1034.812
71,281.049,739.090,5.982,1026.122
72,319.084,745.964,6.239,1071.286
73,261.671,747.598,6.124,1015.393
74,252.169,752.416,6.134,1010.718
75,261.766,730.081,6.125,997.972
76,289.301,734.248,6.111,1029.659
77,232.889,759.676,6.085,998.650
78,259.192,754.933,6.077,1020.203
79,281.686,770.397,6.157,1058.240
80,259.895,762.082,6.208,1028.184
81,269.638,749.029,6.041,1024.707
82,285.530,776.457,6.163,1068.150
83,217.294,770.621,6.215,994.130
84,250.566,776.085,6.215,1032.866
85,207.820,745.756,6.449,960.024
86,218.317,759.203,6.048,983.568
87,267.717,752.065,6.315,1026.097
88,290.430,752.284,5.900,1048.613
89,241.108,713.438,6.243,960.789
90,291.075,745.845,5.908,1042.828
91,280.338,727.995,5.896,1014.229
92,273.388,717.170,5.972,996.531
93,312.896,750.055,6.119,1069.070
94,251.502,730.232,6.423,988.157
95,239.262,749.958,5.883,995.103
96,271.760,758.731,6.152,1036.642
97,234.186,737.560,6.327,978.073
98,237.612,767.410,6.464,1011.485
99,219.926,737.449,6.043,963.417
100,278.387,742.610,6.164,1027.161
101,288.335,715.095,6.383,1009.813
102,300.743,685.894,6.055,992.693
103,356.392,688.748,6.228,1051.368
104,323.747,704.021,6.046,1033.814
105,237.735,760.910,6.388,1005.033
106,220.774,726.252,6.005,953.030
107,289.209,764.904,6.347,1060.460
108,228.347,728.588,6.322,963.257
109,214.901,766.138,6.044,987.083
110,215.471,752.263,5.988,973.722
111,274.994,784.789,6.135,1065.918
112,246.016,764.358,5.934,1016.308
113,230.587,735.689,6.136,972.411
114,280.064,760.328,6.039,1046.431
115,250.493,705.343,5.982,961.819
116,305.397,714.717,6.298,1026.412
117,296.194,733.793,5.962,1035.949
118,266.174,733.937,6.388,1006.500
119,248.043,745.119,6.032,999.194
120,312.582,728.563,5.887,1047.032
121,300.531,746.691,6.201,1053.423
122,291.446,745.786,6.312,1043.545
123,263.892,740.321,6.416,1010.629
124,299.256,730.000,6.292,1035.549
125,275.900,708.421,6.386,990.707
126,316.791,750.677,6.199,1073.667
127,260.137,685.066,6.097,951.300
128,368.564,765.379,6.335,1140.277
129,275.976,786.021,6.395,1068.393
130,247.047,765.599,6.083,1018.729
131,240.556,729.175,6.069,975.799
132,283.828,764.053,6.131,1054.012
133,244.090,748.179,6.077,998.345
134,271.933,718.494,5.925,996.352
135,301.509,706.986,6.193,1014.689
136,322.841,711.274,5.978,1040.093
137,336.677,771.503,6.233,1114.413
138,239.854,792.195,6.135,1038.184
139,224.239,773.135,5.883,1003.257
140,229.922,735.512,6.125,971.559
141,234.295,724.359,5.991,964.645
142,286.084,655.201,5.977,947.262
143,410.551,807.875,6.025,1224.451
144,224.889,755.451,5.911,986.250
145,257.481,749.013,12.599,1019.094
146,241.284,751.504,12.049,1004.838
147,238.548,772.958,6.196,1017.702
148,235.250,792.510,6.102,1033.862
149,235.317,760.469,6.053,1001.839
150,225.111,785.252,5.946,1016.309
151,221.156,706.076,5.935,933.168
152,251.604,787.445,6.105,1045.155
153,225.521,787.657,6.095,1019.273
154,234.605,751.231,6.172,992.008
155,213.530,772.106,6.134,991.770
156,222.471,752.544,5.973,980.988
157,234.142,786.703,5.872,1026.717
158,223.931,774.268,5.952,1004.151
159,226.991,742.290,6.087,975.368
160,262.168,768.133,6.052,1036.353
161,234.096,763.859,6.068,1004.023
162,208.235,783.504,6.176,997.915
163,209.677,747.049,5.884,962.611
164,219.237,752.885,6.216,978.338
165,237.373,767.737,5.949,1011.059
166,217.485,798.354,5.972,1021.811
167,232.681,786.854,6.198,1025.733
168,216.828,782.718,6.149,1005.695
169,229.284,798.597,6.079,1033.960
170,226.202,789.393,5.977,1021.572
171,232.645,776.568,5.841,1015.055
172,216.690,772.688,5.991,995.369
173,214.265,786.207,6.120,1006.592
174,207.411,762.975,6.212,976.598
175,220.298,786.901,5.993,1013.192
176,216.396,736.344,5.932,958.671
177,207.019,802.203,5.987,1015.210
178,216.385,794.459,6.020,1016.864
179,230.098,778.923,10.768,1019.789
180,233.259,776.954,6.025,1016.238
181,217.265,780.532,6.078,1003.875
182,217.279,774.586,5.910,997.774
183,223.677,788.172,6.106,1017.954
184,225.054,773.927,6.178,1005.158
185,236.409,772.658,6.053,1015.120
186,215.935,771.889,6.120,993.943
187,223.807,735.727,6.262,965.797
188,259.467,783.559,5.969,1048.995
189,217.323,736.490,5.987,959.800
190,206.778,713.763,6.101,926.642
191,220.291,732.866,6.382,959.538
192,231.155,767.669,5.971,1004.795
193,225.278,755.160,6.067,986.504
194,224.158,776.216,6.445,1006.819
195,423.885,838.665,95.458,1358.007
196,259.138,785.434,14.556,1059.128
197,215.946,717.655,6.185,939.786
198,290.132,781.092,6.216,1077.440
199,216.170,762.597,6.029,984.796
200,230.860,765.218,6.542,1002.620
201,254.312,750.134,6.256,1010.703
202,229.571,769.736,6.543,1005.850
203,229.006,771.138,6.424,1006.568
204,215.671,757.836,6.122,979.628
205,212.829,747.149,6.281,966.259
206,257.160,715.067,6.143,978.370
207,294.444,711.879,8.496,1014.819
208,301.489,761.925,6.329,1069.743
209,228.990,777.572,6.123,1012.684
210,216.420,756.696,6.386,979.502
211,230.071,747.577,6.348,983.996
212,212.074,724.403,6.160,942.637
213,326.357,750.111,6.519,1082.986
214,248.103,760.386,6.255,1014.743
215,241.091,774.950,6.334,1022.374
216,220.707,770.163,6.423,997.293
217,210.870,786.454,6.319,1003.642
218,219.626,735.818,6.446,961.889
219,211.912,751.433,6.771,970.116
220,203.403,702.152,6.249,911.804
221,270.546,715.407,6.309,992.262
222,287.184,741.944,6.562,1035.690
223,233.835,741.951,6.268,982.054
224,230.348,737.727,12.805,980.881
225,223.844,752.222,6.375,982.441
226,232.525,764.307,6.430,1003.262
227,226.625,759.856,6.251,992.732
228,229.211,757.756,6.471,993.438
229,235.102,768.642,6.359,1010.103
230,231.813,758.560,7.622,997.994
231,220.298,759.944,6.191,986.433
232,235.003,737.624,6.301,978.928
233,285.180,777.372,6.194,1068.746
234,230.047,763.235,6.366,999.648
235,224.615,779.023,6.336,1009.974
236,222.149,698.355,6.118,926.621
237,271.313,753.478,6.147,1030.938
238,263.106,716.954,6.408,986.468
239,248.896,723.891,6.154,978.942
240,273.732,735.778,6.298,1015.808
241,307.606,737.394,6.303,1051.303
242,244.504,784.316,6.336,1035.156
243,217.345,766.167,6.184,989.696
244,230.743,780.133,6.184,1017.059
245,220.238,776.996,6.260,1003.495
246,223.408,755.608,6.276,985.292
247,229.984,778.050,6.226,1014.259
248,228.985,772.693,6.525,1008.203
249,229.664,779.241,6.135,1015.040
250,206.269,718.906,6.428,931.603
251,298.157,725.984,6.197,1030.338
252,222.814,770.944,6.584,1000.342
253,216.826,771.211,6.207,994.243
254,228.353,770.569,6.670,1005.593
255,216.049,723.774,6.375,946.198
256,256.465,780.992,6.263,1043.720
257,232.459,768.389,6.230,1007.078
258,240.616,741.786,6.228,988.630
259,223.903,741.878,6.166,971.947
260,233.847,778.639,6.169,1018.654
261,223.198,760.987,6.391,990.576
262,216.528,766.744,9.300,992.573
263,238.656,767.085,6.296,1012.037
264,230.551,752.235,6.314,989.099
265,237.051,773.777,6.315,1017.143
266,230.149,761.009,6.141,997.300
267,259.485,765.613,6.335,1031.433
268,227.653,794.283,6.578,1028.514
269,233.771,756.212,6.254,996.238
270,249.578,724.886,6.296,980.760
271,304.916,749.685,6.590,1061.191
272,229.416,771.764,6.218,1007.398
273,238.942,761.341,6.275,1006.558
274,226.711,783.104,6.250,1016.065
275,214.015,794.800,6.286,1015.101
276,214.536,771.151,6.304,991.990
277,246.156,742.956,6.368,995.480
278,224.846,769.675,6.293,1000.814
279,217.504,760.436,6.522,984.462
280,197.093,716.520,6.514,920.127
281,279.677,700.060,6.342,986.080
282,251.407,691.921,6.568,949.896
283,318.178,698.420,6.335,1022.934
284,271.455,650.744,6.191,928.390
285,299.326,687.150,6.445,992.921
286,315.336,698.444,6.275,1020.055
287,302.351,664.408,6.188,972.947
288,293.890,658.974,6.328,959.192
289,352.431,651.696,6.367,1010.494
290,311.653,694.197,6.161,1012.012
291,322.641,645.286,6.267,974.193
292,336.144,690.906,6.216,1033.266
293,330.279,633.063,6.315,969.657
294,342.966,697.037,6.194,1046.198
295,318.896,657.541,6.101,982.537
296,305.022,673.692,6.294,985.008
297,340.886,627.035,6.476,974.397
298,357.186,657.739,6.208,1021.133
299,338.659,631.796,6.506,976.960
300,371.677,715.559,6.343,1093.579
301,290.861,668.847,6.240,965.948
302,304.129,734.700,6.115,1044.944
303,254.939,683.158,6.422,944.519
304,261.259,703.877,6.593,971.730
305,309.244,693.640,6.274,1009.157
306,280.476,667.331,6.415,954.223
307,370.331,691.501,6.360,1068.192
308,294.181,718.027,6.261,1018.469
309,292.757,722.313,6.184,1021.255
310,312.139,684.377,6.537,1003.053
311,289.290,731.203,6.675,1027.167
312,270.722,702.870,6.299,979.891
313,298.754,723.482,6.153,1028.389
314,247.370,690.223,6.671,944.265
315,342.197,693.839,6.179,1042.215
316,318.245,713.428,6.275,1037.948
317,268.355,657.087,6.257,931.699
318,309.699,640.950,6.554,957.204
319,371.414,643.263,6.390,1021.067
320,353.279,640.797,6.552,1000.628
321,331.511,662.764,6.273,1000.548
322,345.978,646.656,6.259,998.893
