step,grad_l2
0,3.535744
1,7.843466
2,5.799089
3,5.411282
4,9.747580
5,7.595421
6,5.930771
7,8.263794
8,5.684111
9,7.215126
10,5.625388
11,5.378571
12,6.637629
13,5.304455
14,3.641816
15,4.749438
16,3.952769
17,7.883130
18,3.207181
19,1.559063
20,3.254994
21,3.141111
22,2.387860
23,0.853698
24,1.168629
25,0.669626
26,0.812620
27,2.210450
28,1.980110
29,2.209601
30,2.215192
31,0.562415
32,0.742410
33,0.718951
34,0.390130
35,0.463867
36,0.703105
37,1.596526
38,0.540736
39,0.564459
40,0.309905
41,0.451523
42,0.672702
43,0.783536
44,0.418996
45,0.742860
46,0.515157
47,1.259590
48,1.036953
49,0.984265
50,0.430581
51,0.579922
52,0.695182
53,0.651545
54,0.896770
55,0.865287
56,0.383080
57,0.611851
58,1.140880
59,0.603590
60,0.649056
61,0.716814
62,0.651169
63,0.545079
64,0.930188
65,0.474608
66,0.496024
67,0.834580
68,0.983190
69,0.786179
70,0.582548
71,0.886898
72,0.730762
73,0.879615
74,0.797376
75,0.661916
76,0.766041
77,0.628249
78,0.813350
79,0.903170
80,1.025046
81,0.992178
82,0.844047
83,0.867666
84,0.894364
85,0.733064
86,1.042909
87,1.277278
88,0.906159
89,0.894574
90,1.106005
91,1.131129
92,0.855630
93,1.131443
94,1.016094
95,0.874953
96,0.805533
97,0.961501
98,0.901628
99,1.224666
100,0.961804
101,1.018040
102,1.278039
103,0.929961
104,0.884992
105,1.019266
106,1.127103
107,1.046230
108,0.828056
109,0.928931
110,0.755152
111,0.960744
112,1.009133
113,0.826638
114,0.718179
115,0.747338
116,1.044184
117,1.049641
118,0.901516
119,0.965836
120,1.195174
121,1.173700
122,1.223697
123,0.878118
124,1.038600
125,1.177747
126,1.010633
127,0.893953
128,1.003484
129,0.827188
130,0.864281
131,1.000330
132,0.719831
133,0.911214
134,0.814369
135,0.826210
136,1.170911
137,0.897102
138,1.078332
139,1.011334
140,1.041866
141,1.146481
142,1.245318
143,1.073917
144,1.035476
145,0.978499
146,0.949658
147,0.792287
148,0.792799
149,0.918256
150,0.972966
151,0.987797
152,0.940927
153,0.998079
154,1.088126
155,1.313680
156,1.056096
157,0.806121
158,1.097062
159,0.955377
160,1.021297
161,0.981728
162,1.073027
163,0.844067
164,0.915854
165,1.308381
166,1.010687
167,0.795382
168,0.963766
169,0.876001
170,0.761413
171,0.838058
172,0.855873
173,1.027215
174,1.115841
175,0.993540
176,0.884298
177,0.803945
178,0.985541
179,0.982611
180,0.994156
181,1.034064
182,1.102960
183,1.229610
184,0.929115
185,0.952082
186,0.975571
187,0.914847
188,1.103675
189,1.032551
190,1.050576
191,1.072599
192,1.065899
193,1.012346
194,1.080880
195,1.202499
196,1.025725
197,1.467771
198,1.184422
199,1.474829
200,1.134674
201,0.972008
202,0.969246
203,1.186103
204,1.130738
205,0.996605
206,1.038410
207,1.208877
208,0.924999
209,1.136037
210,1.107776
211,1.118380
212,1.236039
213,1.260487
214,1.307834
215,1.306783
216,0.949807
217,0.914408
218,1.113386
219,1.186854
220,1.035568
221,1.116412
222,1.221916
223,1.356414
224,1.057723
225,1.120855
226,1.168178
227,1.241025
228,0.971411
229,1.196952
230,1.069043
231,0.970189
232,0.979311
233,1.416089
234,1.182179
235,1.026912
236,1.107548
237,1.002405
238,1.167345
239,1.353821
240,1.102589
241,0.915065
242,0.934687
243,1.184800
244,1.258930
245,1.207143
246,0.912418
247,1.198694
248,1.015760
249,1.129023
250,1.008408
251,1.274222
252,1.056588
253,1.092718
254,1.013738
255,1.082103
256,1.139820
257,0.976756
258,0.960840
259,1.091625
260,0.950443
261,0.990598
262,0.990097
263,1.127901
264,1.169041
265,1.303909
266,1.188266
267,1.030413
268,0.885638
269,1.199748
270,1.045549
271,1.182026
272,1.023374
273,0.988746
274,1.009230
275,1.115381
276,1.389745
277,1.042343
278,0.998958
279,1.111459
280,0.971604
281,1.228657
282,0.956848
283,1.047914
284,1.012650
285,1.438925
286,1.091002
287,1.136619
288,1.324737
289,0.999399
290,1.122646
291,1.243696
292,1.109560
293,1.080633
294,1.143154
295,1.095456
296,1.124569
297,1.333429
298,1.258837
299,1.148127
300,1.176866
301,1.251014
302,1.302896
303,1.190830
304,1.460260
305,1.103017
306,1.171291
307,1.098623
308,1.110659
309,1.124028
310,1.079023
311,1.028281
312,1.079414
313,1.067904
314,1.213500
315,1.051403
316,1.122853
317,1.243323
318,1.218379
319,1.186478
320,1.186022
321,0.996709
322,1.190354
323,0.989069
324,1.119090
325,1.166773
326,1.134673
327,0.968826
328,1.025630
329,1.017986
330,0.985728
331,1.081904
332,1.035463
333,1.021551
334,1.346779
335,1.090492
336,1.201259
337,1.172898
338,1.250821
339,1.280542
340,1.291337
341,1.265115
342,1.148418
343,1.183845
344,1.111212
345,0.942356
346,1.017739
