step,fwd_ms,bwd_ms,opt_ms,total_ms
0,272.374,656.607,46.150,975.131
1,238.727,561.494,6.286,806.507
2,410.542,540.466,5.862,956.870
3,210.542,558.268,5.871,774.681
4,229.301,583.087,5.506,817.894
5,222.588,582.796,5.850,811.234
6,432.370,588.509,5.299,1026.177
7,230.064,570.338,5.277,805.680
8,215.726,578.041,6.144,799.911
9,218.630,545.792,5.941,770.363
10,223.872,554.468,6.109,784.449
11,221.440,541.120,5.449,768.009
12,215.716,607.362,6.310,829.388
13,230.469,542.571,5.396,778.435
14,217.241,568.087,5.923,791.251
15,413.705,567.264,5.393,986.362
16,235.015,560.772,5.330,801.117
17,220.143,545.582,6.297,772.022
18,223.908,554.593,5.444,783.945
19,231.028,565.550,5.486,802.064
20,224.650,565.938,6.423,797.011
21,213.727,556.241,5.637,775.606
22,236.488,572.139,5.506,814.133
23,229.269,571.892,5.339,806.499
24,223.306,584.105,5.960,813.371
25,231.386,581.721,5.628,818.735
26,226.766,572.967,5.962,805.695
27,228.535,570.350,17.065,815.950
28,223.355,562.098,5.614,791.068
29,220.606,532.424,6.181,759.212
30,236.317,592.422,6.276,835.015
31,229.540,589.150,5.330,824.019
32,407.311,571.095,5.928,984.334
33,423.183,588.404,5.884,1017.471
34,230.636,580.374,5.415,816.425
35,217.705,548.130,6.345,772.180
36,224.543,579.487,6.158,810.188
37,227.142,579.993,5.347,812.482
38,213.117,551.843,5.825,770.784
39,416.099,546.123,5.768,967.989
40,223.770,567.547,5.471,796.788
41,231.514,563.828,5.412,800.754
42,227.623,765.459,5.846,998.928
43,222.632,577.331,5.420,805.383
44,216.749,548.479,5.482,770.711
45,226.286,559.767,5.809,791.863
46,223.585,542.383,6.158,772.127
47,221.839,576.798,5.442,804.079
48,231.480,577.660,5.434,814.574
49,208.909,554.852,6.030,769.791
50,216.734,544.929,5.780,767.444
51,234.003,571.189,5.425,810.618
52,219.307,552.294,6.227,777.828
53,232.244,569.297,5.455,806.996
54,214.238,572.956,5.889,793.083
55,207.676,579.300,6.269,793.245
56,216.895,544.873,16.159,777.927
57,223.386,584.118,6.277,813.781
58,223.396,566.822,5.779,795.997
59,429.069,577.013,5.629,1011.711
60,414.939,562.353,5.881,983.173
61,222.302,548.763,6.203,777.268
62,229.250,572.829,5.780,807.859
63,225.887,577.530,5.385,808.802
64,238.387,590.186,6.283,834.856
65,217.691,579.624,5.898,803.213
66,230.347,772.201,6.301,1008.849
67,216.882,557.723,5.981,780.586
68,223.204,580.317,5.859,809.380
69,229.256,582.662,5.610,817.528
70,233.299,588.122,5.630,827.051
71,223.758,576.072,6.457,806.287
72,231.799,629.350,5.569,866.718
73,222.985,594.794,5.443,823.222
74,232.422,595.534,5.356,833.311
75,232.534,584.787,5.799,823.120
76,231.529,599.678,5.373,836.581
77,222.336,588.703,5.368,816.407
78,217.540,583.910,5.887,807.337
79,242.118,585.483,6.075,833.676
80,230.365,585.448,5.630,821.443
81,232.069,604.042,5.454,841.565
82,228.942,584.053,5.463,818.458
83,231.303,577.037,6.243,814.583
84,225.908,608.683,5.402,839.994
85,232.270,597.906,5.707,835.884
86,231.820,585.184,6.243,823.248
87,233.655,610.947,5.410,850.013
88,226.084,585.437,6.152,817.672
89,218.545,597.270,5.881,821.696
90,237.172,591.763,6.189,835.124
91,234.453,584.203,5.742,824.399
92,235.875,597.819,5.825,839.519
93,234.385,591.859,6.272,832.517
94,234.896,596.181,5.582,836.659
95,232.436,585.032,5.647,823.115
96,233.487,583.006,5.397,821.890
97,240.512,589.044,5.365,834.921
98,231.389,567.103,5.918,804.410
99,236.335,575.517,6.003,817.855
100,231.109,600.282,5.711,837.102
101,226.873,582.867,5.471,815.211
102,219.069,591.309,5.803,816.181
103,221.769,583.839,6.290,811.898
104,229.864,566.185,5.925,801.974
105,210.292,583.503,5.496,799.291
106,230.713,576.778,5.655,813.146
107,220.878,592.323,5.933,819.134
108,221.001,575.352,5.902,802.255
109,223.764,588.059,5.602,817.426
110,213.271,584.865,5.655,803.791
111,220.702,573.862,5.596,800.161
112,219.588,587.251,5.650,812.489
113,229.223,572.931,6.064,808.218
114,214.001,589.723,6.023,809.747
115,217.409,597.544,6.306,821.259
116,217.735,606.190,5.864,829.790
117,211.955,582.635,6.362,800.952
118,202.790,601.600,6.200,810.590
119,194.172,569.845,6.219,770.237
120,215.042,574.300,5.927,795.268
121,209.221,610.209,6.212,825.641
122,206.771,604.247,6.344,817.361
123,177.592,599.060,5.947,782.598
124,194.123,616.409,6.119,816.652
125,168.844,636.304,6.379,811.527
126,187.975,626.267,6.051,820.293
127,197.101,641.673,6.067,844.841
128,188.788,637.552,6.266,832.606
129,200.144,548.263,6.405,754.813
130,203.892,594.111,5.905,803.908
131,212.837,563.658,5.977,782.471
132,203.503,593.376,5.968,802.847
133,192.071,598.418,6.337,796.827
134,200.091,534.835,5.360,740.285
135,184.531,522.821,6.232,713.584
136,196.129,517.678,6.247,720.053
137,188.407,724.360,6.285,919.051
138,183.049,495.251,5.296,683.596
139,400.077,493.093,6.199,899.369
140,389.996,557.821,6.302,954.119
141,208.474,528.766,6.249,743.490
142,199.630,589.674,6.176,795.481
143,198.271,573.661,6.187,778.120
144,189.256,610.895,5.907,806.058
145,212.233,582.454,5.926,800.613
146,196.617,533.109,6.060,735.787
147,186.934,570.762,5.698,763.394
148,207.477,550.004,5.929,763.411
149,195.063,586.201,5.957,787.221
150,190.727,584.804,6.160,781.690
151,194.987,564.003,5.995,764.986
152,185.802,551.414,6.148,743.363
153,207.302,506.265,6.279,719.847
154,376.743,506.370,6.277,889.389
155,200.043,499.434,5.326,704.803
156,224.464,621.894,5.880,852.238
157,209.694,591.880,6.191,807.764
158,197.050,535.002,6.254,738.306
159,184.513,571.914,6.266,762.692
160,197.451,528.944,6.017,732.412
161,191.019,525.272,5.896,722.188
162,209.355,511.531,6.017,726.903
163,183.629,513.105,5.394,702.128
164,212.333,591.492,6.146,809.972
165,199.143,582.685,6.323,788.151
166,208.856,559.816,6.274,774.946
167,223.386,519.982,6.156,749.524
168,184.672,532.846,6.167,723.685
169,210.497,506.241,5.380,722.118
170,368.131,588.562,5.897,962.590
171,225.257,559.227,5.466,789.951
172,199.496,589.369,5.942,794.807
173,182.178,570.000,6.133,758.311
174,204.216,551.131,6.365,761.712
175,197.819,569.858,6.332,774.008
176,194.920,567.704,6.421,769.044
177,210.520,559.645,6.081,776.247
178,192.436,558.262,5.841,756.539
179,204.551,541.759,6.219,752.529
180,196.609,564.487,5.861,766.958
181,192.984,556.857,5.808,755.649
182,209.564,547.295,5.871,762.730
183,195.869,516.976,6.131,718.976
184,188.521,575.348,6.356,770.225
185,207.400,523.316,5.818,736.534
186,198.195,579.159,5.722,783.076
187,200.030,561.140,5.846,767.016
188,201.939,536.896,6.227,745.062
189,191.473,558.323,6.165,755.962
190,190.427,538.589,6.197,735.213
191,202.042,636.885,5.985,844.912
192,222.172,583.706,5.817,811.695
193,209.300,606.149,6.114,821.563
194,201.318,586.465,6.220,794.003
195,438.088,650.798,87.439,1176.325
196,225.774,595.696,9.472,830.942
197,199.784,618.111,5.952,823.848
198,211.672,557.760,6.179,775.611
199,213.753,539.740,9.643,763.137
200,201.385,519.187,5.925,726.498
201,395.553,556.461,6.261,958.275
202,212.392,558.164,10.113,780.669
203,206.483,519.973,6.324,732.781
204,416.208,555.032,5.475,976.715
205,215.447,542.118,6.014,763.579
206,406.723,545.335,6.348,958.407
207,209.914,564.989,6.394,781.296
208,205.882,562.616,6.053,774.551
209,230.841,546.374,5.607,782.823
210,401.310,573.643,5.549,980.501
211,208.527,548.356,5.511,762.395
212,400.540,523.997,6.127,930.665
213,214.702,560.824,6.185,781.711
214,206.429,549.141,5.838,761.408
215,408.177,545.726,6.176,960.080
216,398.782,549.034,6.067,953.884
217,211.036,556.628,6.216,773.880
218,215.560,531.154,6.205,752.920
219,206.335,542.394,5.448,754.177
220,205.971,570.656,5.507,782.134
221,405.790,550.948,5.984,962.722
222,205.687,545.971,6.423,758.081
223,399.336,554.877,5.960,960.173
224,215.501,541.145,5.641,762.286
225,404.031,568.219,6.335,978.585
226,207.873,555.425,5.894,769.192
227,416.798,555.063,6.328,978.190
228,215.266,560.359,6.505,782.131
229,400.820,566.163,6.281,973.265
230,422.476,556.707,5.577,984.760
231,214.662,564.416,6.465,785.542
232,209.234,573.372,5.510,788.116
233,408.151,557.934,6.255,972.340
234,214.556,570.559,5.713,790.828
235,396.739,570.738,6.329,973.806
236,217.075,567.152,5.444,789.670
237,396.077,555.415,6.362,957.854
238,210.336,566.415,6.341,783.093
239,213.819,555.086,6.382,775.287
240,211.078,543.453,6.420,760.951
241,214.009,570.011,6.171,790.191
242,215.517,564.307,5.654,785.478
243,212.476,542.984,6.270,761.730
244,207.519,549.588,5.671,762.778
245,409.787,548.162,6.223,964.171
246,402.448,544.022,6.312,952.782
247,212.144,568.377,5.321,785.842
248,205.944,576.247,5.457,787.648
249,214.723,577.162,6.347,798.233
250,216.428,578.522,5.593,800.544
251,228.678,555.690,5.465,789.833
252,209.664,549.158,6.386,765.208
253,404.010,540.178,6.233,950.421
254,206.607,523.198,12.622,742.427
255,206.993,533.888,6.091,746.972
256,404.927,535.571,6.021,946.520
257,217.589,552.500,6.249,776.338
258,220.125,540.660,6.436,767.221
259,212.996,554.171,6.060,773.226
260,202.098,556.243,5.479,763.821
261,408.606,535.819,6.138,950.563
262,217.265,553.950,6.375,777.590
263,208.090,547.937,5.451,761.478
264,396.536,561.730,6.237,964.503
265,207.692,566.211,6.299,780.202
266,209.517,552.532,6.394,768.443
267,397.736,544.912,6.343,948.991
268,223.078,579.221,5.726,808.025
269,210.988,547.004,5.921,763.913
270,206.691,548.259,5.596,760.546
271,232.282,578.782,5.781,816.845
272,208.067,547.935,5.659,761.661
273,423.552,554.357,5.707,983.617
274,219.236,556.209,5.447,780.892
275,216.428,548.138,5.372,769.938
276,220.260,536.244,6.376,762.880
277,213.319,547.323,13.650,774.292
278,214.461,552.023,5.602,772.085
279,214.846,546.026,5.720,766.592
280,220.156,574.230,5.707,800.094
281,215.530,757.296,5.948,978.773
282,212.761,557.785,6.264,776.810
283,207.928,523.352,5.710,736.989
284,219.614,562.046,5.422,787.082
285,411.292,532.733,14.536,958.561
286,222.581,560.983,5.609,789.173
287,213.830,566.488,6.337,786.655
288,409.604,561.902,6.396,977.902
289,212.352,555.772,5.495,773.619
290,214.042,558.533,5.820,778.395
291,401.905,569.170,6.023,977.098
292,213.234,558.298,6.386,777.918
293,197.337,562.146,6.318,765.800
294,195.719,581.811,5.693,783.222
295,231.515,539.617,5.669,776.801
296,217.727,564.523,5.803,788.053
297,225.294,576.830,5.446,807.570
298,220.030,597.301,5.385,822.715
299,227.250,580.664,6.138,814.052
300,224.206,553.235,5.491,782.931
301,216.966,550.545,6.261,773.771
302,218.940,553.338,6.246,778.523
303,216.223,580.513,5.593,802.329
304,219.572,538.831,5.421,763.824
305,228.294,586.120,6.223,820.636
306,222.019,577.315,5.730,805.064
307,213.398,567.907,6.010,787.314
308,211.254,565.517,6.394,783.166
309,224.931,578.121,5.976,809.028
310,222.413,551.869,5.476,779.758
311,209.379,555.248,6.483,771.111
312,226.140,578.903,5.718,810.761
313,213.665,544.498,6.065,764.227
314,223.200,561.682,5.496,790.378
315,229.348,538.759,12.034,780.141
316,403.451,563.063,6.259,972.774
317,208.927,548.297,6.260,763.484
318,207.913,560.652,5.933,774.499
319,218.684,558.436,5.436,782.556
320,213.214,526.921,6.158,746.293
321,210.252,539.731,6.074,756.057
322,408.678,545.359,5.967,960.004
323,229.279,552.486,5.976,787.740
324,213.253,561.877,6.332,781.462
325,217.815,561.610,6.303,785.727
326,407.069,567.991,5.702,980.761
327,215.086,549.683,6.310,771.080
328,207.349,551.804,6.265,765.418
329,219.175,559.096,5.471,783.742
330,210.595,555.876,6.410,772.881
331,213.059,529.968,5.961,748.987
332,208.648,549.739,6.246,764.633
333,413.600,535.033,5.902,954.535
334,216.982,539.335,6.207,762.524
335,226.862,569.089,6.051,802.002
336,208.805,568.007,6.163,782.974
