step,loss
0,2.423275
1,2.886190
2,3.467245
3,3.994686
4,4.145701
5,4.482063
6,3.918523
7,3.787803
8,3.140585
9,3.699859
10,4.350021
11,6.021796
12,4.144895
13,3.337875
14,2.865671
15,5.253636
16,3.378002
17,5.201262
18,4.759718
19,2.660762
20,2.899952
21,2.484206
22,2.590330
23,2.353925
24,2.413874
25,2.357667
26,2.315588
27,2.385029
28,2.359504
29,2.396784
30,3.230709
31,2.265807
32,2.216185
33,2.213326
34,2.170549
35,2.182980
36,2.565270
37,2.195737
38,2.097082
39,2.022564
40,2.095703
41,1.953045
42,2.374401
43,2.070311
44,2.102259
45,2.047004
46,2.024867
47,2.110800
48,2.218725
49,2.033132
50,2.030111
51,2.222362
52,2.096359
53,1.959858
54,2.220277
55,2.114461
56,1.972078
57,2.026707
58,2.123092
59,1.995628
60,2.344985
61,2.126484
62,2.115008
63,2.003750
64,2.015836
65,1.996363
66,2.025666
67,1.891721
68,2.000284
69,2.099037
70,1.985260
71,1.995756
72,1.963990
73,2.142979
74,1.941345
75,2.007119
76,1.844815
77,1.931993
78,1.957674
79,1.874588
80,1.928624
81,1.798955
82,1.926455
83,1.879540
84,1.869269
85,1.878005
86,1.945181
87,1.881416
88,1.836920
89,1.883672
90,1.737578
91,1.886517
92,1.834701
93,1.961591
94,1.864771
95,1.845425
96,1.886668
97,1.811244
98,1.836923
99,1.894028
100,1.873861
101,1.856446
102,1.954208
103,1.790423
104,1.916249
105,1.888607
106,1.996668
107,1.852750
108,1.767653
109,1.622250
110,1.739343
111,1.654851
112,1.708026
113,1.692940
114,1.740999
115,1.701184
116,1.578825
117,1.738646
118,1.847862
119,1.741783
120,1.699800
121,1.678214
122,1.874297
123,1.632300
124,1.758240
125,1.752939
126,1.709186
127,1.689828
128,1.899755
129,1.607508
130,1.805325
131,1.805006
132,1.594321
133,1.610571
134,1.689448
135,1.751256
136,1.687741
137,1.583522
138,1.659087
139,1.494231
140,1.662949
141,1.631217
142,1.556632
143,1.649134
144,1.656913
145,1.555668
146,1.704216
147,1.594395
148,1.677647
149,1.688180
150,1.696977
151,1.471821
152,1.630453
153,1.557241
154,1.663382
155,1.644716
156,1.581378
157,1.556532
158,1.583642
159,1.703732
160,1.534807
161,1.533342
162,1.594228
163,1.430021
164,1.551469
165,1.505224
166,1.718198
167,1.392727
168,1.623516
169,1.592916
170,1.574495
171,1.512438
172,1.530607
173,1.442177
174,1.562368
175,1.459707
176,1.488180
177,1.612849
178,1.636050
179,1.550432
180,1.448839
181,1.567749
182,1.507337
183,1.454914
184,1.395287
185,1.577157
186,1.433377
187,1.450523
188,1.545862
189,1.546440
190,1.364209
191,1.520487
192,1.440099
193,1.391828
194,1.473319
195,1.545628
196,1.358604
197,1.505668
198,1.507371
199,1.760445
200,1.489182
201,1.537320
202,1.548673
203,1.577414
204,1.498157
205,1.463330
206,1.474663
207,1.412984
208,1.427710
209,1.399419
210,1.503718
211,1.390803
212,1.556455
213,1.519173
214,1.534107
215,1.515324
216,1.390141
217,1.406911
218,1.352508
219,1.423477
220,1.430261
221,1.373858
222,1.379108
223,1.597575
224,1.593695
225,1.527614
226,1.515439
227,1.579134
228,1.427175
229,1.491886
230,1.421069
231,1.469395
232,1.390013
233,1.481407
234,1.464222
235,1.468725
236,1.227945
237,1.513424
238,1.449534
239,1.522747
240,1.439692
241,1.254698
242,1.266658
243,1.408663
244,1.455140
245,1.330625
246,1.126409
247,1.451903
248,1.430150
249,1.381482
250,1.481481
251,1.516361
252,1.421978
253,1.470439
254,1.366786
255,1.545174
256,1.439976
257,1.357246
258,1.357411
259,1.617759
260,1.347600
261,1.397933
262,1.277240
263,1.412685
264,1.490288
265,1.493799
266,1.122399
267,1.209530
268,1.442865
269,1.354914
270,1.502085
271,1.487632
272,1.354169
273,1.303089
274,1.297484
275,1.493544
276,1.552710
277,1.323647
278,1.298579
279,1.247367
280,1.281543
281,1.405389
282,1.289313
283,1.332080
284,1.280531
285,1.390594
286,1.427545
287,1.363855
288,1.328311
289,1.211959
290,1.376213
291,1.261639
292,1.462209
293,1.292193
294,1.294931
295,1.203456
296,1.315883
297,1.300903
298,1.341928
299,1.203258
300,1.421966
301,1.317342
302,1.510939
303,1.244278
304,1.229324
305,1.260330
306,1.312969
307,1.306684
308,1.198066
309,1.232520
310,1.313910
311,1.194598
312,1.187093
313,1.252433
314,1.267435
315,1.269276
316,1.391328
317,1.276569
318,1.273699
319,1.234575
320,1.081781
321,1.180927
322,1.276107
323,1.161812
324,1.213836
325,1.434453
326,1.302733
327,1.308494
328,1.303158
329,1.300675
330,1.194885
331,1.234073
332,1.153386
333,1.269642
334,1.284382
335,1.111415
336,1.245633
337,1.097061
338,1.412470
339,1.219640
340,1.220045
341,1.193232
342,1.122901
343,1.384343
344,1.216977
345,1.295574
346,1.167694
347,1.266585
348,1.301937
349,1.334473
350,1.283907
351,1.148692
352,1.039542
353,1.204273
354,1.078286
355,1.111956
356,0.901485
357,1.197551
358,1.196762
359,1.055259
360,1.248808
361,1.195285
362,1.056405
363,1.210411
364,1.265616
365,1.424675
366,1.297916
367,1.114270
368,1.289205
369,1.148582
370,1.205145
371,1.230760
372,1.192589
373,1.235221
374,1.166633
375,1.087775
376,1.095469
377,1.103528
378,1.149570
379,1.193789
380,1.006240
381,1.367849
382,1.317449
383,1.029120
384,1.250113
385,1.245567
386,1.144428
387,1.159525
388,1.198402
389,1.405069
390,1.089887
391,1.108240
392,1.049757
393,1.042751
394,1.186651
395,1.138068
396,1.174757
397,0.935359
398,1.079592
399,1.078835
400,1.033652
401,1.016539
402,1.197741
403,1.139874
404,1.052320
405,1.116664
406,1.094123
407,1.141614
408,1.161447
409,1.181265
410,1.335896
411,1.190288
412,1.011067
413,1.060163
414,1.073871
415,1.082679
416,1.105448
417,1.067281
418,1.205746
419,1.125304
420,0.990040
421,1.075096
422,1.244698
423,1.172202
424,1.353780
425,1.122211
426,1.130001
427,1.065468
428,1.145552
429,1.186915
430,0.878035
431,1.087547
432,1.084096
433,1.086229
434,1.109329
435,0.964060
436,1.113312
437,1.110794
438,1.065761
439,0.853030
440,1.156972
441,1.010413
442,1.188012
443,1.087499
444,1.017069
445,0.885298
446,1.127490
447,1.047761
448,1.085922
449,1.180012
450,1.118896
451,1.065955
452,0.949809
453,1.250970
454,1.004988
455,1.177838
456,1.147628
457,0.986904
458,1.094301
459,1.105918
460,1.195988
461,0.853219
462,1.197996
463,1.173362
464,0.994816
465,0.793459
466,1.166465
467,0.923245
468,1.057647
469,0.930216
470,0.942713
471,0.950916
472,0.853557
473,0.854526
474,0.912704
475,1.106158
476,1.112695
477,0.980907
478,1.063771
479,0.969302
480,0.942867
481,1.033801
482,1.014074
483,0.917828
484,1.120156
485,0.961564
486,1.311318
487,0.879289
488,0.923789
489,0.916225
490,0.942147
491,0.944665
492,1.006747
493,0.850447
494,0.861132
495,1.004935
496,1.106678
497,1.091163
498,1.169212
499,0.844591
