step,grad_l2
0,3.153722
1,4.513410
2,7.805552
3,9.723844
4,6.221972
5,9.367655
6,9.383887
7,7.124318
8,7.627759
9,4.844070
10,5.981764
11,4.666621
12,2.768126
13,3.773976
14,1.967425
15,1.848487
16,0.955631
17,1.551178
18,1.386342
19,0.569309
20,1.697853
21,1.758953
22,1.401201
23,1.468917
24,1.065730
25,1.504716
26,1.570979
27,0.850282
28,1.304283
29,0.675898
30,0.740882
31,0.975400
32,1.206221
33,0.424710
34,1.084989
35,0.997510
36,0.951017
37,0.690715
38,1.580798
39,0.975397
40,0.732709
41,0.882537
42,1.062449
43,1.075995
44,0.867070
45,1.054526
46,0.606173
47,0.875484
48,0.831454
49,0.800990
50,0.789311
51,0.704705
52,0.634015
53,0.601239
54,0.481031
55,0.616727
56,0.973266
57,0.677891
58,0.516354
59,0.943527
60,0.920989
61,0.929088
62,0.718692
63,0.706243
64,1.139765
65,0.577414
66,0.664140
67,0.676950
68,0.670477
69,0.605505
70,0.768441
71,0.619976
72,0.542337
73,0.665104
74,0.508873
75,0.684720
76,0.548445
77,0.663698
78,1.021177
79,0.704638
80,0.588690
81,0.678309
82,0.575488
83,0.630329
84,0.711197
85,0.547762
86,0.601230
87,0.575072
88,0.882572
89,0.638121
90,0.734850
91,0.922899
92,0.555337
93,0.809297
94,0.614782
95,0.802880
96,0.702032
97,0.899690
98,0.923597
99,1.019704
100,0.933275
101,0.944596
102,0.713827
103,0.853704
104,0.699549
105,0.693847
106,0.923955
107,0.733235
108,0.975310
109,0.831071
110,0.781568
111,0.805472
112,0.958896
113,0.773976
114,0.673175
115,0.767768
116,0.985106
117,0.833087
118,0.589000
119,0.617899
120,0.661054
121,0.812097
122,0.792775
123,0.741051
124,0.752899
125,0.697071
126,0.978410
127,1.057130
128,1.071865
129,0.842295
130,0.925700
131,1.283220
132,0.931573
133,0.949104
134,0.843595
135,0.796014
136,0.738103
137,0.986877
138,0.854884
139,0.760938
140,0.894258
141,1.023079
142,0.854683
143,0.879162
144,0.977728
145,0.715763
146,1.017839
147,0.954004
148,0.938781
149,0.904652
150,1.185694
151,0.733172
152,1.233073
153,1.486221
154,0.925256
155,1.504954
156,1.159718
157,1.165337
158,1.141259
159,1.071277
160,1.070765
161,1.161249
162,0.981771
163,1.031084
164,0.932283
165,0.862656
166,0.940709
167,1.046628
168,0.767243
169,0.876859
170,1.142296
171,0.914580
172,1.152479
173,0.775169
174,0.979717
175,1.035750
176,1.086506
177,1.085868
178,1.000689
179,0.919937
180,1.029278
181,0.871152
182,0.709055
183,0.666815
184,0.761714
185,1.015814
186,0.686529
187,0.996992
188,0.988497
189,1.238947
190,1.123196
191,1.197047
192,0.930838
193,1.124695
194,1.138648
195,0.877994
196,1.147965
197,0.955268
198,1.001002
199,1.254187
200,1.157913
201,0.852922
202,0.929106
203,1.056469
204,0.792764
205,0.908053
206,0.970969
207,0.940059
208,0.736666
209,0.802440
210,1.066647
211,0.913219
212,1.091762
213,0.996031
214,0.956253
215,0.974934
216,0.901826
217,0.921482
218,1.099752
219,1.083774
220,0.915978
221,0.922138
222,1.049635
223,0.893037
224,0.847459
225,1.318481
226,0.770841
227,0.966430
228,0.898276
229,0.965452
230,1.186648
231,0.732225
232,0.826486
233,1.128908
234,1.089760
235,1.399686
236,1.175743
237,1.425581
238,1.270891
239,1.084743
240,0.943921
241,1.021345
242,1.218712
243,0.995421
244,1.177305
245,0.848653
246,0.955975
247,1.254158
248,0.955450
249,0.819684
250,0.893394
251,0.899860
252,1.043596
253,0.988429
254,0.892173
255,0.791446
256,0.966555
257,0.888575
258,1.082871
259,1.108078
260,1.020351
261,1.158849
262,0.919611
263,1.089214
264,1.091107
265,1.130878
266,0.932999
267,1.058417
268,1.088427
269,1.481712
270,1.190277
271,1.042538
272,1.453880
273,0.881758
274,1.053589
275,0.944824
276,1.122020
277,0.996104
278,1.108863
279,0.970565
280,1.090028
281,1.370068
282,1.135331
283,1.322816
284,0.978483
285,1.260558
286,1.066124
287,1.016790
288,1.031552
289,1.180894
290,1.106977
291,0.859924
292,1.241726
293,1.141781
294,1.001378
295,1.078992
296,1.292279
297,0.969025
298,1.237185
299,1.056457
300,1.210192
301,1.153175
302,1.108059
303,1.237037
304,1.030939
305,1.275402
306,1.232629
307,1.349077
308,1.028661
309,0.909929
310,1.115593
311,1.186085
312,1.176690
313,0.960594
314,1.135424
315,1.196629
316,1.007282
317,0.995838
318,0.910373
319,1.099984
320,0.906455
321,0.984156
322,1.188021
323,1.310258
324,1.069967
325,1.071795
326,0.946115
327,1.031780
328,0.989753
329,0.911311
330,0.982705
331,1.028324
332,1.121773
333,1.159178
334,1.080691
335,1.156311
336,1.272188
337,1.360937
338,1.161236
339,1.175202
340,0.873502
341,1.230891
342,1.211119
343,1.324387
344,1.150084
345,1.216501
346,1.116906
347,1.095139
348,1.105647
349,1.012092
350,1.142813
351,1.311856
352,1.444206
353,1.214265
354,1.021572
355,1.192689
356,0.863385
357,0.977149
358,0.999778
359,0.994647
360,1.127754
361,0.994883
362,0.992285
363,0.785428
364,0.933681
