step,loss
0,2.291411
1,2.664143
2,3.040978
3,3.930321
4,4.882926
5,6.054046
6,6.620762
7,6.195501
8,6.881624
9,4.776549
10,4.719067
11,3.755694
12,3.305749
13,3.247526
14,2.924687
15,3.252066
16,2.630183
17,3.085456
18,2.421799
19,2.362800
20,3.207822
21,2.305451
22,2.332740
23,2.370087
24,2.417277
25,2.551817
26,2.480822
27,2.420984
28,2.276906
29,2.223318
30,2.196992
31,2.273663
32,2.371228
33,2.061381
34,2.081707
35,2.179210
36,2.079089
37,2.042526
38,2.434106
39,2.117374
40,2.033992
41,2.212734
42,2.026920
43,2.138709
44,1.997855
45,1.963353
46,2.141068
47,2.090450
48,2.106015
49,2.132625
50,2.134954
51,2.013375
52,2.011820
53,1.998147
54,1.962758
55,2.071425
56,2.239443
57,2.037540
58,1.905498
59,1.885744
60,1.973957
61,2.012734
62,1.844131
63,1.937886
64,1.854878
65,1.830913
66,1.920261
67,1.927311
68,1.991144
69,1.875431
70,1.858640
71,1.974511
72,1.946439
73,1.854397
74,1.862597
75,1.899019
76,1.876672
77,1.957612
78,1.931260
79,1.925079
80,1.870810
81,1.859211
82,1.879485
83,1.754993
84,1.803438
85,1.795070
86,1.887518
87,1.839105
88,2.036991
89,1.885183
90,1.845035
91,1.821023
92,1.777519
93,1.843515
94,1.916513
95,1.778315
96,1.848657
97,1.810067
98,1.751351
99,1.816493
100,1.731158
101,1.683064
102,1.797112
103,1.855338
104,1.823542
105,1.684709
106,1.693748
107,1.614339
108,1.891175
109,1.719893
110,1.840660
111,1.735471
112,1.939937
113,1.762259
114,1.663252
115,1.803021
116,1.786029
117,1.892090
118,1.786174
119,1.707700
120,1.830589
121,1.772748
122,1.771653
123,1.799671
124,1.745700
125,1.787971
126,1.800750
127,1.711582
128,1.792438
129,1.797692
130,1.752199
131,1.657938
132,1.705604
133,1.708569
134,1.679914
135,1.621741
136,1.566094
137,1.698269
138,1.688757
139,1.631715
140,1.761811
141,1.664449
142,1.704068
143,1.680509
144,1.629110
145,1.688629
146,1.690391
147,1.621312
148,1.667081
149,1.579155
150,1.605333
151,1.578231
152,1.569028
153,1.574382
154,1.573028
155,1.617894
156,1.633640
157,1.642608
158,1.633149
159,1.710832
160,1.703071
161,1.643063
162,1.744917
163,1.818462
164,1.642976
165,1.463661
166,1.420331
167,1.578630
168,1.573536
169,1.561682
170,1.457955
171,1.614387
172,1.584171
173,1.431605
174,1.512519
175,1.509155
176,1.475999
177,1.632467
178,1.676603
179,1.692014
180,1.582556
181,1.583190
182,1.623759
183,1.590916
184,1.497925
185,1.514720
186,1.460232
187,1.555433
188,1.594126
189,1.640957
190,1.685916
191,1.673218
192,1.413533
193,1.512036
194,1.495537
195,1.609998
196,1.432956
197,1.439697
198,1.488106
199,1.468458
200,1.616455
201,1.451926
202,1.472328
203,1.581023
204,1.399093
205,1.524861
206,1.615613
207,1.433480
208,1.413249
209,1.398339
210,1.561510
211,1.498299
212,1.636268
213,1.475388
214,1.432094
215,1.618391
216,1.350222
217,1.339058
218,1.499531
219,1.413684
220,1.532872
221,1.526590
222,1.452077
223,1.429362
224,1.489770
225,1.531009
226,1.348032
227,1.349561
228,1.296083
229,1.319139
230,1.469731
231,1.354112
232,1.460230
233,1.520267
234,1.492115
235,1.295515
236,1.351078
237,1.464941
238,1.385450
239,1.396161
240,1.502778
241,1.291498
242,1.410456
243,1.458913
244,1.408604
245,1.376227
246,1.291965
247,1.500781
248,1.477581
249,1.266809
250,1.417375
251,1.394808
252,1.398396
253,1.251038
254,1.464096
255,1.375467
256,1.402923
257,1.405627
258,1.346710
259,1.475368
260,1.332889
261,1.392030
262,1.262108
263,1.412619
264,1.501389
265,1.350638
266,1.240863
267,1.345819
268,1.369437
269,1.484875
270,1.351479
271,1.268298
272,1.397229
273,1.372245
274,1.274292
275,1.403637
276,1.493203
277,1.363001
278,1.315712
279,1.250653
280,1.363927
281,1.384158
282,1.467858
283,1.445690
284,1.479930
285,1.373472
286,1.359759
287,1.348691
288,1.349887
289,1.305824
290,1.469715
291,1.153466
292,1.398277
293,1.290898
294,1.131807
295,1.174019
296,1.293649
297,1.133885
298,1.074212
299,1.390471
300,1.284981
301,1.289775
302,1.275949
303,1.159338
304,1.328597
305,1.324513
306,1.470853
307,1.414922
308,1.383052
309,1.325329
310,1.512047
311,1.339741
312,1.272293
313,1.468701
314,1.338862
315,1.295399
316,1.436819
317,1.296746
318,1.171103
319,1.353899
320,1.237325
321,1.316796
322,1.440299
323,1.337782
324,1.353613
325,1.210501
326,1.216502
327,1.352425
328,1.218829
329,1.167177
330,1.100914
331,1.126173
332,1.357031
333,1.288071
334,1.184858
335,1.321710
336,1.435036
337,1.394286
338,1.229186
