step,fwd_ms,bwd_ms,opt_ms,total_ms
0,291.501,822.305,46.045,1159.851
1,236.767,746.714,5.372,988.854
2,204.638,711.279,5.390,921.308
3,206.103,702.311,5.478,913.893
4,209.246,687.797,5.372,902.415
5,211.638,668.030,5.325,884.993
6,180.511,730.580,5.438,916.530
7,222.504,751.712,5.323,979.538
8,225.544,766.230,5.461,997.236
9,202.091,736.492,5.404,943.987
10,247.491,782.519,5.387,1035.398
11,213.179,695.376,5.378,913.933
12,252.966,695.483,11.817,960.267
13,230.128,723.944,5.354,959.425
14,232.800,768.780,5.425,1007.005
15,211.871,739.251,5.374,956.496
16,191.612,706.526,5.396,903.535
17,300.693,722.445,5.538,1028.675
18,225.753,741.288,5.414,972.454
19,254.529,718.496,5.244,978.269
20,267.584,717.120,5.436,990.140
21,197.934,709.697,5.330,912.960
22,231.511,749.422,5.538,986.472
23,227.844,715.576,5.401,948.821
24,246.079,753.826,5.327,1005.232
25,206.074,724.326,5.293,935.693
26,260.593,708.028,5.369,973.990
27,261.307,709.185,5.426,975.918
28,295.873,705.663,5.411,1006.947
29,271.559,694.341,5.442,971.342
30,272.424,705.430,5.386,983.241
31,251.166,702.116,5.386,958.668
32,235.899,699.561,5.414,940.874
33,232.315,687.182,5.382,924.880
34,276.306,681.063,5.295,962.664
35,295.587,698.237,5.455,999.280
36,260.680,656.655,5.460,922.794
37,275.926,729.131,5.448,1010.505
38,276.163,679.048,5.442,960.654
39,280.226,728.510,5.334,1014.070
40,301.508,652.233,5.390,959.131
41,270.649,716.846,5.456,992.951
42,289.270,713.667,5.390,1008.328
43,236.783,697.977,5.319,940.080
44,277.688,717.098,5.365,1000.151
45,267.695,686.206,5.338,959.239
46,271.970,712.966,5.498,990.434
47,245.720,682.319,5.415,933.453
48,278.726,727.371,5.308,1011.405
49,277.372,675.586,5.382,958.339
50,289.508,698.052,5.458,993.018
51,296.975,679.219,5.384,981.578
52,292.720,654.314,5.417,952.450
53,298.867,682.015,5.370,986.252
54,325.134,629.361,5.388,959.883
55,323.030,688.612,5.460,1017.102
56,263.334,662.564,5.352,931.250
57,306.600,688.960,5.465,1001.025
58,291.567,667.384,5.414,964.365
59,295.136,660.675,5.321,961.132
60,334.479,707.242,5.361,1047.082
61,273.210,677.860,5.306,956.375
62,292.573,705.920,5.520,1004.013
63,261.298,679.687,5.387,946.373
64,288.175,727.850,5.428,1021.452
65,250.721,714.204,5.482,970.407
66,202.568,704.692,5.399,912.659
67,170.122,639.441,5.422,814.986
68,238.152,680.598,5.363,924.113
69,185.470,691.578,5.428,882.477
70,184.642,677.936,5.464,868.042
71,210.616,686.010,5.412,902.037
72,169.259,725.135,5.486,899.881
73,197.957,681.220,5.394,884.571
74,173.790,723.773,5.401,902.964
75,166.987,672.663,5.467,845.117
76,198.446,711.261,5.469,915.176
77,195.384,643.334,5.441,844.159
78,178.625,682.582,5.313,866.520
79,193.681,694.774,5.386,893.841
80,185.185,726.728,5.378,917.292
81,173.109,707.830,5.413,886.352
82,189.651,699.118,5.455,894.223
83,177.307,724.902,5.362,907.571
84,197.585,726.579,5.376,929.540
85,183.901,697.207,5.402,886.510
86,175.465,736.835,5.326,917.626
87,197.441,650.154,5.401,852.996
88,170.384,657.336,5.385,833.105
89,195.588,722.657,5.419,923.664
90,216.332,697.424,5.405,919.161
91,194.923,667.555,5.446,867.924
92,226.073,701.192,5.414,932.679
93,189.621,715.844,5.409,910.873
94,189.652,692.328,5.372,887.352
95,171.581,639.409,5.298,816.287
96,194.734,620.228,5.419,820.381
97,240.377,727.112,5.354,972.842
98,195.956,717.820,5.397,919.173
99,169.433,782.343,5.446,957.223
100,206.741,648.751,5.370,860.863
101,185.133,699.796,5.402,890.331
102,180.921,640.355,5.431,826.707
103,226.815,678.742,5.392,910.949
104,189.346,703.176,5.420,897.942
105,188.398,685.091,5.340,878.829
106,194.495,682.239,5.443,882.177
107,176.984,695.029,5.448,877.461
108,186.617,693.155,5.354,885.126
109,195.004,650.594,5.382,850.980
110,195.805,680.084,5.411,881.300
111,180.923,705.985,5.351,892.260
112,211.297,711.804,5.373,928.474
113,189.037,726.821,5.438,921.296
114,188.567,696.153,5.405,890.124
115,184.099,676.321,5.468,865.889
116,166.097,707.424,5.451,878.972
117,202.790,671.701,5.366,879.856
118,206.469,699.236,5.381,911.087
119,207.923,684.122,5.314,897.359
120,187.214,718.948,5.343,911.505
121,188.199,670.614,5.397,864.211
122,233.111,592.346,5.359,830.816
123,298.522,726.920,5.404,1030.847
124,195.033,693.075,5.479,893.588
125,209.633,752.979,5.537,968.149
126,201.842,717.118,5.424,924.384
127,179.308,708.548,5.366,893.223
128,199.319,670.816,5.427,875.561
129,191.872,704.586,5.357,901.815
130,203.051,728.595,5.337,936.982
131,181.106,685.408,5.291,871.806
132,193.409,704.040,5.376,902.824
133,182.516,675.016,5.341,862.874
134,184.688,752.234,5.417,942.339
135,193.808,691.952,11.883,897.642
136,185.961,739.976,5.362,931.299
137,197.548,724.693,5.388,927.629
138,194.832,706.067,5.360,906.259
139,190.301,687.935,5.369,883.605
140,173.893,694.906,5.451,874.251
141,233.617,667.261,5.447,906.325
142,201.206,725.734,5.372,932.312
143,201.972,648.473,5.407,855.852
144,231.294,715.122,5.348,951.765
145,187.211,719.665,5.385,912.261
146,190.993,709.772,5.441,906.206
147,195.293,695.755,11.981,903.030
148,168.834,732.141,5.393,906.368
149,188.692,673.526,5.355,867.572
150,176.648,680.631,5.363,862.642
151,233.571,717.920,5.333,956.824
152,193.208,720.053,5.355,918.615
153,184.597,726.371,5.347,916.315
154,165.103,694.623,5.401,865.128
155,201.980,718.705,5.445,926.130
156,177.183,732.927,5.374,915.484
157,205.657,663.643,5.306,874.605
158,203.258,706.085,5.340,914.684
