step,loss
0,2.291411
1,2.664243
2,3.046348
3,3.920550
4,4.829824
5,5.983683
6,6.592863
7,6.324812
8,6.952919
9,5.167691
10,4.550716
11,2.936693
12,2.513049
13,2.739817
14,3.726881
15,3.067424
16,2.537480
17,3.449708
18,2.566774
19,2.221537
20,2.776250
21,2.702790
22,3.023881
23,2.850699
24,2.757950
25,2.608111
26,2.406112
27,2.561466
28,2.450558
29,2.871665
30,2.626479
31,2.404547
32,2.487122
33,2.129351
34,2.113689
35,2.307304
36,1.996299
37,2.058840
38,2.310614
39,2.062912
40,1.994004
41,2.089230
42,2.097063
43,2.042254
44,2.052582
45,2.036675
46,2.099613
47,2.091753
48,2.101609
49,2.007832
50,2.068282
51,2.180862
52,2.079523
53,2.084420
54,2.036796
55,2.092129
56,2.157763
57,1.980239
58,1.876032
59,1.895200
60,1.906120
61,2.039435
62,1.892687
63,1.930756
64,1.785036
65,1.827615
66,1.890345
67,1.948824
68,2.014376
69,1.846611
70,1.882574
71,1.948667
72,1.934189
73,1.841802
74,1.853947
75,1.821328
76,1.839279
77,2.058509
78,1.835051
79,2.028783
80,1.930262
81,1.836584
82,1.892805
83,1.767805
84,1.798235
85,1.812711
86,1.969624
87,1.900742
88,2.140452
89,1.881777
90,1.796612
91,1.833556
92,1.773334
93,1.850710
94,1.905984
95,1.831659
96,1.894293
97,1.865520
98,1.851890
99,1.879287
100,1.836045
101,1.678298
102,1.728604
103,1.870951
104,1.808412
105,1.712395
106,1.755250
107,1.669544
108,1.843253
109,1.726284
110,1.814083
111,1.748444
112,1.834133
113,1.644810
114,1.624586
115,1.825686
116,1.748530
117,1.978050
118,1.755177
119,1.717706
120,1.813778
121,1.715962
122,1.807371
123,1.819655
124,1.778691
125,1.694371
126,1.776875
127,1.718819
128,1.753098
129,1.772499
130,1.677664
131,1.676248
132,1.714152
133,1.773795
134,1.645729
135,1.689493
136,1.581027
137,1.744390
138,1.635924
139,1.716014
140,1.737369
141,1.599245
142,1.725321
143,1.746266
144,1.643371
145,1.682274
146,1.669731
147,1.728643
148,1.663097
149,1.622086
150,1.720303
151,1.672858
152,1.603555
153,1.711734
154,1.650178
155,1.639343
156,1.590980
157,1.677198
158,1.690946
159,1.699219
160,1.724226
161,1.637941
162,1.812782
163,1.843582
164,1.673626
165,1.586451
166,1.482702
167,1.605949
168,1.648694
169,1.667335
170,1.491442
171,1.618788
172,1.619183
173,1.481372
174,1.536878
175,1.507830
176,1.682950
177,1.690636
178,1.679371
179,1.714113
180,1.621967
181,1.639619
182,1.733195
183,1.641888
184,1.609737
185,1.659225
186,1.591711
187,1.692595
188,1.743669
189,1.589766
190,1.745826
191,1.777634
192,1.526642
193,1.624353
194,1.516620
195,1.661715
196,1.536563
197,1.444778
198,1.563886
199,1.466158
200,1.627765
201,1.555323
202,1.581912
203,1.591373
204,1.524510
205,1.495822
206,1.570323
207,1.593588
208,1.526955
209,1.526930
210,1.685357
211,1.537287
212,1.636674
213,1.702355
214,1.557582
215,1.692996
216,1.536371
217,1.433451
218,1.518721
219,1.487968
220,1.557106
221,1.638769
222,1.572302
223,1.492936
224,1.523721
225,1.511886
226,1.454271
227,1.455951
228,1.356311
229,1.363185
230,1.499386
231,1.501502
232,1.590651
233,1.632072
234,1.542712
235,1.412348
236,1.391396
237,1.488612
238,1.527945
239,1.472785
240,1.585988
241,1.445668
242,1.455769
243,1.575914
244,1.475393
245,1.437059
246,1.341113
247,1.507112
248,1.544482
249,1.376677
250,1.493752
251,1.530831
252,1.472332
253,1.262750
254,1.454896
255,1.512081
256,1.566152
257,1.491782
258,1.465771
259,1.668342
260,1.422431
261,1.392380
262,1.389301
263,1.611819
264,1.530650
265,1.443974
266,1.389588
267,1.468881
268,1.409699
269,1.499657
270,1.435567
271,1.306547
272,1.385311
273,1.435229
274,1.317731
275,1.493722
276,1.459654
277,1.427075
278,1.359976
279,1.265896
280,1.472599
281,1.518663
282,1.486339
283,1.481898
284,1.577032
285,1.443713
286,1.494004
287,1.433231
288,1.456635
289,1.334435
290,1.468078
291,1.227417
292,1.498829
293,1.289872
294,1.252740
295,1.230590
296,1.349992
297,1.303531
298,1.283803
299,1.511287
300,1.441196
301,1.476097
302,1.418561
303,1.327108
304,1.482635
305,1.415966
306,1.470334
307,1.489440
308,1.590786
309,1.477307
310,1.693217
311,1.416535
312,1.409577
313,1.558565
314,1.514815
315,1.444444
316,1.553641
317,1.478494
318,1.443078
319,1.441391
320,1.393689
321,1.371839
322,1.359024
323,1.457706
324,1.420800
325,1.377535
326,1.279939
327,1.451989
328,1.373077
329,1.308980
330,1.203677
331,1.182780
332,1.584003
333,1.474803
334,1.435309
335,1.377062
336,1.466969
337,1.494617
338,1.280485
339,1.394873
340,1.289992
341,1.324521
342,1.329626
343,1.282599
344,1.563459
345,1.386693
346,1.336623
347,1.407969
348,1.334663
349,1.330773
350,1.334595
351,1.321360
352,1.294707
353,1.478732
354,1.496216
355,1.439186
356,1.409959
357,1.411292
358,1.477025
359,1.376655
360,1.439171
361,1.481385
362,1.323592
363,1.277756
364,1.298208
365,1.308583
366,1.339321
367,1.436598
368,1.331809
369,1.211122
370,1.566820
371,1.269578
372,1.312195
373,1.104555
374,1.422554
375,1.407141
376,1.327244
377,1.312519
378,1.280580
379,1.203052
380,1.419861
381,1.340769
382,1.344830
383,1.212867
384,1.430977
385,1.307689
386,1.397918
387,1.478882
388,1.373503
389,1.223030
390,1.378607
391,1.183444
392,1.290459
393,1.359798
394,1.368954
395,1.111099
396,1.340319
397,1.348002
398,1.280457
399,1.416384
400,1.436909
401,1.360236
402,1.232036
403,1.256157
404,1.248883
405,1.359310
406,1.299293
407,1.290304
408,1.374004
409,1.321132
410,1.302017
411,1.256166
412,1.400192
413,1.315454
414,1.075662
415,1.248656
416,1.140652
417,1.278609
418,1.541439
419,1.306226
420,1.219918
421,1.195338
422,1.107681
423,1.321037
424,1.366878
425,1.444802
426,1.036155
427,1.257015
428,1.318875
429,1.623391
430,1.259380
431,1.212832
432,1.408147
433,1.369030
434,1.203135
435,1.254906
436,1.349900
437,1.374931
438,1.328319
439,1.305397
440,1.209566
441,1.387447
442,1.264300
443,1.217022
444,1.218892
445,1.413502
446,1.050944
447,1.280770
448,1.243567
449,1.312932
450,1.260113
451,1.149759
452,1.025244
453,1.122997
454,1.143901
455,1.215579
456,1.251558
457,1.329639
458,1.217765
459,1.163627
460,1.056377
461,1.245845
462,1.136723
463,1.206968
464,1.169279
465,1.073198
466,1.091500
467,1.122043
468,1.318143
469,1.076709
470,1.142388
471,1.192701
472,1.262490
473,1.373265
474,1.189010
475,1.242073
476,1.144826
477,0.998524
478,1.202562
479,1.067887
480,1.089770
481,1.038475
482,1.030525
483,1.230507
484,1.238940
485,1.062459
486,1.276158
487,1.255076
488,1.180341
489,1.470574
490,1.168067
491,0.951055
492,1.045220
493,1.279986
494,0.998555
495,1.325218
496,1.229163
497,1.011154
498,1.257778
499,1.331900
