step,fwd_ms,bwd_ms,opt_ms,total_ms
0,342.487,613.980,45.905,1002.372
1,240.625,536.443,5.357,782.426
2,224.059,577.481,5.341,806.882
3,218.668,571.965,6.027,796.660
4,233.448,589.407,5.350,828.205
5,220.425,584.172,5.256,809.853
6,226.156,572.735,5.835,804.726
7,220.476,539.161,5.800,765.438
8,231.475,582.026,5.310,818.811
9,229.296,581.658,5.284,816.238
10,236.703,563.132,5.576,805.411
11,229.211,536.804,5.985,771.999
12,225.522,562.936,6.283,794.741
13,233.334,622.379,5.865,861.578
14,233.166,565.973,5.312,804.450
15,234.203,543.869,6.200,784.272
16,232.624,585.317,5.537,823.477
17,219.312,592.794,5.367,817.473
18,228.947,571.716,5.877,806.540
19,218.105,573.479,5.862,797.446
20,215.475,563.145,5.398,784.018
21,221.723,556.066,5.313,783.102
22,228.025,567.575,5.392,800.992
23,226.356,606.618,5.601,838.574
24,217.914,588.453,5.625,811.992
25,231.674,570.863,5.374,807.911
26,219.942,575.920,5.455,801.317
27,210.544,549.264,5.380,765.188
28,214.739,543.639,5.912,764.290
29,195.550,525.571,5.841,726.962
30,219.183,540.540,5.878,765.602
31,228.239,553.144,5.959,787.342
32,227.119,583.496,5.483,816.098
33,218.814,587.096,5.335,811.245
34,201.589,549.348,6.165,757.102
35,211.100,555.475,5.339,771.914
36,206.980,509.486,5.913,722.379
37,191.004,533.206,6.198,730.407
38,204.743,561.991,5.867,772.601
39,186.983,572.679,6.199,765.861
40,195.387,585.324,5.890,786.601
41,212.852,552.193,5.873,770.918
42,216.679,538.581,5.747,761.007
43,240.269,580.156,5.631,826.056
44,221.900,537.077,5.814,764.791
45,238.085,542.186,5.744,786.015
46,230.365,568.843,6.054,805.261
47,213.093,569.405,6.225,788.723
48,206.366,561.690,5.838,773.894
49,209.758,562.855,5.957,778.570
50,217.312,559.516,6.253,783.080
51,205.592,560.731,6.228,772.552
52,186.412,566.809,5.911,759.132
53,200.246,582.984,5.842,789.072
54,166.738,508.178,14.029,688.945
55,206.302,530.889,6.115,743.307
56,200.191,548.466,5.982,754.640
57,255.764,518.359,5.919,780.043
58,202.792,569.293,5.915,778.000
59,210.774,554.717,5.867,771.357
60,208.816,567.260,5.792,781.869
61,228.288,550.929,5.748,784.964
62,218.045,586.265,6.053,810.362
63,206.645,574.980,5.408,787.032
64,204.011,543.715,6.305,754.031
65,192.877,531.716,5.774,730.368
66,203.443,542.354,6.309,752.105
67,202.728,563.786,6.099,772.613
68,210.096,588.493,6.261,804.850
69,234.072,568.983,5.417,808.472
70,212.431,569.306,6.157,787.893
71,208.827,564.960,5.823,779.610
72,220.947,560.225,5.780,786.953
73,228.580,562.360,5.777,796.716
74,228.163,584.020,5.402,817.585
75,232.786,581.917,5.532,820.235
76,227.147,563.778,6.003,796.927
77,235.712,589.991,6.041,831.744
78,221.743,558.899,5.349,785.991
79,217.076,578.317,6.178,801.571
80,226.464,569.544,5.346,801.354
81,235.400,561.085,5.395,801.880
82,248.825,577.909,5.390,832.124
83,236.188,555.783,5.375,797.346
84,234.072,587.730,5.621,827.424
