step,grad_l2
0,3.088902
1,4.645578
2,6.113808
3,8.466554
4,9.459957
5,7.787319
6,7.275681
7,5.209734
8,4.765897
9,19.775640
10,4.094460
11,4.322575
12,2.142658
13,3.100609
14,1.508420
15,3.623889
16,1.547426
17,1.440887
18,9.209079
19,1.595389
20,1.247398
21,1.310154
22,1.153401
23,1.285756
24,1.336845
25,0.760573
26,0.671649
27,1.324237
28,0.896928
29,1.106396
30,0.926146
31,0.852447
32,0.806588
33,0.990316
34,1.337985
35,0.817475
36,0.832949
37,0.874923
38,0.569066
39,0.800736
40,0.426721
41,0.611439
42,0.526216
43,0.508497
44,0.595928
45,0.523064
46,0.469971
47,0.481452
48,0.620455
49,0.498534
50,0.626229
51,0.749650
52,0.770914
53,0.436818
54,0.486351
55,0.698189
56,0.588816
57,0.724511
58,0.585570
59,0.833101
60,0.488926
61,0.858469
62,0.698654
63,0.647685
64,0.558070
65,0.733802
66,0.424138
67,0.864887
68,0.632934
69,0.694913
70,0.576953
71,0.678363
72,0.919069
73,0.597098
74,0.670330
75,1.238075
76,0.764627
77,0.659391
78,0.532952
79,0.896228
80,0.722685
81,0.761118
82,0.742544
83,0.730092
84,0.896409
85,0.664433
86,0.821479
87,1.061648
88,0.830204
89,1.175078
90,0.781056
91,0.879419
92,0.763705
93,0.576919
94,0.875352
95,0.868225
96,0.772624
97,0.801499
98,0.681409
99,0.966302
100,0.726398
101,0.822273
102,0.656859
103,1.033407
104,0.652747
105,0.680215
106,0.872765
107,0.884836
108,0.767754
109,0.641845
110,1.180200
111,0.753241
112,0.968077
113,0.817700
114,0.690010
115,0.810786
116,0.705841
117,0.763913
118,0.866920
119,0.931503
120,0.743818
121,0.679747
122,0.651168
123,0.974637
124,1.012307
125,0.939712
126,0.809620
127,1.025442
128,0.837199
129,0.934337
130,1.019888
131,1.084716
132,0.965203
133,1.180598
134,0.889172
135,1.189218
136,0.867828
137,0.958626
138,0.960549
139,0.863367
140,0.887386
141,0.874248
142,1.014319
143,1.112647
144,0.975207
145,1.139035
146,0.852240
147,0.796016
148,0.939318
149,0.770408
150,0.959047
151,0.850456
152,0.818307
153,0.866365
154,1.115715
155,1.022133
156,1.069866
157,0.840002
158,0.855253
159,0.767752
160,0.857716
161,0.865400
162,0.978833
163,0.926280
164,1.389138
165,1.196002
