step,fwd_ms,bwd_ms,opt_ms,total_ms
0,256.359,672.113,43.171,971.643
1,239.971,541.242,5.514,786.726
2,218.254,573.987,5.852,798.093
3,213.600,565.896,5.793,785.290
4,240.220,578.436,5.498,824.155
5,227.010,565.987,5.313,798.310
6,189.041,544.504,5.731,739.276
7,195.991,537.645,5.684,739.320
8,198.730,613.603,5.516,817.850
9,218.642,569.645,5.607,793.894
10,199.861,577.741,6.073,783.675
11,202.914,584.017,5.705,792.636
12,202.788,584.552,5.559,792.900
13,202.455,593.427,5.963,801.845
14,219.428,564.862,5.713,790.003
15,209.323,563.403,5.436,778.162
16,188.865,607.472,5.950,802.288
17,171.545,615.773,5.879,793.197
18,172.370,623.111,5.923,801.403
19,189.410,573.211,5.679,768.300
20,179.189,627.792,5.882,812.863
21,188.556,578.855,6.013,773.423
22,229.793,573.659,5.835,809.287
23,194.625,616.731,5.532,816.889
24,178.538,637.493,5.506,821.537
25,175.869,607.861,5.896,789.626
26,229.823,547.495,5.708,783.026
27,196.710,592.187,5.789,794.686
28,182.469,634.549,5.951,822.969
29,166.677,604.048,12.279,783.005
30,193.395,560.652,5.507,759.554
31,177.554,592.814,5.641,776.009
32,179.496,645.130,5.598,830.224
33,166.908,604.537,12.021,783.467
34,207.685,559.100,5.881,772.666
35,208.694,606.517,5.539,820.749
36,222.043,600.722,5.831,828.596
37,206.317,560.567,5.942,772.825
38,216.714,566.779,5.554,789.046
39,219.893,581.442,5.600,806.935
40,217.430,587.735,5.607,810.772
41,201.304,620.883,5.622,827.809
42,219.432,603.717,6.032,829.181
43,206.762,555.935,5.668,768.365
44,217.169,577.650,5.621,800.440
45,208.447,584.350,5.764,798.561
46,212.816,596.290,5.893,814.999
47,217.715,590.526,5.775,814.016
48,197.918,598.004,5.682,801.604
49,221.097,606.150,5.625,832.872
50,214.647,571.604,5.909,792.160
51,222.173,581.365,5.952,809.490
52,214.633,582.706,5.524,802.863
53,216.877,607.156,5.635,829.668
54,219.754,586.972,5.633,812.359
55,216.384,585.148,5.774,807.306
56,206.064,593.109,5.946,805.119
57,208.718,551.864,5.471,766.053
58,211.450,576.075,5.828,793.353
59,221.896,589.752,5.992,817.640
60,213.035,536.083,5.825,754.943
61,210.497,525.818,5.950,742.265
62,209.429,538.202,5.626,753.258
63,221.867,550.324,5.621,777.812
64,194.330,565.972,5.640,765.942
65,187.433,597.461,11.977,796.871
66,188.927,583.100,5.955,777.981
67,197.516,567.075,5.768,770.359
68,192.389,598.771,5.784,796.944
69,214.188,552.036,5.880,772.103
70,232.806,591.564,5.147,829.518
71,222.517,533.608,5.878,762.004
72,206.489,539.375,5.568,751.432
73,211.588,575.093,5.945,792.626
74,213.820,541.977,5.656,761.453
75,203.622,576.033,6.032,785.687
76,198.679,541.846,5.662,746.187
77,217.159,568.577,5.135,790.871
78,221.805,548.435,5.891,776.131
79,222.609,566.098,5.532,794.239
80,222.514,536.893,5.764,765.171
81,228.622,540.294,5.528,774.445
82,224.818,535.687,5.769,766.275
83,206.473,569.946,6.013,782.432
84,208.317,558.063,5.886,772.266
85,205.300,528.269,5.615,739.184
86,209.678,541.136,5.700,756.514
87,203.912,519.966,5.660,729.537
88,199.204,591.484,5.860,796.548
89,169.612,616.110,5.510,791.232
90,232.637,555.611,5.082,793.330
91,232.723,549.097,5.248,787.069
92,220.409,572.276,5.554,798.239
93,213.727,545.813,11.239,770.779
94,214.666,569.202,5.189,789.057
95,207.233,529.412,5.844,742.489
96,200.941,568.221,5.816,774.978
97,214.724,536.622,5.619,756.965
98,229.421,549.363,5.886,784.671
99,230.876,563.799,5.243,799.917
100,222.869,548.382,6.089,777.341
101,203.294,578.055,5.574,786.924
102,200.517,553.026,5.509,759.053
103,208.469,577.814,5.228,791.511
104,205.902,570.537,5.593,782.031
105,191.670,572.169,5.916,769.756
106,196.956,590.772,5.738,793.466
107,221.694,565.525,5.562,792.781
108,202.618,559.804,5.871,768.293
109,218.335,576.851,5.872,801.058
110,221.878,561.097,5.931,788.906
111,218.949,571.774,5.097,795.821
112,214.319,597.641,5.903,817.862
113,232.189,583.444,5.792,821.425
114,225.775,597.791,5.295,828.862
115,236.576,572.732,5.144,814.452
116,218.148,588.043,5.834,812.025
117,230.870,551.918,5.903,788.690
118,223.753,567.510,5.882,797.145
119,217.778,562.557,5.694,786.029
120,212.954,594.374,5.922,813.250
121,216.644,521.939,5.780,744.362
122,210.348,603.487,5.794,819.629
123,210.856,576.003,5.687,792.546
124,207.099,579.390,5.708,792.196
125,220.546,568.354,5.851,794.752
126,204.047,567.557,16.697,788.302
127,240.387,573.726,5.082,819.194
128,229.013,564.297,5.988,799.298
129,197.006,587.965,5.791,790.762
130,189.987,566.289,5.673,761.949
131,179.649,620.458,5.927,806.035
132,189.259,604.246,5.506,799.011
133,179.010,616.120,5.855,800.985
134,208.240,536.718,5.589,750.547
135,215.125,566.928,5.607,787.660
136,238.837,557.102,5.610,801.548
137,214.547,555.675,5.775,775.998
138,199.278,594.567,5.580,799.425
139,205.452,529.858,5.842,741.152
140,208.840,519.447,5.932,734.218
141,198.291,509.017,5.618,712.927
142,192.470,559.431,5.556,757.456
143,186.581,560.717,5.530,752.829
144,180.152,542.248,5.889,728.288
145,167.905,526.623,5.861,700.390
146,201.618,508.085,5.609,715.312
147,196.382,542.824,5.544,744.749
148,187.464,550.898,5.925,744.287
149,183.320,543.517,5.498,732.336
150,192.850,546.748,5.935,745.533
151,202.836,523.757,5.475,732.068
152,192.492,575.407,5.867,773.765
153,212.688,526.844,5.825,745.357
154,194.850,582.014,5.586,782.451
155,196.416,518.887,5.573,720.877
156,188.874,535.572,5.973,730.419
157,195.051,560.097,6.025,761.173
158,198.613,534.684,5.628,738.925
159,207.500,544.052,5.580,757.131
160,201.971,528.615,5.822,736.408
161,208.248,497.993,5.837,712.078
162,202.985,564.951,5.552,773.488
163,167.688,535.068,5.880,708.636
164,201.742,548.774,5.627,756.144
165,170.672,540.194,5.814,716.680
166,205.438,518.145,5.550,729.132
167,193.792,564.929,5.581,764.301
168,194.064,552.747,5.511,752.323
169,188.274,576.048,5.522,769.845
170,173.845,592.468,5.895,772.208
171,197.319,579.966,5.638,782.923
172,190.566,514.626,5.775,710.967
173,194.631,521.945,5.806,722.383
174,195.405,570.249,5.859,771.513
175,180.002,567.940,5.780,753.721
176,185.177,577.773,5.839,768.789
177,176.672,532.486,5.486,714.643
178,194.666,529.410,5.789,729.865
179,208.207,537.147,5.900,751.254
180,201.608,568.473,5.531,775.612
181,190.110,563.449,5.528,759.087
182,219.549,553.656,5.515,778.721
183,195.465,562.218,5.621,763.304
184,198.081,551.548,5.750,755.378
185,207.471,546.335,5.987,759.793
186,210.183,536.347,5.941,752.470
187,210.480,527.334,5.984,743.798
188,208.424,565.176,6.045,779.645
189,206.796,555.901,5.511,768.208
190,168.782,513.746,5.349,687.877
191,195.071,485.746,5.623,686.440
192,196.179,560.071,5.991,762.241
193,192.018,525.250,5.919,723.187
194,185.304,559.732,5.204,750.241
195,459.254,642.990,87.594,1189.838
196,197.481,587.776,11.301,796.558
197,195.100,556.356,4.700,756.157
198,187.563,552.912,4.977,745.453
199,199.636,556.715,5.130,761.481
200,187.295,525.995,5.278,718.568
201,206.132,563.306,5.686,775.124
202,204.824,526.147,5.780,736.750
203,200.264,542.501,4.915,747.681
204,193.936,534.788,5.090,733.814
205,188.626,509.061,7.784,705.472
206,201.061,523.533,4.955,729.550
207,204.880,519.407,4.863,729.150
208,196.448,585.130,5.530,787.108
209,204.923,515.107,7.920,727.950
210,202.480,542.000,5.292,749.771
211,212.618,532.085,5.096,749.799
212,198.882,567.388,5.611,771.880
213,205.428,506.936,5.435,717.799
214,204.244,569.279,5.199,778.722
215,199.440,535.976,5.352,740.768
216,194.012,523.553,5.686,723.251
217,188.795,548.584,5.386,742.765
218,200.902,546.352,8.579,755.833
219,189.039,571.565,5.633,766.237
220,194.609,542.576,5.120,742.305
221,209.859,533.341,4.937,748.137
222,206.676,527.263,5.038,738.978
223,194.468,519.958,4.970,719.395
224,200.696,511.071,5.744,717.511
225,197.135,515.678,12.131,724.945
226,213.371,520.725,5.142,739.238
227,200.180,517.574,5.705,723.459
228,195.677,528.556,5.791,730.025
229,201.183,501.852,5.088,708.123
230,196.132,504.015,5.095,705.242
231,205.301,518.155,5.002,728.458
