step,loss
0,2.329390
1,2.568008
2,2.846698
3,3.293245
4,4.353445
5,4.115712
6,5.983599
7,4.732489
8,4.493493
9,4.971160
10,3.787409
11,3.397273
12,2.807781
13,2.874886
14,2.562524
15,2.803198
16,2.675527
17,2.319890
18,3.097298
19,2.285689
20,2.355179
21,2.671838
22,2.546835
23,2.659534
24,2.231783
25,2.195000
26,2.215410
27,2.442512
28,2.212288
29,2.267690
30,2.141021
31,2.089261
32,2.099252
33,2.042982
34,2.165903
35,2.165764
36,2.025599
37,2.048898
38,2.043123
39,2.044107
40,1.983978
41,2.172462
42,1.820669
43,2.002607
44,1.935371
45,2.037749
46,2.032718
47,2.025402
48,1.972822
49,2.001482
50,2.014802
51,1.926173
52,1.924774
53,1.935139
54,1.949986
55,1.943390
56,1.977559
57,1.991950
58,1.959587
59,1.850544
60,1.872290
61,2.015688
62,1.959667
63,1.931722
64,1.911167
65,1.883482
66,1.864617
67,1.847693
68,1.896693
69,1.921967
70,1.726300
71,1.748297
72,1.911606
73,1.877021
74,1.872993
75,2.014581
76,1.712599
77,1.977879
78,1.903733
79,1.888542
80,1.898524
81,1.912818
82,1.846374
83,1.870349
84,1.849764
85,1.747730
86,1.780717
87,1.816444
88,1.761863
89,1.933309
90,1.846899
91,1.870715
92,1.704216
93,1.728012
94,1.762982
95,1.736728
96,1.753410
97,1.852481
98,1.770309
99,1.787412
100,1.695646
101,1.667299
102,1.761777
103,1.880605
104,1.685605
105,1.718673
106,1.689453
107,1.599824
108,1.779486
109,1.752052
110,1.821262
111,1.792565
112,1.880479
113,1.723437
114,1.576009
115,1.712235
116,1.702791
117,1.774226
118,1.614388
119,1.753090
120,1.813235
121,1.660600
122,1.605707
123,1.691548
124,1.713742
125,1.690008
126,1.621247
127,1.662446
128,1.512638
129,1.644632
130,1.750904
131,1.690232
132,1.721306
133,1.692614
134,1.462123
135,1.579345
136,1.652244
137,1.686341
138,1.582361
139,1.767577
140,1.533639
141,1.597308
142,1.588521
143,1.687769
144,1.595947
145,1.725629
146,1.587821
147,1.505472
148,1.764412
149,1.592514
150,1.647972
151,1.498758
152,1.505529
153,1.519733
154,1.657172
155,1.577105
156,1.663590
157,1.560984
158,1.610647
159,1.578370
160,1.564518
161,1.524928
162,1.593958
163,1.473426
164,1.750502
165,1.636275
166,1.461583
167,1.502279
168,1.702928
169,1.520347
170,1.612884
171,1.435835
172,1.515596
173,1.543065
174,1.463718
175,1.583466
176,1.496786
177,1.740199
178,1.466988
179,1.551657
180,1.675593
181,1.470057
182,1.445887
183,1.403227
184,1.601220
185,1.505384
186,1.395900
187,1.505153
188,1.662800
189,1.586728
190,1.452441
191,1.422636
192,1.566476
193,1.499369
194,1.475930
195,1.592444
196,1.524411
197,1.388205
198,1.491517
199,1.487796
200,1.372472
201,1.451570
202,1.495679
203,1.524596
204,1.463681
205,1.493312
206,1.520504
207,1.414679
208,1.394726
209,1.690597
210,1.678586
211,1.513746
212,1.434658
213,1.424412
214,1.539332
215,1.519370
216,1.547973
217,1.408751
218,1.473823
219,1.489099
220,1.470323
221,1.274521
222,1.271171
223,1.462276
224,1.514018
225,1.466500
226,1.469238
227,1.403237
228,1.445200
229,1.479798
230,1.377214
231,1.482274
232,1.449245
233,1.480141
234,1.511935
235,1.459616
236,1.547606
237,1.441221
238,1.625374
239,1.397362
240,1.300688
241,1.450980
242,1.419594
243,1.333605
244,1.412799
245,1.553605
246,1.390678
247,1.399178
248,1.453061
249,1.239302
250,1.425221
251,1.385876
252,1.361520
253,1.378072
254,1.359018
255,1.338855
256,1.609051
257,1.362933
258,1.348558
259,1.255667
260,1.393803
261,1.667586
262,1.323414
263,1.388016
264,1.411957
265,1.320553
266,1.398781
267,1.431025
268,1.452078
269,1.330241
270,1.617959
271,1.307325
272,1.258478
273,1.342735
274,1.382635
275,1.536571
276,1.324562
277,1.444447
278,1.377961
279,1.384742
280,1.381564
281,1.339016
282,1.285553
283,1.461379
284,1.220398
285,1.315940
286,1.321701
287,1.295239
288,1.286304
289,1.405304
290,1.391111
291,1.351372
292,1.345332
293,1.446820
294,1.416974
295,1.253094
296,1.414804
297,1.402640
298,1.259065
299,1.249735
300,1.410948
301,1.210995
302,1.590177
303,1.330399
304,1.214557
305,1.294927
