step,grad_l2
0,3.085074
1,4.622429
2,6.161096
3,8.462468
4,9.564938
5,8.124408
6,7.703549
7,8.846622
8,5.750796
9,5.059118
10,3.466158
11,3.235007
12,1.988305
13,3.265900
14,1.264681
15,2.049156
16,1.260528
17,1.921619
18,2.150122
19,1.451035
20,1.430647
21,1.964602
22,1.134769
23,1.463932
24,1.542670
25,1.086765
26,0.629725
27,2.213480
28,1.329405
29,6.465869
30,1.429833
31,1.493096
32,1.171439
33,1.414577
34,0.923134
35,1.111797
36,1.227861
37,1.068017
38,0.913449
39,0.791941
40,0.501393
41,0.764078
42,0.676797
43,0.650836
44,0.765467
45,0.724706
46,0.718143
47,0.680961
48,1.055179
49,0.566477
50,0.810124
51,0.513979
52,1.001737
53,0.864509
54,0.765510
55,0.709253
56,0.724217
57,0.922122
58,0.595246
59,0.872527
60,0.722102
61,1.053629
62,0.856603
63,0.634258
64,0.667352
65,0.873168
66,0.590888
67,0.897642
68,0.623060
69,0.812612
70,0.752924
71,0.719971
72,0.709554
73,0.641926
74,0.804760
75,1.277535
76,0.813783
77,0.611398
78,0.694499
79,0.944488
80,0.829305
81,0.985969
82,0.958321
83,0.724846
84,1.015530
85,0.790937
86,0.813752
87,0.665726
88,0.708543
89,0.854222
90,0.749204
91,0.499090
92,0.703935
93,0.598445
94,0.840828
95,0.714236
96,0.816979
97,0.752709
98,0.930931
99,0.894291
100,0.657831
101,1.063252
102,0.611634
103,0.824632
104,0.653972
105,0.658896
106,0.669157
107,0.795541
108,0.645943
109,0.686842
110,1.136233
111,0.684347
112,0.954947
113,0.837959
114,0.688702
115,0.823771
116,0.798333
117,0.907454
118,0.786360
119,1.038333
120,0.809719
121,0.704822
122,0.712626
123,0.909967
124,0.927181
125,0.719257
126,0.765937
127,1.077691
128,0.946510
129,0.921250
130,0.912653
131,1.028849
132,0.953388
133,0.965674
134,0.828374
135,1.222748
136,1.003203
137,0.834838
138,0.784856
139,0.942323
140,1.072460
141,0.789415
142,0.759408
143,1.085545
144,0.704962
145,0.942295
146,0.837844
147,0.722818
148,0.780878
149,0.707762
150,0.720144
151,0.685382
152,0.636264
153,0.749039
154,0.945006
155,0.943949
156,0.954903
157,0.760967
158,0.867680
159,0.722969
160,0.771574
161,0.889841
162,0.908544
163,1.053477
164,1.056836
165,0.987028
166,0.821639
167,0.969933
168,0.976786
169,0.899706
170,1.126215
171,0.959019
172,1.036699
173,0.723714
174,0.873299
175,0.990393
176,1.368581
177,0.939939
178,0.849040
179,0.902867
180,0.954348
181,0.934366
182,0.793456
183,0.906910
184,1.165076
185,0.743469
186,1.076276
187,0.890138
188,1.190588
189,0.914541
190,0.894409
191,0.997361
192,1.191074
193,1.035560
194,1.117539
195,1.028269
196,1.047697
197,0.855138
198,0.910875
199,1.019296
200,1.265972
201,1.036370
202,0.896784
203,1.153836
204,1.002321
205,1.094489
206,0.934694
207,0.935344
208,1.194931
209,1.107429
210,0.945448
211,1.159336
212,0.916778
213,1.117032
214,0.848451
215,1.018931
216,1.024030
217,1.078532
218,0.938251
219,0.975753
220,1.161490
221,0.951148
222,1.195426
223,1.175346
224,1.362746
225,1.367168
226,0.820983
227,0.764283
228,1.156940
229,1.124753
230,1.004445
231,0.790245
232,0.887738
233,0.928666
234,1.099112
235,0.929399
236,0.985233
237,1.066482
238,1.031546
239,1.083814
240,0.874050
241,1.048416
242,0.987756
243,0.727391
244,0.913793
245,1.113688
246,1.018880
247,0.868081
248,0.985770
249,0.730761
250,0.982859
251,0.760284
252,0.982224
253,1.045091
254,0.966580
255,0.769313
