step,fwd_ms,bwd_ms,opt_ms,total_ms
0,256.165,615.941,44.577,916.682
1,231.060,576.135,5.591,812.786
2,208.900,556.878,5.144,770.922
3,195.303,639.702,5.333,840.338
4,180.604,592.155,5.569,778.328
5,183.617,563.129,5.455,752.201
6,205.372,547.368,6.073,758.814
7,215.675,530.301,5.854,751.831
8,203.412,548.379,5.439,757.230
9,221.050,461.118,5.447,687.615
10,179.848,548.379,5.598,733.826
11,224.135,579.729,5.411,809.276
12,244.152,551.928,13.968,810.048
13,221.091,562.688,5.744,789.523
14,227.445,550.602,11.906,789.952
15,214.685,557.971,5.433,778.089
16,202.290,526.672,5.732,734.693
17,194.865,526.106,5.666,726.637
18,198.978,564.496,5.200,768.674
19,187.476,529.208,4.956,721.641
20,231.378,563.769,5.108,800.255
21,204.077,518.973,5.197,728.247
22,217.098,538.440,5.721,761.259
23,200.427,516.914,4.970,722.312
24,205.997,538.323,5.067,749.387
25,196.959,540.470,5.350,742.779
26,204.087,571.112,5.411,780.609
27,230.186,598.816,5.455,834.457
28,191.490,573.102,5.754,770.346
29,191.622,644.513,5.466,841.601
30,208.116,586.957,5.421,800.494
31,184.417,607.015,5.494,796.926
32,229.440,561.156,5.464,796.060
33,203.820,567.459,5.421,776.700
34,201.258,541.141,5.360,747.758
35,215.326,548.113,5.416,768.855
36,205.616,547.621,5.409,758.645
37,194.804,548.052,5.472,748.328
38,224.405,560.696,5.382,790.482
39,205.553,531.746,5.351,742.650
40,210.575,552.170,5.026,767.770
41,196.124,516.860,5.035,718.019
42,200.626,599.784,5.647,806.057
43,215.319,544.702,5.640,765.661
44,203.181,621.531,5.392,830.104
45,223.655,576.559,5.390,805.604
46,225.199,596.083,5.496,826.778
47,216.988,562.145,5.383,784.517
48,223.310,595.724,5.233,824.267
49,222.834,575.250,5.415,803.498
50,216.638,590.421,5.350,812.409
51,199.076,601.213,5.327,805.617
52,224.205,572.831,5.494,802.531
53,206.641,609.059,5.818,821.518
54,233.687,561.825,5.647,801.160
55,226.233,577.131,5.385,808.749
56,230.775,546.851,4.957,782.584
57,224.684,570.174,5.495,800.353
58,219.663,592.505,5.372,817.540
59,227.850,604.571,5.481,837.901
60,208.965,587.751,5.452,802.168
61,234.087,567.941,5.578,807.606
62,219.819,548.952,5.071,773.841
63,208.234,563.274,5.667,777.176
64,187.250,590.944,5.673,783.868
65,182.937,551.480,5.459,739.876
66,213.673,548.776,5.448,767.897
67,251.864,555.871,5.270,813.005
68,222.807,590.169,5.887,818.862
69,198.084,529.688,11.810,739.582
70,199.238,520.870,5.757,725.866
71,207.277,558.229,5.216,770.722
72,209.245,581.750,5.515,796.509
73,202.259,570.402,5.703,778.364
74,212.112,519.015,5.651,736.778
75,211.799,542.095,5.012,758.906
76,220.733,569.243,5.708,795.684
77,214.542,539.375,5.740,759.657
78,207.008,573.930,5.433,786.370
79,220.062,550.437,6.039,776.538
80,207.003,571.225,5.408,783.637
81,205.675,557.062,5.388,768.125
82,206.892,572.730,5.770,785.392
83,210.161,604.609,11.806,826.576
84,207.781,592.496,5.500,805.777
85,206.071,567.533,5.379,778.983
86,216.686,578.433,5.423,800.542
87,205.135,561.695,5.340,772.170
88,211.081,548.330,6.007,765.418
89,203.699,549.712,4.947,758.358
90,205.527,584.221,4.945,794.693
91,223.829,552.553,5.396,781.778
92,213.702,536.691,5.439,755.832
93,197.048,555.356,5.375,757.780
94,206.956,595.130,5.458,807.544
95,219.397,564.752,5.360,789.509
96,211.434,586.428,5.390,803.252
97,224.655,557.644,4.974,787.273
98,221.849,557.422,5.465,784.735
99,220.453,576.100,5.433,801.985
100,241.180,565.955,5.284,812.419
101,215.122,548.468,5.261,768.851
102,216.970,592.962,5.356,815.288
103,242.461,584.617,5.382,832.459
104,201.676,560.658,5.700,768.033
105,224.471,566.174,5.017,795.662
106,217.401,587.807,13.108,818.316
107,206.274,593.614,5.440,805.328
108,229.075,588.958,5.301,823.334
109,214.370,587.772,5.360,807.501
110,223.008,595.737,5.454,824.200
111,211.435,585.549,5.389,802.372
112,223.536,583.886,5.413,812.835
113,208.626,560.695,4.947,774.267
114,222.974,567.839,5.495,796.307
115,216.193,566.970,5.346,788.510
116,227.069,569.720,5.392,802.182
117,212.348,584.107,5.489,801.944
118,225.820,594.383,5.429,825.632
119,215.512,576.709,5.326,797.547
120,222.832,566.519,5.496,794.848
121,216.415,610.595,5.334,832.344
122,232.799,568.856,5.630,807.286
123,211.532,543.675,5.471,760.677
124,234.333,563.735,5.190,803.259
125,225.021,582.074,5.485,812.580
126,218.687,586.352,4.981,810.019
127,185.681,533.158,5.362,724.201
128,201.113,549.489,5.349,755.951
129,229.175,552.063,5.331,786.570
130,231.460,535.253,5.438,772.150
131,222.715,543.646,5.266,771.627
132,242.244,605.880,5.136,853.260
133,230.874,561.047,5.410,797.331
134,227.896,600.805,6.059,834.760
135,222.638,627.515,5.466,855.619
136,203.619,605.631,5.468,814.718
137,205.609,620.506,5.484,831.599
138,186.566,649.210,5.412,841.188
139,252.681,588.970,6.112,847.764
140,216.628,589.085,5.491,811.204
141,238.066,573.770,5.415,817.251
142,228.767,584.803,5.626,819.195
143,198.675,603.096,5.605,807.377
144,195.233,601.353,5.333,801.918
145,174.398,629.331,5.419,809.148
146,195.722,599.447,5.738,800.907
147,177.972,601.857,5.458,785.287
148,181.339,593.559,5.642,780.540
149,184.161,620.891,5.771,810.823
150,199.523,570.516,5.431,775.470
151,168.579,606.522,5.672,780.773
152,178.938,634.457,5.416,818.810
153,194.742,618.771,5.441,818.954
154,176.457,589.500,5.532,771.489
155,226.077,534.738,4.982,765.797
156,203.099,555.302,5.350,763.750
157,225.659,552.149,4.909,782.716
158,189.220,554.668,5.444,749.331
159,207.935,514.261,5.323,727.519
160,193.043,524.101,5.783,722.927
161,198.823,516.030,5.390,720.243
162,192.439,520.031,5.672,718.142
163,202.222,614.910,5.706,822.838
164,194.772,570.085,5.479,770.336
165,182.566,586.147,5.762,774.475
166,174.572,546.047,5.496,726.115
167,200.797,583.768,5.720,790.285
168,213.745,538.936,5.483,758.164
169,210.660,519.050,5.357,735.067
170,184.705,562.562,5.739,753.007
171,188.891,557.336,5.334,751.561
172,183.069,599.784,5.415,788.267
173,210.302,594.943,5.674,810.918
174,222.931,549.768,4.983,777.682
175,198.965,604.561,5.458,808.984
176,195.068,566.627,5.410,767.105
177,189.552,612.176,5.713,807.440
178,188.284,594.046,5.397,787.727
179,210.843,600.312,5.727,816.882
180,213.689,592.070,5.385,811.144
181,228.554,547.908,4.964,781.425
182,222.211,582.858,5.663,810.732
183,216.141,587.905,14.095,818.141
184,214.316,580.764,5.375,800.456
185,196.539,574.275,5.654,776.469
186,207.615,558.413,5.402,771.430
187,184.447,606.433,5.685,796.566
188,201.878,588.495,5.340,795.713
189,200.879,604.679,5.351,810.909
190,213.285,583.551,5.450,802.286
191,158.568,590.660,5.723,754.952
192,197.281,637.394,5.633,840.309
193,176.866,629.018,5.391,811.276
194,171.222,633.853,5.828,810.903
195,451.661,651.039,88.745,1191.445
196,191.578,649.621,8.390,849.590
197,166.742,617.858,5.196,789.797
198,194.444,588.777,5.222,788.444
199,188.642,636.278,5.413,830.334
200,193.298,629.842,5.311,828.452
201,194.469,580.058,8.982,783.509
202,180.803,595.414,6.427,782.644
203,201.674,630.256,5.147,837.077
204,179.693,602.223,8.502,790.418
205,201.827,517.645,5.276,724.748
206,185.553,516.873,5.209,707.635
207,196.938,520.496,5.491,722.924
208,201.388,524.839,5.830,732.057
209,191.732,527.842,5.674,725.249
210,205.521,533.033,5.570,744.124
211,199.559,560.519,5.345,765.423
212,200.690,637.072,5.428,843.190
213,199.021,582.349,5.215,786.585
214,172.931,624.058,5.576,802.565
215,203.711,522.045,4.726,730.483
216,192.722,652.262,5.215,850.199
217,197.136,585.683,5.154,787.973
218,194.077,643.289,5.116,842.481
219,174.897,607.961,5.168,788.026
220,189.516,580.073,5.505,775.094
221,206.536,541.970,5.394,753.901
222,203.414,626.014,5.223,834.651
223,206.965,602.864,5.408,815.237
224,200.507,632.023,5.276,837.806
225,201.080,566.242,5.183,772.505
226,186.312,598.409,5.610,790.331
227,196.114,617.510,5.068,818.692
228,195.261,622.054,5.588,822.903
229,183.997,612.912,5.205,802.114
230,193.571,649.362,5.460,848.393
231,176.461,626.147,5.252,807.860
232,224.470,569.254,5.598,799.322
233,201.059,632.481,5.390,838.929
234,196.026,615.202,5.518,816.746
235,185.900,618.520,5.563,809.983
236,188.503,632.779,5.089,826.371
237,190.765,580.748,5.150,776.663
238,174.903,662.209,5.181,842.293
239,179.365,662.319,5.649,847.333
240,190.978,628.944,5.173,825.095
241,182.551,622.521,5.121,810.193
242,183.928,623.326,5.229,812.483
243,195.272,614.775,5.641,815.689
244,167.983,653.373,5.163,826.519
245,184.980,618.795,5.418,809.194
246,211.805,568.086,5.154,785.045
247,202.000,620.065,5.431,827.497
248,198.678,608.808,5.603,813.089
249,210.658,626.043,5.185,841.886
250,185.514,637.764,5.230,828.508
251,204.406,586.651,5.169,796.226
252,204.380,564.115,5.115,773.611
253,213.401,551.516,4.762,769.679
254,196.079,544.403,5.273,745.754
255,207.353,546.458,5.426,759.237
256,223.922,554.110,12.233,790.264
257,197.564,577.367,4.802,779.733
258,227.945,607.747,5.179,840.871
259,217.871,615.009,5.097,837.977
260,206.499,586.087,5.093,797.679
261,202.774,561.586,5.177,769.537
262,195.718,546.407,12.899,755.024
263,185.780,554.899,5.168,745.848
264,204.955,537.534,5.024,747.513
265,197.907,527.839,5.035,730.781
266,204.680,544.243,5.451,754.375
267,199.211,550.373,5.450,755.034
268,184.535,523.609,5.612,713.756
269,176.974,565.399,5.234,747.607
270,195.858,503.946,5.481,705.285
271,190.822,576.059,5.430,772.311
272,188.010,560.123,5.013,753.145
273,186.471,581.416,5.313,773.200
274,166.251,582.067,5.477,753.795
275,205.093,598.597,5.549,809.239
276,187.842,642.407,5.215,835.464
277,200.638,583.691,5.570,789.899
278,167.939,610.489,5.233,783.661
279,189.062,628.964,5.490,823.516
280,177.874,634.201,5.422,817.497
281,182.656,588.615,5.241,776.511
282,192.951,552.721,15.158,760.831
283,192.808,533.315,5.174,731.297
284,203.578,510.343,5.099,719.020
285,168.914,546.200,5.532,720.647
286,193.187,538.176,5.575,736.939
287,193.803,558.941,4.847,757.591
288,201.656,546.610,5.128,753.394
289,167.463,583.230,5.478,756.171
290,197.686,503.319,5.188,706.192
291,186.067,567.026,5.200,758.293
292,203.213,497.179,5.219,705.611
293,170.463,581.956,5.189,757.608
294,176.924,579.215,5.196,761.335
295,196.335,549.163,5.055,750.552
296,181.193,565.003,5.044,751.240
297,199.704,532.457,5.093,737.254
298,174.167,533.985,4.837,712.989
299,201.635,515.975,5.492,723.102
300,183.538,536.654,5.392,725.584
301,183.381,543.554,5.181,732.116
302,183.798,526.708,4.789,715.294
303,184.871,542.907,4.960,732.738
304,195.408,521.626,4.842,721.876
305,183.329,522.710,5.446,711.485
306,199.018,536.577,4.969,740.564
307,179.567,581.505,5.186,766.258
308,203.901,560.513,5.155,769.570
309,183.123,551.803,5.036,739.962
310,200.958,550.124,5.296,756.378
311,181.878,548.029,5.484,735.390
312,184.275,538.904,5.107,728.285
313,188.524,535.311,5.075,728.910
314,186.552,530.514,5.106,722.172
315,186.835,534.540,5.156,726.531
316,200.534,499.241,5.273,705.048
317,190.603,546.934,5.383,742.920
318,182.086,559.537,5.297,746.920
319,179.197,492.418,5.220,676.835
320,175.285,589.442,5.376,770.103
321,185.693,544.005,5.112,734.810
322,183.526,564.329,5.514,753.369
323,181.500,564.007,5.469,750.975
324,167.694,560.109,5.170,732.974
325,195.817,515.419,4.746,715.982
326,181.786,560.053,5.446,747.285
327,182.442,516.807,5.083,704.331
328,174.846,546.956,5.381,727.183
329,182.266,527.376,5.337,714.979
330,192.041,516.470,5.224,713.734
331,181.286,562.133,5.470,748.889
332,188.478,527.700,5.200,721.377
333,197.041,502.899,5.371,705.311
334,166.653,553.938,5.052,725.643
335,183.425,547.659,5.150,736.235
336,174.938,504.606,13.349,692.894
337,177.705,491.445,4.675,673.826
338,183.597,548.391,5.306,737.294
339,196.319,499.363,5.214,700.895
340,168.745,525.581,5.498,699.823
341,197.260,543.610,5.247,746.118
342,167.262,545.600,5.322,718.183
343,176.463,528.162,5.423,710.048
344,199.190,528.951,4.840,732.982
345,166.179,547.576,5.173,718.929
346,189.536,521.749,5.086,716.371
347,182.353,567.376,5.050,754.779
348,194.710,581.241,5.430,781.382
349,181.054,568.329,5.336,754.720
350,195.462,497.209,5.080,697.752
351,191.121,554.805,5.179,751.105
352,188.710,511.615,5.246,705.571
353,193.685,559.414,5.256,758.355
354,187.716,505.681,5.086,698.484
355,181.598,524.999,4.733,711.330
356,193.175,521.192,5.199,719.565
357,199.022,505.936,5.106,710.064
358,186.027,505.478,11.534,703.039
359,182.789,551.492,5.550,739.831
360,198.523,530.841,5.211,734.575
361,181.454,510.742,5.280,697.476
362,179.201,560.127,4.714,744.041
363,202.807,542.312,5.107,750.226
364,183.085,551.829,4.630,739.544
365,199.110,532.051,11.469,742.630
366,190.684,509.191,5.163,705.039
367,193.849,514.522,5.211,713.582
368,194.345,522.510,4.714,721.569
369,182.569,551.012,11.453,745.033
370,195.661,545.578,4.811,746.050
371,182.962,550.578,5.169,738.709
372,193.843,513.751,5.132,712.726
373,191.375,502.105,5.216,698.697
374,189.630,576.319,5.103,771.051
375,193.944,539.040,5.060,738.044
376,195.095,574.875,5.411,775.381
377,181.538,556.792,5.215,743.544
378,194.844,553.332,5.139,753.315
379,168.384,552.206,5.144,725.734
380,199.608,503.252,5.403,708.263
381,166.789,526.375,11.494,704.658
382,185.379,533.745,5.431,724.555
383,183.581,509.784,5.048,698.413
384,182.012,529.467,5.587,717.066
385,186.640,506.057,5.125,697.821
386,180.804,512.521,5.098,698.423
387,157.741,573.267,5.416,736.423
388,180.945,514.635,5.098,700.678
389,167.469,553.442,5.477,726.388
390,444.500,628.476,83.933,1156.909
391,183.722,559.811,5.028,748.561
392,183.120,555.704,6.633,745.457
393,181.237,536.553,5.546,723.335
394,187.362,549.077,5.546,741.984
395,170.227,569.320,5.077,744.624
396,205.415,524.538,5.434,735.386
397,176.976,567.688,8.915,753.579
398,198.788,556.578,5.669,761.035
399,181.880,567.030,8.595,757.505
400,183.981,526.143,5.558,715.682
401,164.853,543.706,8.711,717.270
402,183.597,567.783,5.916,757.296
403,181.998,569.167,5.614,756.779
404,185.895,526.570,5.782,718.246
405,178.770,534.311,5.446,718.527
406,188.397,537.668,12.544,738.609
407,182.567,534.295,5.555,722.418
408,184.636,530.680,5.551,720.867
409,168.141,561.361,5.604,735.106
410,186.175,548.674,5.462,740.311
411,182.609,527.616,5.591,715.816
412,195.712,502.048,12.303,710.064
413,186.512,546.708,5.139,738.358
414,194.919,539.201,5.423,739.544
415,169.927,556.300,5.110,731.337
416,200.640,508.794,5.803,715.236
417,190.012,554.648,5.893,750.553
418,188.002,517.214,5.622,710.837
419,187.486,547.562,5.837,740.884
420,189.691,533.172,5.603,728.466
421,194.203,520.616,5.539,720.358
422,181.284,557.751,12.243,751.278
423,201.754,533.805,6.002,741.561
424,178.470,531.784,5.831,716.085
425,184.865,541.249,6.226,732.340
426,184.654,556.834,5.419,746.907
427,202.287,532.833,5.750,740.871
428,188.483,520.986,5.803,715.272
429,181.984,543.711,5.604,731.298
430,203.281,509.620,5.499,718.400
431,187.027,532.738,5.563,725.329
432,194.058,550.937,5.605,750.601
433,189.272,528.510,5.581,723.363
434,187.860,531.120,5.818,724.797
435,207.528,543.397,5.629,756.554
436,189.000,550.153,5.558,744.711
437,201.398,533.367,5.501,740.267
438,189.711,527.673,12.044,729.429
439,192.881,546.670,5.444,744.995
440,200.823,523.510,5.932,730.265
441,188.152,531.932,5.443,725.527
442,195.055,512.400,5.934,713.388
443,176.298,525.467,5.603,707.367
444,191.667,504.929,5.487,702.083
445,173.096,541.226,5.834,720.156
446,183.030,517.672,5.874,706.576
447,168.797,570.867,5.434,745.098
448,182.050,534.281,5.603,721.934
449,190.760,526.662,5.480,722.902
450,170.134,541.623,5.671,717.428
451,168.364,523.107,5.879,697.350
452,174.113,560.711,5.760,740.583
453,182.850,528.643,5.121,716.615
454,181.437,500.196,5.892,687.525
455,187.153,529.896,5.060,722.109
456,184.357,546.523,5.651,736.531
457,187.650,521.961,5.408,715.019
458,189.867,515.310,5.850,711.027
459,170.744,543.856,5.647,720.247
460,169.521,531.152,5.663,706.337
461,190.709,515.227,5.771,711.706
462,183.506,514.928,5.633,704.066
463,171.129,533.499,5.920,710.548
464,183.015,547.772,5.639,736.426
465,183.830,526.116,5.498,715.444
466,182.842,536.993,5.670,725.505
467,184.948,529.330,5.646,719.924
468,177.703,559.959,6.112,743.775
469,192.476,521.913,5.904,720.293
470,178.486,531.747,5.519,715.752
471,189.733,535.065,5.845,730.643
472,182.431,530.057,12.053,724.541
473,168.154,560.416,5.864,734.434
474,181.888,524.503,5.529,711.920
475,179.771,539.593,5.390,724.754
476,181.929,535.987,5.550,723.467
477,188.676,527.305,5.886,721.867
478,196.799,480.269,8.645,685.713
479,169.193,541.150,5.619,715.961
480,191.508,544.578,5.049,741.135
481,175.906,526.475,5.614,707.995
482,186.242,517.419,5.635,709.296
483,183.198,526.519,5.523,715.240
484,204.345,542.542,5.556,752.444
485,192.802,474.053,5.037,671.892
486,192.917,547.588,4.999,745.505
487,166.803,543.679,5.989,716.472
488,186.946,518.350,5.497,710.793
489,166.605,535.243,5.651,707.498
490,194.721,539.291,5.636,739.647
491,184.737,556.712,5.726,747.174
492,195.195,550.508,5.085,750.788
493,168.189,541.977,5.842,716.007
494,195.723,511.690,5.834,713.246
495,168.558,542.000,5.054,715.611
496,199.443,543.951,5.463,748.857
497,181.848,523.803,5.077,710.729
498,199.511,558.226,5.600,763.338
499,190.956,531.806,5.044,727.806
