step,loss
0,2.329390
1,2.381929
2,2.685423
3,3.291394
4,2.947315
5,3.008283
6,3.914783
7,5.787645
8,4.801208
9,3.995152
10,2.986994
11,2.631236
12,3.307838
13,3.037791
14,2.917620
15,3.283672
16,2.684761
17,2.809855
18,2.636565
19,2.464289
20,2.719054
21,2.472865
22,2.663740
23,2.605094
24,2.128591
25,2.386783
26,2.101695
27,2.280515
28,2.244237
29,2.051345
30,2.156601
31,2.079330
32,2.099447
33,2.095457
34,2.057883
35,2.066292
36,2.003767
37,2.131218
38,2.159247
39,2.008780
40,1.985205
41,2.040249
42,1.953047
43,2.029794
44,1.872498
45,2.215493
46,2.036407
47,2.005298
48,1.923802
49,2.000188
50,1.983674
51,1.890382
52,1.935749
53,1.840286
54,1.994251
55,1.840935
56,1.882971
57,1.981301
58,1.965909
59,1.720818
60,1.843853
61,1.908900
62,1.865930
63,1.845495
64,1.803982
65,1.798098
66,1.797136
67,1.768381
68,1.849265
69,1.899766
70,1.724966
71,1.677042
72,1.784146
73,1.791904
74,1.826500
75,1.801093
76,1.675669
77,1.897069
78,1.753770
79,1.854053
80,1.759118
81,1.834697
82,1.868338
83,1.820979
84,1.827356
85,1.726926
86,1.739854
87,1.713308
88,1.710534
89,1.773469
90,1.837384
91,1.747596
92,1.604830
93,1.689588
94,1.727456
95,1.579623
96,1.648645
97,1.769665
98,1.842417
99,1.618295
100,1.652607
101,1.754606
102,1.789531
103,1.783704
104,1.687359
105,1.729408
106,1.651440
107,1.604547
108,1.748670
109,1.755622
110,1.829336
111,1.661295
112,1.831456
113,1.701018
114,1.592440
115,1.691734
116,1.704287
117,1.755954
118,1.649801
119,1.691409
120,1.780803
121,1.583162
122,1.643161
123,1.756485
124,1.517589
125,1.712453
126,1.655142
127,1.537365
128,1.555251
129,1.723223
130,1.803728
131,1.667664
132,1.606899
133,1.539903
134,1.500088
135,1.670616
136,1.775642
137,1.656828
138,1.489155
139,1.698725
140,1.572655
141,1.647295
142,1.634728
143,1.711654
144,1.570213
145,1.692512
146,1.694496
147,1.475093
148,1.756545
149,1.607165
150,1.673370
151,1.485664
152,1.542949
153,1.623273
154,1.666933
155,1.635635
156,1.729682
157,1.535493
158,1.608128
159,1.589832
160,1.578152
161,1.531052
162,1.592996
163,1.480334
164,1.670147
165,1.602884
166,1.590297
167,1.457822
168,1.602012
169,1.450931
170,1.477574
171,1.456932
172,1.466213
173,1.473248
174,1.463822
175,1.577784
176,1.487790
177,1.611957
178,1.503219
179,1.529736
180,1.503119
181,1.503531
182,1.385396
183,1.529561
184,1.641182
185,1.526925
186,1.440931
187,1.456526
188,1.735314
189,1.514284
190,1.491034
191,1.369395
192,1.607637
193,1.407353
194,1.497047
195,1.591465
196,1.469967
197,1.443431
198,1.533719
199,1.521994
200,1.409930
201,1.384059
202,1.413487
203,1.584996
204,1.417254
205,1.498262
206,1.506901
207,1.322299
208,1.407977
209,1.685090
210,1.512612
211,1.350015
212,1.496271
213,1.513183
214,1.430719
215,1.550656
216,1.488778
217,1.462556
218,1.482398
219,1.462763
220,1.445448
221,1.222412
222,1.313792
223,1.398224
224,1.496497
225,1.475983
226,1.475822
227,1.445628
228,1.358334
229,1.397787
230,1.315120
231,1.305750
232,1.347074
233,1.447601
234,1.482110
235,1.411527
236,1.537962
237,1.274202
238,1.632788
239,1.374077
240,1.227401
241,1.455574
242,1.428808
243,1.408520
244,1.321169
245,1.468341
246,1.319555
247,1.332840
248,1.481880
249,1.296090
250,1.435488
251,1.414504
252,1.289879
253,1.379969
254,1.339725
255,1.267701
256,1.519968
257,1.254262
258,1.294388
259,1.201314
260,1.400960
261,1.629353
262,1.227934
263,1.226691
264,1.352515
265,1.258937
266,1.323142
267,1.458978
268,1.482146
269,1.233139
270,1.562489
271,1.373789
272,1.242545
273,1.400817
274,1.479669
275,1.482627
276,1.232086
277,1.531171
278,1.336441
279,1.333310
280,1.286416
281,1.430629
282,1.288063
283,1.343915
284,1.109637
285,1.331524
286,1.379162
287,1.399819
288,1.299051
289,1.301472
290,1.331609
291,1.310647
292,1.302322
293,1.407758
294,1.302401
295,1.226187
296,1.357766
297,1.419387
298,1.172717
299,1.133126
300,1.265040
301,1.142948
302,1.516656
303,1.135036
304,1.197507
305,1.207876
306,1.242382
307,1.370007
308,1.127207
309,1.267866
310,1.248135
311,1.318568
312,1.199040
313,1.274683
314,1.395677
315,1.118499
316,1.300256
317,1.283067
318,1.409511
319,1.410841
320,1.302323
321,1.290381
322,1.156096
323,1.070909
324,1.151508
325,1.322842
326,1.313392
327,1.204305
328,1.402549
329,1.327577
330,1.413834
331,1.279859
332,1.264466
333,1.326971
334,1.228131
335,1.322099
336,1.247216
337,1.163990
338,1.185817
339,1.092334
340,1.284304
341,1.119029
342,1.263426
343,1.296463
344,1.301146
345,1.337686
346,1.157553
347,1.008196
348,1.287927
349,1.332819
350,1.139439
351,1.217314
352,1.371187
353,1.262751
354,0.988191
355,1.062741
356,1.291966
357,1.241060
358,1.251996
359,1.237971
360,1.146831
361,1.069235
362,1.047750
363,1.143378
364,0.966525
365,1.011282
366,1.148899
367,1.204150
368,1.246808
369,1.133632
370,1.127964
371,1.130034
372,1.180103
373,1.161288
374,0.987892
375,1.233706
376,1.193808
377,1.102403
378,0.949611
379,1.211521
380,1.292736
381,1.154982
382,1.050360
383,1.328066
384,1.058852
385,1.325704
386,1.100375
387,1.293056
388,1.147733
389,1.136104
390,1.316673
391,1.045304
392,1.047966
393,1.082247
394,1.015058
395,1.014585
396,1.304664
397,1.127075
398,1.250733
399,1.094740
400,0.907512
401,0.933521
402,1.032375
403,1.023965
404,0.976309
405,1.047053
406,0.954428
407,1.164872
408,1.076326
409,1.114503
410,1.022377
411,1.185241
412,0.926482
413,1.184138
414,1.366180
415,1.057263
416,1.034718
417,1.089896
418,1.042300
419,1.081368
420,0.972697
421,1.111591
422,1.144292
423,1.134189
424,1.097336
425,1.139142
426,0.920016
427,1.085571
428,1.042843
429,1.059926
430,0.941530
431,1.012027
432,0.987269
433,1.023302
434,1.107225
435,1.148621
436,1.023046
437,1.049063
438,1.101818
439,1.177931
440,1.166888
441,1.148551
442,1.098597
443,0.917405
444,1.020334
445,0.987127
446,1.056728
447,1.064625
448,1.011078
449,1.055184
450,1.160293
451,0.902166
452,1.124539
453,1.175355
454,0.985922
455,1.140890
456,1.021243
457,1.150421
458,1.191489
459,0.935459
460,1.045896
461,1.028577
462,1.032327
463,1.218850
464,1.112504
465,0.829897
466,0.838787
467,1.055798
468,0.963655
469,1.112865
470,1.008253
471,1.018214
472,1.304855
473,1.090164
474,1.201353
475,1.173272
476,1.171919
477,0.972826
478,0.905700
479,1.059292
480,0.871614
481,1.123868
482,1.103487
483,0.949802
484,0.950099
485,1.037945
486,0.921540
487,1.019962
488,0.972781
489,0.855943
490,0.971254
491,1.057376
492,0.917515
493,1.138562
494,1.079432
495,0.898586
496,0.909739
497,0.957138
498,0.977407
499,1.035476
