step,grad_l2
0,3.069030
1,4.605651
2,5.860721
3,7.095692
4,10.223585
5,8.304479
6,8.442640
7,8.574943
8,6.821294
9,5.414968
10,4.152080
11,8.229008
12,2.515102
13,1.830403
14,3.044488
15,2.271552
16,1.444519
17,0.890762
18,1.479133
19,1.390302
20,0.729819
21,0.910475
22,0.867377
23,0.818047
24,0.619496
25,0.685480
26,0.522969
27,0.928203
28,0.409309
29,0.944859
30,0.629063
31,0.375311
32,1.311482
33,0.566304
34,0.776183
35,0.695841
36,0.422309
37,0.606448
38,0.554792
39,0.520272
40,0.557336
41,0.439899
42,0.414908
43,0.558637
44,0.513275
45,0.646432
46,0.366638
47,0.378773
48,0.444244
49,0.536732
50,0.514245
51,0.460556
52,0.584314
53,0.502905
54,0.446879
55,0.559322
56,0.527496
57,0.568315
58,0.520966
59,0.413921
60,0.345211
61,0.466710
62,0.545570
63,0.631444
64,0.415491
65,0.473439
66,0.588251
67,0.601718
68,0.387388
69,0.467246
70,0.556586
71,0.385744
72,0.537067
73,0.458364
74,0.622843
75,0.761152
76,0.504078
77,0.391421
78,0.419869
79,0.618085
80,0.459691
81,0.467523
82,0.534281
83,0.586867
84,0.490208
85,0.465135
86,0.598284
87,0.630898
88,0.554977
89,0.606300
90,0.556254
91,0.457989
92,0.515829
93,0.486907
94,0.530961
95,0.480172
96,0.534881
97,0.650594
98,0.795398
99,0.534490
100,0.602593
101,0.982224
102,0.493350
103,0.581931
104,0.536218
105,0.491503
106,0.590049
107,0.525670
108,0.509768
109,0.482851
110,0.811722
111,0.577863
112,0.795218
113,0.543112
114,0.563027
115,0.592789
116,0.673370
117,0.723918
118,0.683851
119,0.694174
120,0.663575
121,0.823668
122,0.849364
123,0.664384
124,0.643703
125,0.579813
126,0.558963
127,0.761435
128,0.662934
129,0.638880
130,0.827512
131,0.687353
132,0.685579
133,0.676430
134,0.622139
135,1.041320
136,0.728489
137,0.753045
138,0.688364
139,0.735403
140,0.765579
141,0.579746
142,0.684243
143,0.878883
144,0.564327
145,0.887277
146,0.767499
147,0.598716
148,0.736399
149,0.600131
150,0.694219
151,0.596053
152,0.559154
153,0.626514
154,0.741563
155,0.571191
156,0.758927
157,0.559075
158,0.694887
159,0.627632
160,0.657256
161,0.755441
162,0.674652
163,0.938329
164,0.882013
165,0.790499
166,0.638995
167,0.742698
168,0.696122
169,0.722956
170,0.696745
171,0.525964
172,0.736035
173,0.643953
174,0.632780
175,0.571300
176,0.930015
177,0.678455
178,0.745442
179,0.600926
180,0.688274
181,0.734731
182,0.792652
183,0.749550
184,1.014894
185,0.680207
186,0.892760
187,0.878694
188,0.779810
189,0.794105
190,0.643852
191,0.768475
192,0.851303
193,0.802966
194,0.792154
195,0.778448
196,0.643655
197,0.651924
198,0.699326
199,0.622839
200,0.862346
201,0.857636
202,0.823752
203,1.348488
204,0.913803
205,0.831295
206,0.742278
207,0.914053
208,0.925042
209,0.916823
210,0.609622
211,0.811072
212,0.913049
213,0.831653
214,0.781460
215,0.703161
216,0.914876
217,0.850171
218,0.823325
219,0.747034
220,0.813021
221,0.807060
222,0.780506
223,0.818405
224,0.948954
225,1.030206
226,0.854448
227,0.915258
228,0.821879
229,0.871650
230,0.716699
231,0.682727
232,0.728411
233,0.780119
234,0.742759
235,0.789635
236,0.712293
237,0.724228
238,0.637055
239,0.745564
240,0.648434
241,0.764730
242,0.874985
243,0.766366
244,0.743086
245,0.926129
246,0.686949
247,0.763825
248,0.766242
249,0.785901
250,0.744331
251,0.911607
252,0.921195
253,0.750762
254,0.755962
255,0.774492
256,0.847836
257,0.623594
258,0.830462
259,0.754714
260,0.735883
261,0.769137
262,0.781545
263,0.951147
264,0.788931
265,1.126300
266,0.782352
267,0.901098
268,0.921469
269,0.839048
270,1.124069
271,0.901049
272,0.750676
273,0.916725
274,0.958866
275,0.842822
276,0.691929
277,1.062939
278,0.825549
279,0.857736
280,0.644848
281,0.756850
282,0.879240
283,0.873317
284,0.842027
285,0.817860
286,0.931955
287,0.859597
288,0.691336
289,0.803119
290,0.867190
291,0.697563
292,0.825188
293,0.727565
294,0.921108
295,0.874582
296,0.711455
297,0.705022
298,1.009171
299,0.732588
300,0.895254
301,0.741244
302,0.926685
303,0.773223
304,0.851674
305,0.913143
306,0.769715
307,0.731812
308,0.720036
309,0.765530
310,0.751937
311,0.762856
312,0.675729
313,0.903783
314,1.112876
315,0.779663
316,0.946700
317,0.865962
318,0.849110
319,0.872008
320,0.835355
321,0.948484
322,0.824582
323,0.705864
324,0.876743
325,0.817547
326,0.837441
327,0.747713
328,0.877922
329,0.878832
330,0.900900
331,0.869651
332,0.899190
333,0.996796
334,0.715167
335,0.771858
336,1.080062
337,0.870691
338,0.853856
339,0.897208
340,0.818236
341,0.748629
342,1.056290
343,0.837611
344,0.750099
345,0.780536
346,0.811627
347,0.850265
348,0.911683
349,0.906550
350,0.843282
351,0.870894
352,0.749118
353,0.812502
354,0.798514
355,0.891233
356,0.901737
357,0.808011
358,0.864100
359,0.820365
360,0.920183
361,0.723743
362,0.824133
363,0.974038
364,1.075474
365,0.765476
366,1.227579
367,0.897908
368,0.870368
369,0.825239
370,0.895154
371,0.857965
372,0.705316
373,0.758982
374,0.788400
375,0.736462
376,0.956834
377,0.965027
378,0.799257
379,0.914834
380,0.917394
381,1.016160
382,0.702771
383,0.787765
384,0.822392
385,0.896612
386,0.784733
