step,fwd_ms,bwd_ms,opt_ms,total_ms
0,262.253,645.417,44.956,952.626
1,235.041,560.752,5.348,801.142
2,214.874,583.795,5.426,804.096
3,238.332,605.346,5.437,849.116
4,218.053,541.300,5.201,764.555
5,417.858,589.835,5.761,1013.454
6,219.994,560.702,5.480,786.176
7,227.513,570.680,5.367,803.559
8,404.863,579.377,12.685,996.925
9,219.693,608.262,5.728,833.684
10,219.193,573.533,5.969,798.695
11,213.905,607.862,5.595,827.362
12,213.297,764.887,5.903,984.087
13,207.386,584.833,5.450,797.668
14,232.730,585.833,5.799,824.363
15,207.584,593.775,5.632,806.990
16,204.920,628.403,5.759,839.083
17,201.705,601.530,5.937,809.172
18,218.964,583.310,5.762,808.036
19,219.141,576.359,6.157,801.657
20,212.215,528.119,5.757,746.091
21,204.069,599.226,5.607,808.903
22,190.937,619.729,5.645,816.311
23,187.636,609.276,5.802,802.714
24,197.763,605.281,6.015,809.059
25,188.446,611.853,5.651,805.950
26,202.108,600.508,5.691,808.307
27,189.398,557.316,5.835,752.548
28,191.515,566.278,5.742,763.535
29,220.759,568.175,6.034,794.969
30,216.048,559.704,5.787,781.538
31,407.818,561.370,5.578,974.766
32,216.898,590.287,5.693,812.878
33,214.512,593.867,13.744,822.122
34,208.995,559.257,5.887,774.139
35,207.485,534.971,5.648,748.104
36,387.424,608.551,6.048,1002.023
37,192.905,599.287,5.647,797.839
38,199.722,561.372,5.690,766.784
39,184.041,580.040,5.622,769.703
40,188.293,615.644,5.917,809.853
41,201.253,599.469,5.750,806.472
42,183.031,630.023,5.974,819.028
43,181.259,631.881,5.871,819.012
44,213.849,584.342,5.660,803.851
45,227.786,768.903,5.685,1002.374
46,203.485,595.667,5.735,804.887
47,208.419,624.254,5.813,838.486
48,201.216,579.355,5.552,786.123
49,234.550,599.575,5.631,839.756
50,222.291,592.493,5.574,820.358
51,222.965,596.615,5.646,825.226
52,197.214,606.293,5.660,809.167
53,204.173,533.279,5.732,743.184
54,397.216,614.120,5.618,1016.953
55,190.397,616.822,5.752,812.970
56,189.474,623.289,5.677,818.440
57,187.786,635.460,5.754,828.999
58,184.015,604.140,5.916,794.071
59,171.014,653.315,5.669,829.998
60,184.239,609.913,5.779,799.930
61,171.138,621.155,5.799,798.092
62,205.994,597.727,5.662,809.383
63,220.662,579.674,5.748,806.085
64,223.160,565.222,5.252,793.635
65,210.168,570.209,5.230,785.607
66,211.280,591.807,5.803,808.890
67,239.602,553.993,5.156,798.751
68,221.265,566.742,5.967,793.974
69,217.145,560.946,5.214,783.305
70,239.668,580.117,5.249,825.034
71,203.197,594.375,5.547,803.118
72,198.578,563.513,5.446,767.537
73,393.958,583.503,5.426,982.887
74,196.214,586.438,5.744,788.395
75,188.236,520.245,5.217,713.698
76,217.685,546.352,5.695,769.733
77,199.043,565.842,5.867,770.751
78,198.063,550.563,5.230,753.857
79,190.869,552.258,5.219,748.345
80,250.972,575.793,6.011,832.776
81,213.392,561.660,5.881,780.933
82,231.145,569.208,5.232,805.585
83,208.306,561.512,5.598,775.415
84,192.189,559.079,6.129,757.398
85,213.685,559.434,5.560,778.680
86,215.080,539.343,5.333,759.757
87,399.776,535.675,5.492,940.942
88,209.958,562.782,6.115,778.854
89,202.294,540.456,5.475,748.225
90,229.065,550.861,5.255,785.181
91,204.131,543.131,5.340,752.602
92,213.715,515.087,5.833,734.635
93,189.214,549.661,6.012,744.886
94,196.450,581.180,6.235,783.865
95,217.132,560.913,5.241,783.287
96,205.405,552.389,6.051,763.845
97,210.943,543.404,5.251,759.599
98,386.719,615.793,6.064,1008.577
99,201.534,581.754,5.841,789.129
100,213.317,574.003,6.050,793.369
101,206.283,570.961,5.702,782.946
102,223.816,572.147,5.117,801.080
103,212.659,552.078,5.317,770.053
104,406.802,565.971,5.302,978.075
105,225.742,528.508,5.905,760.154
106,212.089,571.177,5.202,788.468
107,223.168,574.140,5.771,803.079
108,211.720,583.830,6.049,801.599
109,218.484,568.230,5.798,792.512
110,211.065,578.784,6.125,795.973
111,218.395,557.556,6.096,782.048
112,212.531,547.035,5.821,765.386
113,218.442,581.834,5.266,805.541
114,194.957,567.421,5.724,768.102
115,202.240,584.028,5.837,792.106
116,224.115,562.555,5.944,792.614
117,205.285,575.993,5.718,786.997
118,207.462,581.692,5.765,794.920
119,207.479,559.914,5.731,773.124
120,220.481,564.447,6.109,791.037
121,212.953,558.669,5.279,776.901
122,224.844,561.610,5.959,792.413
123,402.143,579.196,5.301,986.640
124,203.345,573.261,5.824,782.430
125,200.465,576.718,6.228,783.411
126,199.003,578.738,5.753,783.494
127,197.294,607.737,6.009,811.040
128,190.773,612.092,6.032,808.897
129,179.222,584.132,5.980,769.334
130,220.258,562.134,5.518,787.911
131,174.821,570.283,5.731,750.835
132,198.387,551.967,5.618,755.972
133,196.928,585.433,5.841,788.202
134,218.877,605.794,5.791,830.462
135,202.056,553.930,5.762,761.748
136,392.974,573.856,5.805,972.636
137,204.774,560.588,5.785,771.147
138,213.642,588.292,6.037,807.972
139,218.891,575.169,5.201,799.261
140,252.321,568.998,5.138,826.457
141,228.830,568.809,5.984,803.623
142,215.257,611.220,5.625,832.102
143,207.332,623.990,6.005,837.327
144,234.828,763.879,5.630,1004.337
145,230.049,595.267,5.473,830.789
146,229.402,572.129,6.162,807.692
147,403.600,580.562,6.057,990.220
148,219.272,542.063,5.317,766.652
149,246.895,541.792,5.790,794.477
150,208.272,600.759,6.064,815.095
151,200.052,588.181,5.461,793.694
152,227.063,575.374,5.367,807.803
153,388.761,615.533,5.777,1010.071
154,188.209,579.880,5.521,773.610
155,196.021,627.340,5.592,828.954
156,207.227,584.369,5.890,797.486
157,187.816,634.460,5.651,827.927
158,171.740,622.320,5.772,799.832
159,169.733,614.363,5.674,789.770
160,187.362,600.875,5.630,793.867
161,184.924,615.469,6.244,806.637
162,182.662,585.223,5.732,773.617
163,171.165,569.024,6.000,746.190
164,199.998,578.243,5.782,784.023
165,199.752,564.296,5.605,769.653
166,204.860,515.070,5.570,725.500
167,205.552,572.985,5.953,784.489
168,183.215,619.215,5.636,808.066
169,218.128,603.928,5.674,827.729
170,199.948,618.994,6.020,824.962
171,198.227,600.965,5.684,804.876
172,187.312,613.868,5.654,806.834
173,200.458,590.747,5.622,796.828
174,190.847,630.032,5.664,826.544
175,202.641,584.403,5.614,792.657
176,208.217,566.650,5.642,780.509
177,191.582,633.392,5.607,830.581
178,185.806,626.242,5.600,817.649
179,194.765,607.316,5.734,807.815
180,195.987,616.919,5.598,818.504
181,192.480,622.600,5.793,820.874
182,191.627,566.171,5.601,763.399
183,209.636,528.503,5.780,743.919
184,202.792,531.376,5.577,739.746
185,201.585,624.578,5.760,831.923
186,198.679,618.052,5.954,822.685
187,204.747,613.139,5.742,823.628
188,199.790,621.424,5.593,826.806
189,206.589,605.297,5.740,817.626
190,203.449,580.377,5.872,789.698
191,198.090,599.945,5.865,803.900
192,183.181,590.361,5.622,779.164
193,223.327,616.360,5.670,845.357
194,223.904,603.842,5.399,833.146
195,448.362,667.724,84.597,1200.683
196,231.452,572.138,6.532,810.123
197,414.061,601.331,7.016,1022.408
198,231.904,567.225,6.083,805.212
199,228.081,607.161,7.925,843.166
200,240.320,580.680,5.786,826.787
201,412.674,797.568,5.983,1216.225
202,213.354,572.920,5.557,791.831
203,230.941,563.638,5.770,800.349
204,398.556,592.457,5.815,996.828
205,210.067,597.807,6.027,813.901
206,202.899,541.755,5.977,750.631
207,201.435,578.336,5.607,785.378
208,205.717,529.875,6.446,742.038
209,199.017,582.906,6.099,788.022
210,194.625,622.007,6.271,822.903
211,194.692,556.872,5.949,757.513
212,201.164,612.265,6.283,819.712
213,212.105,582.011,6.391,800.507
214,203.768,623.712,6.059,833.539
215,232.642,549.520,6.591,788.752
216,424.730,549.954,5.649,980.333
217,238.570,567.789,6.567,812.926
218,214.908,605.265,6.291,826.465
219,214.410,600.799,5.635,820.843
220,241.539,565.923,5.627,813.088
221,213.908,598.575,6.266,818.748
222,215.159,554.498,6.421,776.079
223,225.883,576.360,5.857,808.101
224,216.529,559.533,5.715,781.777
225,234.329,579.748,5.544,819.622
226,223.317,535.673,6.161,765.151
227,229.488,574.027,5.605,809.120
228,233.315,602.819,5.417,841.551
229,216.251,566.715,6.380,789.346
230,227.084,579.126,5.844,812.054
231,228.038,590.578,5.824,824.440
232,218.218,572.677,5.663,796.558
233,233.259,566.875,5.571,805.705
234,231.322,597.823,5.593,834.738
235,228.724,578.809,5.586,813.119
236,219.351,600.611,5.449,825.411
237,216.308,602.482,5.470,824.260
238,228.157,557.229,5.626,791.012
239,208.472,561.634,6.437,776.543
240,227.671,590.566,5.514,823.751
241,215.662,564.844,5.887,786.393
242,203.230,531.754,6.324,741.307
243,203.730,566.485,5.575,775.789
244,187.874,574.482,6.111,768.467
245,199.793,581.445,5.530,786.769
246,210.114,563.536,5.877,779.526
247,219.290,566.655,6.069,792.013
248,217.925,552.979,6.144,777.048
249,211.096,555.163,5.790,772.049
250,211.117,550.437,6.117,767.670
251,219.220,538.057,5.960,763.237
252,203.237,570.256,6.465,779.958
253,207.008,749.103,6.292,962.402
254,187.421,562.177,6.041,755.639
255,191.699,594.965,5.993,792.657
256,199.945,600.530,6.007,806.482
257,186.257,620.661,6.192,813.110
258,199.375,597.728,5.808,802.911
259,212.760,603.484,6.479,822.723
260,200.997,612.548,6.196,819.741
261,200.755,623.402,6.046,830.204
262,215.470,595.629,6.055,817.154
263,186.630,615.643,6.216,808.488
264,216.400,593.050,6.129,815.579
265,202.353,585.238,5.863,793.454
266,202.110,617.746,6.123,825.978
267,201.089,596.869,6.175,804.133
268,199.699,580.086,5.805,785.590
269,207.017,557.150,6.468,770.635
270,204.934,581.178,6.108,792.220
271,193.511,530.841,6.202,730.553
272,377.667,573.380,5.543,956.590
273,211.209,547.353,6.233,764.795
274,199.855,560.488,5.746,766.089
275,197.324,516.853,6.004,720.181
276,206.257,507.029,6.577,719.863
277,192.333,516.876,6.459,715.668
278,195.480,540.957,5.803,742.240
279,196.985,549.755,6.213,752.953
280,207.809,532.849,6.431,747.089
281,197.758,530.356,6.098,734.212
282,200.880,592.255,5.514,798.648
283,203.954,548.791,6.234,758.979
284,205.536,558.875,5.535,769.947
285,219.321,555.245,5.658,780.224
286,209.536,543.401,6.167,759.104
287,213.115,577.609,5.609,796.332
288,200.213,540.195,5.419,745.827
289,217.485,550.744,6.164,774.393
290,201.082,522.252,6.276,729.609
291,202.316,572.588,5.436,780.341
292,214.151,554.320,5.896,774.366
293,389.979,585.592,6.124,981.694
294,201.162,583.570,5.862,790.594
295,201.551,533.994,6.080,741.625
296,203.449,562.741,6.469,772.658
297,213.614,584.954,5.751,804.319
298,225.448,535.124,5.450,766.022
299,209.881,563.043,5.662,778.587
300,215.850,562.042,6.014,783.907
301,213.490,523.539,6.345,743.374
302,213.272,573.355,6.202,792.829
303,219.365,555.373,6.192,780.930
304,202.039,555.785,6.230,764.054
305,211.972,567.195,6.075,785.243
306,208.479,569.854,5.410,783.743
307,224.099,541.625,6.014,771.738
308,203.731,545.013,6.074,754.818
309,389.895,578.833,5.858,974.586
310,206.791,547.624,5.490,759.904
311,211.653,547.675,6.404,765.733
312,223.472,541.489,5.691,770.653
313,205.419,572.770,5.821,784.009
314,206.946,544.949,6.048,757.943
315,223.076,553.509,5.495,782.080
316,186.364,561.449,5.811,753.624
317,206.626,575.132,6.178,787.936
318,196.742,546.070,6.126,748.937
319,204.643,598.302,12.793,815.738
320,192.198,607.475,6.126,805.799
321,207.397,567.228,5.448,780.073
322,189.910,538.990,5.972,734.872
323,210.783,544.257,5.817,760.858
324,212.456,568.144,5.535,786.135
325,216.837,588.319,6.234,811.390
326,174.179,644.544,6.275,824.998
327,210.427,565.314,6.083,781.824
328,200.703,591.236,6.079,798.018
329,202.874,602.584,6.199,811.657
330,186.170,587.337,6.203,779.710
331,215.171,551.814,6.074,773.059
332,170.279,631.239,6.427,807.944
333,221.007,564.062,6.056,791.125
334,188.465,519.907,6.091,714.464
335,204.862,549.449,6.172,760.483
336,202.386,589.510,6.226,798.122
337,202.526,603.673,6.100,812.298
338,193.315,604.553,6.100,803.968
339,222.669,592.294,6.260,821.223
340,201.964,601.004,6.194,809.162
341,196.078,590.563,6.242,792.883
342,206.822,558.449,5.715,770.985
343,190.404,610.351,6.083,806.838
344,211.459,551.094,6.307,768.860
345,203.558,612.256,6.284,822.099
346,207.505,588.068,6.097,801.670
347,183.454,585.195,5.509,774.158
348,202.370,515.465,5.419,723.254
349,206.059,510.518,5.463,722.041
350,213.472,546.695,6.363,766.530
351,384.961,512.410,6.110,903.481
352,212.765,518.041,6.107,736.913
353,392.187,650.239,6.056,1048.482
354,211.293,541.732,6.175,759.200
355,211.437,603.865,5.965,821.267
356,203.616,597.362,6.385,807.363
357,198.021,624.086,6.132,828.239
358,213.237,599.492,5.541,818.270
359,207.059,545.225,5.944,758.228
360,189.774,543.734,5.605,739.112
361,211.385,545.883,6.194,763.463
362,200.361,595.934,6.122,802.417
363,211.380,563.234,6.498,781.112
364,206.825,604.423,6.484,817.733
365,201.206,572.782,5.462,779.450
366,212.326,568.994,5.862,787.182
367,205.189,544.342,5.563,755.095
368,409.688,592.072,6.341,1008.101
369,212.805,587.675,6.055,806.535
370,211.183,559.783,11.272,782.238
371,203.631,542.752,5.554,751.937
372,210.441,568.641,6.089,785.170
373,178.139,628.909,6.035,813.082
374,208.296,614.287,6.385,828.969
375,206.000,554.055,6.165,766.219
376,210.644,558.053,5.582,774.280
377,194.350,555.956,6.465,756.771
378,200.396,584.240,6.398,791.034
379,209.790,549.764,5.916,765.469
380,207.457,567.586,5.527,780.571
381,189.990,606.873,5.548,802.411
382,206.356,565.799,6.582,778.737
383,183.038,624.397,6.180,813.614
384,214.664,576.029,6.400,797.093
385,202.417,602.963,6.189,811.568
386,200.566,581.484,5.593,787.642
387,191.204,582.480,6.060,779.744
388,209.695,537.796,6.147,753.639
389,198.901,542.157,5.847,746.905
390,601.931,714.611,89.023,1405.565
391,215.740,615.699,5.850,837.290
392,219.048,579.477,5.931,804.456
393,206.709,589.301,5.977,801.987
394,195.461,582.103,5.911,783.476
395,211.517,553.021,5.933,770.471
396,204.258,563.487,5.468,773.213
397,409.948,573.788,5.391,989.126
398,197.716,572.210,5.930,775.856
399,212.768,562.366,6.226,781.360
400,200.043,564.237,5.340,769.620
401,209.284,554.929,5.920,770.133
402,201.947,576.849,5.866,784.661
403,193.555,557.111,5.881,756.548
404,185.596,597.539,5.905,789.040
405,209.162,565.378,5.465,780.006
406,200.191,573.760,5.959,779.910
407,207.341,573.611,5.782,786.734
408,196.052,527.962,6.225,730.239
409,218.382,562.856,6.017,787.256
410,210.806,593.866,6.122,810.794
411,206.164,569.561,6.122,781.846
412,195.099,551.241,5.403,751.743
413,391.339,603.213,5.988,1000.539
414,189.881,594.820,5.916,790.617
415,204.030,567.048,5.870,776.948
416,204.714,567.336,5.981,778.031
417,202.778,582.079,5.931,790.789
418,199.324,593.535,5.889,798.749
419,223.506,555.573,5.431,784.510
420,401.252,584.361,6.235,991.848
421,200.880,583.900,5.944,790.724
422,196.101,604.832,5.869,806.802
423,197.201,591.604,5.869,794.674
424,207.432,587.464,6.176,801.072
425,210.465,578.507,5.861,794.834
426,212.804,594.809,6.275,813.888
427,196.100,586.862,5.892,788.855
428,206.855,598.945,5.955,811.755
429,201.663,564.457,5.752,771.872
430,401.221,584.782,5.362,991.365
431,200.809,578.086,5.727,784.622
432,212.792,586.213,5.813,804.818
433,211.397,558.135,5.479,775.012
434,203.605,575.360,5.549,784.514
435,216.958,543.303,5.298,765.559
436,199.713,547.921,6.302,753.936
437,211.354,636.679,5.980,854.013
438,217.444,568.241,6.283,791.967
439,203.412,569.971,5.920,779.304
440,211.780,547.949,5.955,765.684
441,201.468,565.660,5.948,773.076
442,191.082,588.628,6.029,785.739
443,202.894,597.585,5.930,806.410
444,220.971,574.293,6.161,801.425
445,212.362,568.722,5.957,787.042
446,190.863,584.752,6.068,781.684
