step,grad_l2
0,3.089393
1,4.643337
2,6.132692
3,8.422257
4,9.475947
5,7.875037
6,7.272549
7,6.505275
8,5.198594
9,5.156725
10,3.952461
11,5.402593
12,2.030744
13,2.471912
14,1.568326
15,1.781663
16,1.174093
17,2.988831
18,1.098746
19,1.081709
20,1.548921
21,1.557475
22,1.248834
23,1.208993
24,1.533294
25,0.973197
26,0.803884
27,1.990628
28,1.097318
29,2.633060
30,0.535451
31,0.914271
32,1.092596
33,0.710050
34,1.317349
35,0.836662
36,0.768130
37,0.924880
38,0.478877
39,0.660850
40,0.771548
41,0.738282
42,0.635980
43,0.726212
44,0.638986
45,0.742208
46,0.643857
47,0.771406
48,0.933676
49,0.594528
50,0.679495
51,0.860003
52,0.794303
53,0.498530
54,0.590801
55,0.735338
56,0.670529
57,0.833273
58,0.674587
59,1.007628
60,0.685715
61,0.814320
62,0.721185
63,0.840578
64,0.653279
65,0.721187
66,0.506265
67,0.912035
68,0.611665
69,0.720099
70,0.557184
71,0.931748
72,1.135378
73,0.636430
74,0.983958
75,1.191771
76,1.012432
77,0.745695
78,0.773369
79,0.990424
80,0.780670
81,0.916304
82,0.806243
83,0.754516
84,0.899288
85,0.733715
86,0.742471
87,0.982039
88,0.783307
89,0.790757
90,0.843377
91,0.801654
92,0.797388
93,0.740000
94,0.871066
95,0.673781
96,0.749321
97,0.842991
98,0.842312
99,0.913859
100,0.671050
101,0.740261
102,0.654987
103,0.867913
104,0.724838
105,0.895426
106,0.944798
107,0.967925
108,0.829986
109,0.781949
110,1.328622
111,0.999627
112,1.052314
113,0.929890
114,0.807544
115,0.849385
116,0.884205
117,1.006519
118,0.820307
119,0.950278
120,0.893148
121,0.846642
122,0.964718
123,0.847914
124,1.099690
125,0.801093
126,0.744166
127,1.164558
128,1.033330
129,1.201719
130,0.995735
131,1.130474
132,1.018375
133,1.079183
134,0.923857
135,1.196274
136,1.070712
137,0.792484
138,0.969817
139,0.970269
140,0.851729
141,0.786062
142,1.058417
143,1.191999
144,0.836153
145,1.159119
146,1.093984
147,0.896863
148,0.814577
149,0.766394
150,0.968088
151,0.943076
152,0.843298
153,0.842448
154,0.951080
155,1.070705
156,1.049331
157,0.850759
158,0.812108
159,0.759563
160,0.885648
161,0.895211
162,0.925754
163,1.044392
164,1.206687
165,1.016495
166,0.910143
167,1.031252
168,1.059930
169,0.981275
170,1.012128
171,0.904285
172,1.049515
173,0.840308
174,0.997371
175,0.985781
176,1.285978
177,0.967351
178,1.218375
179,1.406397
180,1.111336
181,0.834001
182,0.930587
183,1.080169
184,1.180424
185,0.885506
186,0.971331
187,0.903417
188,1.192068
189,1.019785
190,1.014025
191,1.028916
192,1.201392
193,1.345207
194,1.150806
195,1.258236
196,1.003225
197,1.027302
198,1.212590
199,1.113718
200,1.321064
201,0.938253
202,1.076936
203,1.405920
204,1.238357
205,1.157909
206,1.094846
207,1.174692
208,1.317172
209,1.064876
210,1.057329
211,1.214343
212,1.125632
213,1.230565
214,1.129953
215,1.111770
216,1.149662
217,1.312364
218,1.013272
219,0.920334
220,1.038424
221,1.079601
