step,loss
0,2.329390
1,2.568001
2,2.846590
3,3.301099
4,4.361574
5,4.135921
6,5.857565
7,5.467949
8,4.599681
9,5.486161
10,3.927982
11,3.385396
12,3.082258
13,2.971939
14,2.701826
15,3.135064
16,2.545835
17,2.359268
18,2.683279
19,2.552049
20,2.708260
21,2.260091
22,2.527335
23,2.149359
24,2.437846
25,2.225234
26,2.452174
27,2.882197
28,2.402787
29,2.698839
30,2.125454
31,2.104627
32,2.151647
33,2.087066
34,2.170343
35,2.451790
36,2.183245
37,2.118800
38,2.037207
39,2.060234
40,2.040606
41,2.203315
42,1.873967
43,2.041945
44,1.911186
45,2.032281
46,2.041961
47,2.062621
48,2.020839
49,2.127680
50,2.061261
51,1.974175
52,1.919580
53,1.909111
54,2.020508
55,1.976338
56,1.994325
57,1.932220
58,1.977299
59,1.840861
60,1.870426
61,1.959031
62,1.929082
63,1.924007
64,1.914795
65,1.865703
66,1.851554
67,1.876627
68,1.818660
69,1.882187
70,1.690744
71,1.730752
72,1.882844
73,1.840507
74,1.876353
75,1.901236
76,1.632277
77,1.887448
78,1.837582
79,1.876408
80,1.838784
81,1.793887
82,1.835878
83,1.800877
84,1.923827
85,1.723923
86,1.693844
87,1.731544
88,1.739729
89,1.818128
90,1.789704
91,1.797404
92,1.638249
93,1.760841
94,1.712690
95,1.655101
96,1.641268
97,1.764137
98,1.766161
99,1.712990
100,1.597051
101,1.610833
102,1.751054
103,1.865022
104,1.684938
105,1.674182
106,1.652932
107,1.637684
108,1.767323
109,1.772871
110,1.736308
111,1.725769
112,1.866265
113,1.700708
114,1.571361
115,1.648794
116,1.678654
117,1.753506
118,1.526454
119,1.646822
120,1.743340
121,1.597560
122,1.602224
123,1.636286
124,1.640553
125,1.682537
126,1.583761
127,1.557554
128,1.504204
129,1.634770
130,1.739526
131,1.662765
132,1.636240
133,1.608923
134,1.378609
135,1.574842
136,1.643171
137,1.578356
138,1.494956
139,1.690498
140,1.547222
141,1.468763
142,1.558777
143,1.673193
144,1.509515
145,1.661350
146,1.520468
147,1.444368
148,1.729954
149,1.632941
150,1.605119
151,1.490763
152,1.449611
153,1.511557
154,1.559987
155,1.585129
156,1.678317
157,1.661198
158,1.581470
159,1.553582
160,1.547508
161,1.570303
162,1.577881
163,1.468958
164,1.816885
165,1.662282
166,1.498375
167,1.507943
168,1.669528
169,1.487235
170,1.539374
171,1.486979
172,1.522516
173,1.487427
174,1.393924
175,1.608979
176,1.453664
177,1.662226
178,1.580456
179,1.518489
180,1.616771
181,1.471284
182,1.390857
183,1.413742
184,1.601140
185,1.456434
186,1.436555
187,1.436040
188,1.677313
189,1.561182
190,1.426800
191,1.385424
192,1.434861
193,1.426094
194,1.442699
195,1.642866
196,1.521282
197,1.400833
198,1.477820
199,1.451645
200,1.368948
201,1.454159
202,1.511903
203,1.495320
204,1.485282
205,1.388091
206,1.516167
207,1.391788
208,1.425454
209,1.738745
210,1.584157
211,1.506242
212,1.420547
213,1.388813
214,1.571463
215,1.534845
216,1.514942
217,1.347208
218,1.423375
219,1.462127
220,1.453217
221,1.278427
222,1.267130
223,1.465404
224,1.525226
225,1.551644
226,1.482062
227,1.408502
228,1.437289
229,1.486602
230,1.362026
231,1.505409
232,1.453047
233,1.449106
234,1.445956
235,1.423225
236,1.500980
237,1.390475
238,1.634509
239,1.328645
240,1.314874
241,1.502983
242,1.360456
243,1.298527
244,1.429500
245,1.503465
246,1.349072
247,1.365521
248,1.439946
249,1.211048
250,1.380405
251,1.380964
252,1.324693
253,1.352720
254,1.363700
255,1.309386
256,1.488043
257,1.352782
258,1.361810
259,1.262265
260,1.357873
261,1.596207
262,1.286354
263,1.380615
264,1.369868
265,1.356058
266,1.306978
267,1.355859
268,1.472430
269,1.304012
270,1.466715
271,1.323281
272,1.273447
273,1.336838
274,1.393011
275,1.519585
276,1.176431
277,1.578407
278,1.365153
279,1.354344
280,1.316378
281,1.368067
282,1.301176
283,1.374668
284,1.127774
285,1.305590
286,1.350564
287,1.308547
288,1.264716
289,1.466939
290,1.412593
291,1.333329
292,1.272204
293,1.430152
294,1.415364
295,1.290060
296,1.474911
297,1.386636
298,1.244387
299,1.193789
300,1.316859
301,1.117929
302,1.496377
303,1.224938
304,1.162798
305,1.286214
306,1.220996
307,1.416352
308,1.229216
309,1.280791
310,1.334649
311,1.280755
312,1.144310
313,1.272600
314,1.498906
315,1.219202
316,1.353336
317,1.281655
318,1.486953
319,1.307964
320,1.246036
321,1.388709
322,1.291981
323,1.173042
324,1.149893
325,1.278515
326,1.240996
327,1.261158
328,1.441207
329,1.263449
330,1.414300
331,1.259488
332,1.248520
333,1.310736
334,1.239343
335,1.270642
336,1.239227
337,1.262694
338,1.271202
339,1.089788
340,1.208135
341,1.162324
342,1.287810
343,1.262343
344,1.261522
345,1.323160
346,1.123751
347,1.093007
348,1.161095
349,1.322220
350,1.165331
351,1.165594
352,1.215108
353,1.156817
354,1.023258
355,1.000878
356,1.387186
357,1.199988
358,1.284398
359,1.260825
360,1.149076
361,1.116838
362,1.174132
363,1.217355
364,1.063761
365,1.044303
366,1.262945
367,1.344578
368,1.189165
369,1.178001
370,1.216118
371,1.085121
372,1.251554
373,1.138734
374,0.974914
375,1.172471
376,1.180695
377,1.112892
378,1.060945
379,1.208512
380,1.353662
381,1.142299
382,1.093909
383,1.321200
384,1.053720
385,1.333453
386,1.151545
387,1.364724
388,1.157399
389,1.214558
390,1.125878
391,1.202062
392,0.984433
393,1.002906
394,1.062223
395,1.063561
396,1.374585
397,1.120960
398,1.270044
399,1.116762
400,0.969647
401,0.989486
402,1.082214
403,0.966877
404,1.009075
405,1.071910
406,0.934540
407,1.188149
408,1.078622
409,1.145328
410,1.073915
411,1.187290
412,0.971660
413,1.019561
414,1.312777
415,1.042403
416,1.018941
417,1.126049
418,1.044295
419,1.175694
420,1.144242
421,1.279685
422,1.049504
423,1.235474
424,1.208877
425,1.122758
426,0.961640
427,1.267679
428,1.096994
429,1.064536
430,1.125222
431,1.010431
432,0.951066
433,0.950325
434,1.001438
435,1.187534
436,1.110592
437,1.200353
438,1.247506
439,1.130645
440,1.144404
441,1.278130
442,1.107010
443,0.932640
444,1.024836
445,1.023527
446,1.035735
447,1.084834
448,0.982507
449,1.088231
450,1.136901
451,1.015440
452,1.134168
453,1.248184
454,1.116318
455,1.122715
456,1.076851
457,1.206921
458,1.113529
459,1.108454
460,0.892059
461,1.004932
462,1.038324
463,1.141293
464,1.079566
465,0.823859
466,0.974814
467,1.045684
468,0.897580
469,1.191286
470,1.001385
471,1.022681
472,1.296731
473,1.066126
474,1.182657
475,1.085506
476,1.094792
477,1.125097
478,0.921345
479,1.110415
480,0.841253
481,1.006726
482,1.150918
483,1.241964
484,0.907567
485,1.060031
486,0.945911
487,1.077829
488,1.014410
489,0.959150
490,0.936149
491,1.089993
492,1.022459
493,0.990097
494,1.021543
495,0.929096
496,0.982250
497,1.023190
498,1.026666
499,1.122887
