step,grad_l2
0,3.535744
1,7.843602
2,5.792758
3,5.425227
4,9.469494
5,7.408994
6,5.525105
7,5.338596
8,6.852487
9,6.890456
10,5.726562
11,4.874893
12,2.543264
13,8.211638
14,7.155967
15,4.818013
16,4.244918
17,4.262289
18,3.179216
19,2.255604
20,1.589570
21,2.872251
22,1.836313
23,3.615279
24,1.825905
25,2.281377
26,2.291143
27,5.661793
28,3.129694
29,1.884719
30,2.084934
31,1.168507
32,1.371674
33,1.548285
34,1.315447
35,0.940445
36,0.858929
37,0.884612
38,1.065135
39,0.914507
40,0.802958
41,0.636204
42,0.840466
43,0.731874
44,0.619848
45,0.791258
46,0.547727
47,0.771789
48,0.599144
49,0.618742
50,0.725694
51,0.604511
52,0.819909
53,0.625561
54,0.732233
55,0.800139
56,0.587250
57,0.639415
58,1.258170
59,0.871973
60,0.781941
61,0.653443
62,0.789282
63,0.779561
64,0.885730
65,0.619012
66,0.649626
67,0.711690
68,0.882551
69,0.715173
70,0.837931
71,0.914704
72,0.703255
73,0.637854
74,0.684354
75,0.848488
76,0.679717
77,0.756261
78,0.531748
79,0.965317
80,0.962677
81,0.770208
82,1.204971
83,1.167857
84,0.836796
85,0.804230
86,1.226888
87,0.780378
88,0.797712
89,1.023880
90,0.870255
91,0.898222
92,0.747759
93,0.715504
94,0.969467
95,0.847865
96,1.088093
97,0.740430
98,0.582377
99,1.018821
100,0.735558
101,0.687417
102,1.192864
103,0.836543
104,0.956615
105,0.698758
106,1.028019
107,1.022771
108,0.850964
109,0.859068
110,0.812832
111,0.880580
112,0.984593
113,0.887700
114,0.707860
115,0.782582
116,1.022215
117,0.796649
118,0.877206
119,0.902333
120,0.973068
121,0.962136
122,1.155455
123,0.745912
124,1.117657
125,1.111220
126,0.973113
127,0.878014
128,0.963526
129,0.882578
130,0.836731
131,0.892189
132,0.654367
133,0.994929
134,0.780642
135,1.032143
136,1.313211
137,0.884335
138,0.958286
139,1.079762
140,1.185477
141,1.029511
142,1.262790
143,1.048098
144,1.442611
145,0.795198
146,0.991457
147,0.790046
148,0.875542
149,0.956551
150,1.002103
151,0.885002
152,1.005334
153,1.211811
154,0.811544
155,1.043248
156,0.913536
157,0.946835
158,1.031998
159,0.880560
160,0.964390
161,1.039207
162,0.903642
163,0.901372
164,0.949065
165,1.338082
166,0.999898
167,0.814627
168,0.984093
169,0.917291
170,0.745690
171,0.823103
172,0.761478
173,1.035552
174,0.950706
175,1.031453
176,0.779357
177,1.101300
178,0.846497
179,0.986388
180,1.178323
181,1.033088
182,1.244317
183,1.175077
184,0.936911
185,1.077172
186,0.987794
187,0.930613
188,0.925223
189,0.957736
190,0.856731
191,0.973862
192,0.872247
193,0.856933
194,0.863581
195,1.034589
196,0.892542
197,1.174757
198,1.131650
199,1.244828
200,1.068554
201,0.912848
202,1.217283
203,1.024573
204,1.078251
205,1.030915
206,1.129706
207,0.924044
208,0.885762
209,1.093456
210,1.242745
211,1.081829
212,1.117294
213,1.307517
214,1.054125
215,0.962904
216,1.180876
217,0.995248
218,1.033143
219,1.181015
220,1.067131
221,1.262356
222,1.176898
223,0.968136
224,1.003523
225,1.105512
226,1.431027
227,1.095517
228,0.931150
229,1.136418
230,1.055156
231,1.259836
232,0.920428
233,1.079260
234,1.025199
235,0.942058
236,1.104372
237,1.060367
238,1.109021
239,1.118042
240,1.268255
241,1.013252
242,1.057842
243,1.052733
244,1.135720
245,1.238023
246,1.016742
247,1.231666
248,0.968434
249,1.127210
250,1.033250
251,0.988030
252,0.976486
253,1.324037
254,1.111985
255,1.060515
256,1.207527
257,1.068205
258,1.093459
259,1.123335
260,1.121396
261,1.225417
262,0.979629
263,0.986621
264,1.012273
265,1.219717
266,1.231772
267,0.831396
268,1.043647
269,0.876563
270,0.950456
271,1.015006
272,1.043408
273,0.936508
274,0.904581
275,1.212120
276,1.251755
277,1.108208
278,0.966324
279,1.194009
280,1.045168
281,1.315125
282,0.971190
283,1.237502
284,1.276283
285,1.214135
286,1.357664
287,1.071930
288,1.214927
289,0.954415
290,1.008834
291,1.297398
292,0.916408
293,0.993472
294,1.023430
295,1.016781
296,1.127347
297,1.236474
298,1.194077
299,1.027547
300,1.402627
301,0.959566
302,0.990233
303,1.116400
304,0.985899
305,1.075828
306,0.984347
307,1.062038
308,0.861120
309,1.360366
310,1.290743
311,1.053881
312,1.078775
313,1.211449
314,1.395530
315,1.076029
316,1.412804
317,1.112847
318,1.183141
319,1.036788
320,0.910527
321,1.127961
322,1.073836
323,0.949328
324,0.937617
325,1.072976
326,1.082517
327,0.855357
328,0.928164
329,0.945613
330,0.993609
331,1.103572
332,1.116040
333,1.075090
334,1.179997
335,1.070085
336,1.129861
337,1.343430
338,1.291732
339,1.335743
340,1.530334
341,1.296302
342,1.349549
343,1.387194
344,1.147905
345,1.096992
346,1.039983
347,1.059457
348,1.184867
349,1.030998
350,0.930617
351,1.094516
352,1.279609
353,1.040862
354,1.119048
355,1.168310
356,1.164539
357,1.133998
358,1.131892
359,1.303783
360,1.466740
361,1.187308
362,1.208959
363,1.319964
364,1.147313
365,1.227518
366,1.439684
367,1.068962
368,1.122020
369,1.460620
370,1.312059
371,1.036044
372,1.242436
373,1.334065
374,1.170963
375,1.275563
376,1.403812
377,1.074388
378,1.351455
379,1.432609
380,1.094982
381,1.181389
382,1.364800
383,1.314737
384,1.155150
385,0.979522
386,1.189053
387,1.198101
388,1.114386
389,1.141050
390,1.030278
391,1.006574
392,1.106193
393,1.026090
394,1.051057
395,1.033868
396,1.052766
397,1.063089
398,1.179757
399,1.037505
400,1.197145
401,1.490488
402,1.516615
403,1.343496
404,1.324373
405,1.467847
406,1.392972
407,1.375039
408,1.389473
409,1.248513
410,1.397514
411,1.438034
412,1.192929
413,1.097675
414,1.235916
415,1.188309
416,1.162797
417,1.424610
418,1.169121
419,1.282247
420,1.265342
421,1.351025
422,1.313693
423,1.195743
424,1.334860
425,1.146358
426,1.161783
427,1.133392
428,1.124175
429,1.051906
430,1.016165
431,1.233678
432,1.159196
433,1.267422
434,1.185059
435,1.171674
436,1.094679
437,1.298331
438,1.281468
439,0.984620
440,1.112911
441,1.325546
442,1.232404
443,1.335978
444,1.279728
445,1.260440
446,1.200497
447,1.182646
448,1.206954
449,1.374685
450,1.272833
451,1.441629
452,1.173919
453,1.410406
454,1.183769
455,1.506532
456,1.241191
457,1.211418
458,1.327573
459,1.169730
460,1.211550
461,1.323955
462,1.160136
463,1.244711
464,1.375186
465,1.084843
466,1.356831
467,1.222248
468,1.442848
469,1.270849
470,1.397848
471,1.066671
472,1.270649
473,1.123261
474,1.167061
475,1.277021
476,1.296030
477,1.486324
478,1.548789
479,1.294386
480,1.410690
481,1.460503
482,1.362729
483,1.190791
484,1.443826
485,1.207836
486,1.260167
487,1.057096
488,1.151836
489,1.305974
490,1.101307
491,1.040465
492,1.257270
493,1.235770
494,0.947734
495,1.144873
496,1.432338
497,1.403673
498,1.289925
499,1.063087
