step,fwd_ms,bwd_ms,opt_ms,total_ms
0,285.814,637.799,43.221,966.835
1,235.433,580.475,5.605,821.514
2,208.631,591.464,6.048,806.143
3,199.852,560.304,5.989,766.145
4,198.718,511.770,6.086,716.574
5,204.217,575.354,6.080,785.652
6,206.621,608.166,5.990,820.777
7,201.615,575.856,5.844,783.315
8,187.879,587.394,5.988,781.260
9,197.989,609.598,5.983,813.571
10,203.375,624.465,5.972,833.812
11,212.149,562.300,5.967,780.416
12,186.206,598.674,6.298,791.179
13,186.496,542.703,5.967,735.167
14,230.892,570.771,5.903,807.565
15,190.296,592.515,6.424,789.235
16,207.149,554.602,5.912,767.664
17,180.063,555.224,5.567,740.854
18,209.925,556.768,5.527,772.219
19,220.114,562.861,5.532,788.506
20,206.379,550.381,5.557,762.317
21,186.583,546.974,6.051,739.609
22,178.614,551.704,5.409,735.727
23,193.482,644.354,6.017,843.853
24,191.111,571.908,6.087,769.106
25,214.223,547.429,6.200,767.852
26,215.266,549.492,5.917,770.675
27,206.166,503.254,5.928,715.348
28,182.687,537.208,5.400,725.295
29,227.821,545.910,5.946,779.677
30,211.687,554.223,5.474,771.383
31,188.047,555.451,5.860,749.358
32,176.296,591.377,5.961,773.634
33,188.687,583.162,5.860,777.709
34,211.783,593.382,6.055,811.221
35,211.718,562.686,6.138,780.542
36,205.626,590.685,5.823,802.134
37,217.544,559.141,5.955,782.641
38,206.239,599.416,5.943,811.599
39,221.095,565.364,6.069,792.528
40,210.708,572.784,5.477,788.969
41,220.168,561.167,5.936,787.271
42,213.537,584.328,6.346,804.211
43,208.796,550.221,5.968,764.986
44,228.138,554.455,5.635,788.228
45,216.344,545.499,5.532,767.376
46,211.755,573.842,5.460,791.057
47,213.189,556.822,5.504,775.514
48,215.583,605.471,6.092,827.146
49,216.520,580.725,5.982,803.227
50,204.425,600.930,6.091,811.447
51,196.127,568.477,5.657,770.261
52,206.673,590.928,13.159,810.761
53,213.397,577.765,6.142,797.303
54,204.375,619.245,5.877,829.497
55,203.589,594.341,6.063,803.993
56,197.653,607.598,5.972,811.223
57,197.415,610.928,6.031,814.375
58,182.917,621.868,5.972,810.756
59,205.909,588.530,6.038,800.477
60,206.045,602.031,5.966,814.042
61,223.646,595.028,5.992,824.667
62,209.289,599.404,10.765,819.457
63,228.212,588.956,5.976,823.144
64,211.761,597.259,6.065,815.085
65,211.330,521.850,6.047,739.227
66,210.480,530.820,6.087,747.387
67,211.227,618.739,5.822,835.788
68,201.947,521.362,5.396,728.704
69,206.180,527.892,5.456,739.528
70,194.746,645.806,6.020,846.572
71,184.727,617.039,6.145,807.912
72,174.655,649.465,6.022,830.143
73,184.359,592.696,6.019,783.074
74,183.093,568.278,5.802,757.172
75,208.422,573.621,6.078,788.121
76,189.096,568.241,5.500,762.836
77,205.821,517.375,6.000,729.197
78,192.043,512.174,5.441,709.657
79,209.108,484.621,5.854,699.583
80,194.389,628.787,5.915,829.091
81,184.611,561.704,5.940,752.255
82,203.002,543.819,5.990,752.812
83,200.062,616.642,5.861,822.565
84,196.168,560.196,6.010,762.374
85,198.646,548.177,5.417,752.240
86,182.747,538.749,5.470,726.967
87,198.719,563.671,6.010,768.399
88,202.335,551.574,5.851,759.760
89,197.833,568.051,5.990,771.874
90,200.121,563.590,5.853,769.565
91,185.542,488.164,5.420,679.126
92,194.219,612.024,6.290,812.532
93,168.456,607.212,6.016,781.685
94,212.070,605.241,5.882,823.193
95,202.081,564.496,5.884,772.461
96,171.951,607.872,6.023,785.846
97,194.697,609.338,6.138,810.174
98,193.190,592.342,6.019,791.551
99,206.619,619.198,6.273,832.090
100,194.112,587.457,5.936,787.504
101,196.315,565.253,5.437,767.005
102,204.872,579.666,6.022,790.560
103,217.588,560.770,6.161,784.519
104,197.960,588.812,6.162,792.934
105,190.988,574.916,6.361,772.266
106,200.017,583.533,6.057,789.607
107,211.831,525.409,6.056,743.296
108,206.981,537.967,6.024,750.973
109,196.390,505.888,5.640,707.918
110,191.489,485.568,5.508,682.564
111,195.407,505.921,5.485,706.813
112,212.928,512.620,6.059,731.607
113,206.061,536.111,5.801,747.973
114,210.217,519.199,5.477,734.893
115,212.155,491.288,5.987,709.429
116,200.485,516.939,5.965,723.389
117,192.361,531.243,6.113,729.717
118,189.011,523.662,5.365,718.038
119,203.945,537.211,6.377,747.532
120,210.983,486.616,5.400,703.000
121,203.194,521.029,10.356,734.578
122,200.534,509.226,6.055,715.815
123,192.852,543.754,5.413,742.018
124,197.622,552.500,5.492,755.614
125,205.248,520.244,6.141,731.633
126,185.354,535.220,6.205,726.778
127,176.820,574.281,6.143,757.245
128,173.638,550.569,6.169,730.377
129,191.496,563.764,6.008,761.268
130,176.488,529.439,6.022,711.949
131,176.181,566.488,6.068,748.737
132,196.450,551.975,6.159,754.584
133,192.384,553.916,6.141,752.440
134,217.151,498.466,5.965,721.583
135,178.703,571.322,6.047,756.072
136,194.200,507.743,6.310,708.253
137,198.615,541.276,5.528,745.419
138,195.871,513.081,6.034,714.986
139,181.837,538.867,6.084,726.788
140,175.794,560.954,6.466,743.214
141,187.789,550.914,5.909,744.612
142,173.735,574.454,6.142,754.331
143,167.401,548.488,6.402,722.291
144,169.698,556.884,5.511,732.093
145,200.361,571.788,6.010,778.159
146,203.458,539.284,5.995,748.737
147,170.949,563.395,5.908,740.252
148,169.574,504.825,6.059,680.459
149,195.123,478.213,6.067,679.402
150,199.826,530.752,5.580,736.158
151,174.546,488.488,5.590,668.625
152,187.807,540.901,5.495,734.203
153,212.379,505.163,5.955,723.497
154,187.242,525.736,5.818,718.795
155,171.022,519.957,6.006,696.985
156,206.918,584.560,6.038,797.515
157,196.668,562.835,6.314,765.817
158,192.334,550.794,5.476,748.604
159,197.737,532.363,6.058,736.158
160,212.643,507.674,6.030,726.348
161,201.687,526.688,6.264,734.639
162,199.615,520.602,5.979,726.196
163,185.027,539.719,6.076,730.822
164,205.103,525.296,5.983,736.382
165,192.402,536.451,6.208,735.061
166,178.817,554.767,6.079,739.663
167,185.806,561.261,5.865,752.932
168,171.070,579.453,5.988,756.511
169,203.136,519.969,6.064,729.170
170,203.367,577.883,6.055,787.305
171,206.225,531.412,5.464,743.102
172,189.358,578.483,6.003,773.844
173,189.636,522.222,5.913,717.771
174,209.323,557.827,6.055,773.205
175,188.736,559.864,6.043,754.644
176,174.081,583.685,6.010,763.776
177,210.955,538.560,5.565,755.079
178,196.780,517.822,6.008,720.610
179,184.304,564.765,6.118,755.187
180,186.849,545.566,5.527,737.941
181,182.871,591.891,5.951,780.713
182,172.048,581.621,6.098,759.767
183,191.009,570.798,6.035,767.841
184,206.944,551.900,5.908,764.752
185,193.651,580.037,6.343,780.031
186,178.330,570.815,5.920,755.065
187,186.164,585.816,6.038,778.018
188,183.243,564.046,6.078,753.367
189,194.473,583.469,5.986,783.928
190,185.804,542.558,6.026,734.388
191,189.346,507.278,6.030,702.654
192,184.990,497.941,5.965,688.895
193,203.715,473.324,5.954,682.994
194,201.400,508.991,5.934,716.325
195,441.352,683.272,83.445,1208.069
196,193.336,507.202,8.148,708.686
197,174.551,497.205,6.228,677.985
198,188.591,511.996,6.251,706.838
199,173.714,508.720,6.173,688.608
200,171.353,506.356,6.417,684.125
201,209.891,482.186,7.031,699.108
202,184.719,550.809,6.209,741.737
203,197.419,478.919,5.610,681.948
204,186.712,540.409,9.550,736.672
205,201.037,492.770,6.132,699.939
206,201.617,532.662,8.214,742.493
207,183.846,478.552,5.738,668.137
208,202.498,469.029,5.586,677.114
209,209.614,506.084,6.127,721.825
210,187.303,491.343,5.576,684.222
211,179.305,475.278,5.634,660.218
212,189.031,539.745,6.137,734.913
213,194.066,522.245,5.955,722.265
214,205.901,526.327,6.176,738.403
215,199.921,513.145,7.952,721.018
216,186.223,557.793,5.712,749.727
217,199.092,519.188,6.121,724.402
218,205.547,483.821,6.268,695.636
219,200.061,534.045,6.233,740.338
220,188.019,514.727,6.469,709.215
221,198.672,505.557,6.289,710.517
222,199.295,495.142,6.080,700.518
223,207.468,512.895,6.210,726.572
224,195.039,516.025,6.360,717.424
225,202.616,546.687,6.151,755.455
226,195.142,507.153,6.255,708.549
227,196.325,543.107,6.295,745.727
