step,loss
0,2.423275
1,2.886190
2,3.467254
3,3.991926
4,4.123723
5,4.401423
6,3.890733
7,3.687746
8,3.109320
9,3.647846
10,4.047599
11,3.913398
12,3.764967
13,4.585491
14,5.270732
15,4.884398
16,4.725976
17,3.535541
18,3.624988
19,3.201700
20,2.761945
21,2.899343
22,2.581383
23,2.371796
24,2.598012
25,2.723660
26,2.742986
27,2.813365
28,2.523510
29,2.567166
30,2.348108
31,2.268079
32,2.854411
33,2.336811
34,2.309337
35,2.345870
36,2.181849
37,2.186624
38,2.151414
39,2.141428
40,2.190652
41,2.037330
42,2.176236
43,1.993318
44,2.060236
45,2.158459
46,1.967761
47,2.018497
48,2.146875
49,1.961210
50,2.018743
51,2.011358
52,2.102757
53,1.902427
54,2.058212
55,2.036032
56,1.859517
57,1.943995
58,2.065900
59,1.916667
60,1.974784
61,1.973101
62,1.859795
63,1.905597
64,1.916055
65,2.000366
66,1.986073
67,1.793001
68,1.895905
69,1.968129
70,1.876968
71,1.890400
72,2.005199
73,1.857877
74,1.932877
75,2.043602
76,1.771250
77,1.819198
78,1.841603
79,1.851498
80,1.814890
81,1.729086
82,1.874709
83,1.930276
84,1.763546
85,1.831244
86,2.012872
87,1.711071
88,1.849012
89,1.837198
90,1.674694
91,1.696352
92,1.789032
93,1.829027
94,1.774417
95,1.897054
96,1.890463
97,1.699266
98,1.737171
99,1.844361
100,1.756329
101,1.763968
102,2.004286
103,1.721359
104,1.851898
105,1.743744
106,1.858768
107,1.824854
108,1.682273
109,1.588423
110,1.747885
111,1.700832
112,1.662374
113,1.676832
114,1.711175
115,1.703043
116,1.605573
117,1.628515
118,1.730311
119,1.764267
120,1.698483
121,1.734752
122,1.860463
123,1.558141
124,1.825656
125,1.756026
126,1.707416
127,1.690162
128,1.832282
129,1.663940
130,1.772134
131,1.774493
132,1.546584
133,1.585896
134,1.648035
135,1.779816
136,1.729856
137,1.563686
138,1.557335
139,1.425419
140,1.782961
141,1.561979
142,1.626356
143,1.678659
144,1.757627
145,1.625993
146,1.808556
147,1.706662
148,1.669186
149,1.633256
150,1.733439
151,1.500360
152,1.612975
153,1.563953
154,1.612932
155,1.681269
156,1.619012
157,1.602392
158,1.604517
159,1.717965
160,1.603448
161,1.595408
162,1.523114
163,1.497946
164,1.659560
165,1.547717
166,1.723871
167,1.450548
168,1.574852
169,1.625656
170,1.642821
171,1.602520
172,1.472816
173,1.437151
174,1.587610
175,1.655794
176,1.550290
177,1.716755
178,1.597250
179,1.440916
180,1.439118
181,1.526830
182,1.549610
183,1.562220
184,1.431463
185,1.610151
186,1.472608
187,1.454598
188,1.486653
189,1.532785
190,1.441522
191,1.527065
192,1.567003
193,1.490396
194,1.482579
195,1.503778
196,1.300099
197,1.572096
198,1.615548
199,1.751480
200,1.446108
201,1.556758
202,1.587762
203,1.631115
204,1.482200
205,1.484329
206,1.481385
207,1.385246
208,1.452972
209,1.434170
210,1.561986
211,1.451326
212,1.594819
213,1.533946
214,1.530673
215,1.459176
216,1.427928
217,1.493445
218,1.390782
219,1.407279
220,1.377821
221,1.422517
222,1.385703
223,1.572165
224,1.534936
225,1.569980
226,1.540794
227,1.623882
228,1.427820
229,1.489231
230,1.459945
231,1.492945
232,1.336147
233,1.504161
234,1.475774
235,1.554760
236,1.309818
237,1.478867
238,1.438587
239,1.522589
240,1.535719
241,1.274882
242,1.329562
243,1.488871
244,1.547514
245,1.308285
246,1.240021
247,1.479808
248,1.508486
249,1.490693
250,1.526677
251,1.454110
252,1.469499
253,1.464565
254,1.374232
255,1.551452
256,1.397030
257,1.353846
258,1.332183
259,1.610701
260,1.351439
261,1.485638
262,1.312185
263,1.381710
264,1.470607
265,1.519624
266,1.202914
267,1.228498
268,1.471748
269,1.364278
270,1.479256
271,1.537245
272,1.370463
273,1.401328
274,1.312259
275,1.452614
276,1.486887
277,1.315145
278,1.248673
279,1.339758
280,1.335667
281,1.440823
282,1.248518
283,1.413295
284,1.276331
285,1.356089
286,1.482978
287,1.329903
288,1.384027
289,1.219779
290,1.398239
291,1.336477
292,1.459772
293,1.397146
294,1.283741
295,1.334538
296,1.333155
297,1.321287
298,1.371954
299,1.309673
300,1.486961
301,1.218748
302,1.572539
303,1.245114
304,1.145871
305,1.224110
306,1.252304
307,1.320068
308,1.218247
309,1.276830
310,1.300113
311,1.298742
312,1.183003
313,1.304290
314,1.309169
315,1.288737
316,1.435244
317,1.311208
318,1.237906
319,1.267664
320,1.157619
321,1.313933
322,1.307516
323,1.321213
324,1.225046
325,1.387918
326,1.270812
327,1.240504
328,1.330382
329,1.319440
330,1.246295
331,1.253583
332,1.140289
333,1.332170
334,1.217517
335,1.067595
336,1.370994
337,1.127250
338,1.319893
339,1.259332
340,1.309348
341,1.245267
342,1.180767
343,1.378206
344,1.271533
345,1.324482
346,1.167494
347,1.292910
348,1.397691
349,1.293376
350,1.259609
351,1.106154
352,1.128586
353,1.308907
354,1.138163
355,1.186458
356,0.918550
357,1.313986
358,1.157466
359,1.251869
360,1.216473
361,1.190871
362,1.244304
363,1.283498
364,1.271890
365,1.375821
366,1.339464
367,1.204215
368,1.297239
369,1.244813
370,1.278448
371,1.205383
372,1.233943
373,1.313928
374,1.165711
375,1.062386
376,1.110229
377,1.142411
378,1.119530
379,1.282485
380,1.061735
381,1.429162
382,1.329929
383,1.135172
384,1.372358
385,1.231580
386,1.218534
387,1.252966
388,1.133432
389,1.329336
390,1.094095
391,1.084697
392,1.133114
393,1.105017
394,1.192317
395,1.193238
396,1.250408
397,1.003333
398,1.042736
399,1.101460
400,1.046620
401,1.064753
402,1.172926
403,1.108102
404,1.053870
405,1.108852
406,1.102830
407,1.082109
408,1.246474
409,1.083930
410,1.355320
411,1.236994
412,1.097579
413,1.119962
414,1.075665
415,1.098834
416,1.144280
417,1.102598
418,1.115843
419,1.118150
420,1.049984
421,1.036702
422,1.178861
423,1.173890
424,1.292902
425,1.127567
426,1.096434
427,1.071182
428,1.093144
429,1.127513
430,0.844042
431,1.217837
432,1.051871
433,1.094325
434,1.057273
435,0.924560
436,1.061373
437,1.107875
438,1.153801
439,0.850185
440,1.198803
441,1.088125
442,1.296012
443,1.047888
444,1.067010
445,1.022842
446,1.167764
447,0.925824
448,1.095735
449,1.162215
450,1.125523
451,0.996766
452,0.831419
453,1.253880
454,0.970596
455,1.214554
456,1.096843
457,0.890681
458,1.099351
459,1.086159
460,1.194970
461,0.853190
462,1.111124
463,1.137891
464,0.933353
465,0.901078
466,1.138981
467,0.934592
468,1.094410
469,0.912713
470,0.944751
471,1.012510
472,0.950663
473,0.895949
474,0.857015
475,1.035864
476,1.185720
477,1.046690
478,1.162099
479,0.962756
480,1.009400
481,0.920091
482,1.032708
483,0.963342
484,1.185218
485,1.079385
486,1.277710
487,0.867432
488,0.968867
489,0.986496
490,0.985724
491,0.910818
492,0.987608
493,0.926252
494,0.808918
495,1.071947
496,1.128739
497,1.143295
498,1.180778
499,0.870160
