step,grad_l2
0,3.133972
1,4.499724
2,6.788959
3,6.909489
4,5.336184
5,6.236111
6,7.331288
7,5.475464
8,13.179162
9,9.744148
10,5.761527
11,3.868726
12,3.982304
13,2.271725
14,2.562998
15,2.092816
16,1.283183
17,1.574427
18,1.267295
19,1.273377
20,1.365073
21,1.522848
22,1.361140
23,2.040362
24,1.519355
25,3.398057
26,2.268388
27,1.833974
28,0.941562
29,1.355618
30,1.488964
31,0.718985
32,0.634999
33,0.434107
34,0.443062
35,0.406698
36,0.474153
37,0.474409
38,0.441083
39,0.783748
40,0.469330
41,0.789562
42,0.501348
43,0.812999
44,0.435713
45,0.452516
46,0.539857
47,0.788585
48,0.701748
49,0.556760
50,0.593640
51,0.478344
52,0.591241
53,0.524628
54,0.686621
55,0.566645
56,0.442031
57,0.799330
58,0.650055
59,0.649330
60,0.549275
61,0.861989
62,0.391917
63,1.428427
64,0.563214
65,0.484945
66,0.682340
67,0.545927
68,0.432744
69,0.534566
70,0.500776
71,0.439328
72,0.551809
73,0.459600
74,0.533754
75,0.589367
76,0.516367
77,0.584742
78,0.528036
79,0.708868
80,0.546584
81,0.639551
82,0.664547
83,0.506822
84,0.571723
85,0.395772
86,0.483507
87,0.491053
88,0.828519
89,0.415176
90,0.371868
91,0.500258
92,0.445267
93,0.380124
94,0.457460
95,0.393068
96,0.395945
97,0.542164
98,0.589070
99,0.474026
100,0.392807
101,0.449492
102,0.349476
103,0.630703
104,0.551638
105,0.583580
106,0.667745
107,0.438672
108,0.478221
109,0.667241
110,0.562574
111,0.516593
112,0.676112
113,0.640030
114,0.457931
115,0.772400
116,0.540663
117,0.631650
118,0.637029
119,0.524365
120,0.775505
121,0.618668
122,0.465493
123,0.598943
124,0.725995
125,0.607310
126,0.702310
127,0.887308
128,0.876178
129,0.587562
130,0.593479
131,0.541122
132,0.681447
133,0.751419
134,0.441030
135,0.965649
136,0.596723
137,0.671765
138,0.750959
139,0.801670
140,0.613227
141,0.782422
142,0.616613
143,0.719542
144,0.681718
145,0.582845
146,0.616161
147,0.719873
148,0.596171
149,0.747028
150,0.479182
151,0.756663
152,0.724160
153,0.705837
154,0.621497
155,0.679951
156,0.694444
157,0.531940
158,0.497015
159,0.771229
160,0.721741
161,0.601000
162,0.610989
163,0.589513
164,0.616110
165,0.586322
166,0.693856
167,0.719533
168,0.824801
169,0.730984
170,0.583681
171,0.655651
172,1.035029
173,0.674391
174,0.863050
175,0.672071
176,0.561843
177,0.585238
178,0.493634
179,0.612519
180,0.661991
181,0.837551
182,0.568508
183,0.713482
184,0.601096
185,0.564728
186,0.571988
187,0.730644
188,0.855291
189,0.674960
190,0.612145
191,0.897680
192,0.838003
193,0.679447
194,0.889170
195,0.682389
