step,loss
0,2.291411
1,2.665662
2,2.999381
3,3.907142
4,5.556993
5,5.915451
6,6.126293
7,6.714684
8,8.786981
9,8.583212
10,9.047879
11,6.804886
12,5.849230
13,8.038081
14,7.111144
15,3.633427
16,4.392450
17,4.159278
18,2.664548
19,2.860503
20,3.480272
21,3.270017
22,2.376849
23,3.244836
24,3.000848
25,2.420052
26,2.548089
27,2.548568
28,2.376661
29,2.623193
30,2.439370
31,2.888815
32,2.888936
33,2.337944
34,2.382532
35,2.407484
36,2.472397
37,2.298038
38,2.526052
39,2.348735
40,2.405294
41,2.307600
42,2.310267
43,2.302274
44,2.328625
45,2.305873
46,2.409676
47,2.302687
48,2.365391
49,2.278433
50,2.394429
51,2.334801
52,2.338086
53,2.385410
54,2.316786
55,2.378248
56,2.329783
57,2.365603
58,2.352396
59,2.297524
60,2.350340
61,2.361465
62,2.316577
63,2.267363
64,2.292636
65,2.331740
66,2.333681
67,2.285810
68,2.299293
69,2.239245
70,2.286573
71,2.265736
72,2.292298
73,2.277219
74,2.294871
75,2.256028
76,2.255906
77,2.226056
78,2.264395
79,2.288966
80,2.251988
81,2.235243
82,2.214414
83,2.189038
84,2.156496
85,2.166493
86,2.215158
87,2.159287
88,2.208657
89,2.149455
90,2.141505
91,2.084280
92,2.095101
93,2.113600
94,2.147805
95,2.142666
96,2.101809
97,2.015401
98,2.129963
99,2.025235
100,2.032990
101,2.006625
102,2.054078
103,2.122904
104,2.144298
105,2.012424
106,2.017367
107,1.980982
108,2.088748
109,2.124396
110,2.180048
111,2.167430
112,2.092923
113,2.035944
114,1.950581
115,2.094275
116,2.076164
117,2.142725
118,2.087380
119,2.027993
120,2.002740
121,2.114588
122,2.047463
123,2.092643
124,1.987735
125,1.992081
126,2.009829
127,2.026173
128,2.055801
129,2.067442
130,2.050174
131,1.990346
132,2.032063
133,1.904887
134,2.020495
135,2.040249
136,1.970934
137,1.998691
138,1.989300
139,1.985413
140,2.131496
141,2.003175
142,2.051886
143,1.977575
144,1.939056
145,1.964183
146,1.949410
147,1.950750
148,1.949727
149,1.984997
150,2.007166
151,1.984536
152,1.912501
153,1.887581
154,1.982620
155,1.854668
156,1.969683
157,1.964993
158,1.953745
159,1.905792
160,2.068882
161,1.991792
162,1.929412
163,1.967243
164,1.930175
165,1.908703
166,1.901765
167,1.957506
168,1.922562
169,1.904928
170,1.853106
171,1.882130
172,1.896547
173,1.865049
174,1.863961
175,1.902293
176,1.880452
177,1.873722
178,1.934883
179,2.001812
180,1.935637
181,1.908021
182,1.956102
183,1.904819
184,1.935252
185,1.859532
186,1.907552
187,1.933846
188,1.945789
189,1.931307
190,1.921878
191,1.913580
192,1.776675
193,1.788042
194,1.870929
195,1.929193
196,1.867788
197,1.782363
198,1.831521
199,1.868381
200,1.789546
201,1.843880
202,1.827503
203,1.855524
204,1.699843
205,1.810621
206,1.881453
207,1.775915
208,1.741485
209,1.714623
210,1.846193
211,1.839763
212,1.855267
213,1.813471
214,1.861480
215,1.920225
216,1.740290
217,1.752116
218,1.860542
219,1.770296
220,1.790647
221,1.881982
222,1.839255
223,1.759476
224,1.723810
225,1.729211
226,1.821534
227,1.704335
228,1.647201
229,1.685389
230,1.801332
231,1.799776
232,1.777481
233,1.929903
234,1.799649
235,1.599210
236,1.810947
237,1.708047
238,1.725613
239,1.760283
240,1.733680
241,1.770403
242,1.650887
243,1.789891
244,1.708075
245,1.640603
246,1.581620
247,1.742695
248,1.705944
249,1.628925
250,1.710267
251,1.623210
252,1.716798
253,1.647934
254,1.730809
255,1.823707
256,1.755768
257,1.658188
258,1.646692
259,1.856886
260,1.651833
261,1.706935
262,1.644230
263,1.738852
264,1.772086
265,1.713497
266,1.663318
267,1.617932
268,1.763747
269,1.790433
270,1.585259
271,1.704188
272,1.587330
273,1.656065
274,1.612981
275,1.689102
276,1.699926
277,1.619955
278,1.805573
279,1.622015
280,1.646958
281,1.735258
282,1.731330
283,1.765183
284,1.809169
285,1.658745
286,1.652926
287,1.705972
288,1.650807
289,1.669764
290,1.722317
291,1.469840
292,1.729212
293,1.555126
294,1.550408
295,1.716865
296,1.537428
297,1.529390
298,1.429502
299,1.671060
300,1.566365
301,1.677544
302,1.493851
303,1.511095
304,1.620497
305,1.714396
306,1.675864
307,1.545380
308,1.646947
309,1.574993
310,1.742085
311,1.673525
312,1.523044
313,1.773209
314,1.636883
315,1.481960
316,1.689121
317,1.691194
318,1.609408
319,1.625188
320,1.554936
321,1.628475
322,1.584083
323,1.638996
324,1.566138
325,1.652830
326,1.560124
327,1.636361
328,1.458019
329,1.474184
330,1.487175
331,1.389458
332,1.587858
333,1.556600
334,1.567808
335,1.566502
336,1.677327
337,1.685888
338,1.554151
339,1.627327
340,1.401389
341,1.473428
342,1.476924
343,1.478780
344,1.598743
345,1.583094
346,1.508767
347,1.564414
348,1.546430
349,1.434049
350,1.526783
351,1.462459
352,1.486642
353,1.677439
354,1.656445
355,1.511726
356,1.559561
357,1.578723
358,1.645729
359,1.533474
360,1.613963
361,1.547266
362,1.584444
363,1.483906
364,1.479908
365,1.606124
366,1.607113
367,1.620242
368,1.609783
369,1.440952
370,1.772894
371,1.545101
372,1.495409
373,1.333624
374,1.590037
375,1.525355
376,1.640992
377,1.490184
378,1.633852
379,1.469914
380,1.689339
381,1.377246
382,1.445320
383,1.418922
384,1.469250
385,1.453622
386,1.526465
387,1.653630
388,1.473074
389,1.373299
390,1.497696
391,1.324718
392,1.408287
393,1.560549
