step,fwd_ms,bwd_ms,opt_ms,total_ms
0,285.115,833.187,46.826,1165.129
1,236.109,770.411,6.510,1013.030
2,201.718,570.694,5.987,778.398
3,213.088,554.359,6.185,773.632
4,411.782,550.578,6.066,968.427
5,225.002,751.888,6.034,982.924
6,199.094,725.990,5.998,931.082
7,194.331,677.480,6.533,878.344
8,183.045,508.170,5.883,697.098
9,368.367,701.592,6.492,1076.451
10,195.123,515.218,6.159,716.499
11,385.237,736.604,6.357,1128.199
12,190.736,502.308,6.194,699.238
13,386.452,475.403,5.639,867.494
14,228.229,565.267,6.090,799.587
15,216.225,546.718,5.826,768.770
16,208.828,727.257,6.168,942.254
17,222.709,734.159,6.203,963.071
18,209.621,525.997,6.126,741.744
19,409.997,554.569,5.894,970.460
20,193.892,473.741,5.599,673.233
21,182.253,489.581,6.309,678.143
22,176.541,547.397,6.058,729.996
23,201.677,517.358,6.764,725.799
24,207.739,518.710,5.649,732.098
25,189.054,515.162,6.059,710.275
26,197.402,494.312,6.112,697.826
27,196.417,511.870,6.128,714.414
28,189.920,477.936,6.081,673.936
29,172.740,508.809,6.014,687.563
30,168.080,576.970,6.298,751.348
31,167.675,547.433,6.262,721.369
32,182.044,522.672,6.294,711.010
33,166.469,528.633,6.115,701.217
34,172.045,529.654,6.182,707.881
35,211.240,544.224,5.886,761.349
36,183.918,528.435,6.318,718.671
37,190.344,505.484,6.088,701.916
38,183.922,532.881,6.197,722.999
39,187.061,529.050,5.914,722.025
40,182.841,528.345,5.591,716.777
41,195.330,470.063,5.637,671.030
42,192.018,537.024,5.612,734.654
43,194.650,531.942,6.040,732.632
44,186.633,532.110,6.201,724.944
45,173.552,531.964,5.473,710.988
46,200.954,499.152,6.308,706.414
47,181.518,553.420,6.207,741.145
48,209.432,533.678,5.967,749.077
49,190.314,516.822,5.989,713.126
50,191.645,544.084,6.102,741.831
51,191.257,519.961,5.536,716.754
52,193.726,519.519,5.947,719.192
53,196.236,529.977,6.291,732.503
54,195.975,541.424,5.507,742.905
55,195.224,513.065,6.386,714.675
56,186.480,550.624,5.621,742.724
57,191.156,511.787,6.125,709.067
58,194.242,515.338,6.553,716.132
59,190.041,522.650,6.351,719.042
60,185.021,528.368,6.384,719.773
61,198.181,491.603,5.476,695.260
62,179.122,571.657,6.260,757.039
63,205.673,537.306,6.128,749.107
64,218.930,546.510,6.222,771.662
65,200.593,548.994,6.043,755.630
66,215.128,550.196,6.000,771.323
67,196.199,546.800,5.955,748.954
68,189.697,494.158,5.489,689.344
69,186.397,522.175,6.443,715.014
70,201.690,623.574,5.965,831.229
71,200.137,637.256,6.370,843.763
72,192.605,597.955,6.023,796.583
73,198.082,602.961,6.095,807.138
74,217.664,578.186,5.706,801.555
75,194.730,536.565,5.991,737.287
76,210.864,538.656,6.074,755.594
77,223.919,601.014,6.425,831.357
78,228.914,577.383,5.542,811.839
79,197.967,550.647,6.429,755.043
80,189.543,579.050,6.469,775.063
81,195.598,535.506,5.986,737.090
82,210.148,544.990,6.537,761.675
83,206.953,536.415,6.438,749.806
84,206.647,557.665,6.001,770.313
85,207.699,576.666,5.946,790.312
86,214.786,565.835,5.937,786.558
87,201.016,542.767,6.428,750.211
88,208.836,560.766,5.934,775.536
89,214.645,542.446,6.143,763.234
90,221.834,526.200,6.149,754.183
91,234.145,589.326,5.549,829.021
92,218.608,571.947,5.543,796.098
93,226.326,571.954,5.550,803.830
94,219.354,568.866,5.584,793.804
95,227.318,568.639,6.157,802.113
96,213.481,566.581,6.422,786.485
97,220.024,562.058,5.972,788.054
98,217.182,583.895,6.207,807.285
99,216.466,549.334,5.988,771.789
100,219.935,575.114,6.281,801.329
101,216.769,566.716,5.989,789.473
102,213.044,565.500,6.428,784.972
103,231.639,587.210,5.971,824.820
104,217.224,560.584,6.039,783.846
105,213.210,564.925,6.168,784.304
106,212.785,552.457,6.078,771.320
107,219.429,555.474,5.967,780.870
108,213.133,561.660,6.057,780.850
109,226.712,582.163,5.609,814.484
110,223.617,568.059,5.835,797.510
111,224.107,582.250,5.470,811.827
112,215.890,582.106,5.611,803.607
113,228.258,564.178,6.055,798.491
114,219.756,569.878,5.510,795.143
115,233.423,587.560,5.665,826.648
116,230.764,585.949,5.578,822.291
117,232.956,592.201,6.192,831.349
118,222.975,586.771,5.435,815.181
119,225.079,586.498,5.629,817.207
120,225.692,589.553,5.608,820.853
121,232.690,586.870,5.528,825.088
122,225.894,588.358,5.558,819.810
123,226.321,589.147,5.497,820.965
124,232.665,589.710,5.591,827.967
125,223.619,589.809,5.572,819.000
126,224.627,586.515,5.707,816.848
127,207.802,539.504,6.076,753.383
128,175.545,551.690,6.104,733.339
129,168.655,501.226,6.189,676.071
130,194.666,509.959,6.421,711.045
131,169.058,519.820,6.371,695.249
132,201.484,508.495,5.600,715.579
133,186.805,506.529,6.129,699.462
134,208.856,529.662,6.210,744.729
135,222.346,540.570,6.056,768.972
136,215.030,527.398,6.153,748.582
137,208.144,536.428,5.980,750.552
138,204.065,555.402,6.074,765.542
139,218.825,575.920,5.599,800.343
140,227.961,579.955,5.678,813.594
141,210.760,556.105,5.823,772.688
142,213.876,568.771,6.028,788.675
143,194.148,491.197,6.048,691.393
144,174.394,550.691,5.498,730.583
145,194.452,515.320,5.629,715.400
146,230.590,551.565,6.460,788.614
147,196.709,527.589,6.405,730.702
148,195.791,519.659,6.383,721.833
149,197.149,524.153,5.990,727.292
150,191.389,565.710,6.297,763.396
151,170.570,565.603,6.182,742.355
152,191.050,512.890,6.081,710.021
153,196.481,555.705,5.516,757.702
154,222.354,569.958,5.446,797.758
155,223.562,526.468,6.293,756.323
156,220.966,522.988,6.124,750.078
157,212.952,550.764,6.172,769.888
158,188.962,549.244,5.507,743.713
159,236.218,526.441,6.084,768.743
160,197.228,524.464,6.421,728.112
161,199.667,530.387,5.547,735.601
162,199.760,524.654,5.856,730.270
163,201.582,497.301,5.509,704.392
164,203.249,542.027,6.081,751.356
165,203.064,536.887,5.469,745.420
166,241.578,533.181,6.206,780.965
167,212.678,554.050,6.239,772.967
168,222.292,576.006,5.740,804.038
169,212.490,527.523,6.081,746.094
170,226.232,576.801,6.093,809.126
171,211.500,536.682,12.582,760.764
172,224.043,562.586,5.583,792.212
173,212.364,592.757,6.134,811.255
174,233.863,546.251,6.115,786.229
175,194.391,568.519,6.074,768.984
176,228.215,551.121,6.128,785.463
177,219.976,530.795,5.907,756.678
178,205.920,515.155,6.072,727.147
179,200.215,538.100,6.158,744.473
180,181.547,573.428,6.612,761.588
181,178.599,566.131,5.987,750.717
182,202.939,556.782,6.066,765.787
183,185.144,542.879,6.104,734.127
184,167.072,553.009,5.999,726.080
185,188.914,594.392,5.934,789.240
186,171.830,561.869,5.564,739.263
187,189.168,572.532,6.121,767.821
188,186.163,563.085,6.241,755.489
189,169.524,568.295,5.951,743.770
190,194.805,493.198,5.791,693.793
191,237.714,565.595,6.020,809.328
192,216.870,592.780,5.979,815.629
193,223.512,586.778,5.954,816.244
194,215.968,560.055,5.623,781.646
195,416.741,675.767,96.026,1188.534
196,215.170,529.876,8.535,753.581
197,210.835,503.014,5.497,719.346
198,230.283,568.673,5.947,804.903
199,203.496,543.150,5.830,752.476
200,225.312,559.760,5.937,791.009
201,222.764,548.899,5.991,777.653
202,208.441,515.457,14.275,738.173
203,227.361,576.657,5.888,809.905
204,222.813,520.338,8.955,752.106
205,215.289,557.650,5.713,778.653
206,220.331,532.426,5.845,758.602
207,233.478,584.425,5.397,823.299
208,207.894,539.427,5.842,753.163
209,197.250,502.080,5.948,705.278
210,183.995,512.089,6.273,702.358
211,236.194,534.256,5.957,776.407
212,233.224,568.658,6.009,807.891
213,218.364,541.785,6.259,766.407
214,236.958,571.465,8.838,817.261
215,215.125,552.860,5.933,773.918
216,234.709,580.817,5.911,821.437
217,221.509,547.885,6.086,775.480
218,235.426,555.361,5.964,796.751
219,202.990,567.624,5.404,776.018
220,212.665,512.533,5.796,730.994
221,212.236,536.180,5.930,754.345
222,243.559,579.778,9.699,833.036
223,229.043,600.417,5.413,834.874
224,235.060,596.202,5.415,836.676
225,234.283,575.171,5.341,814.795
226,225.520,586.860,5.407,817.788
227,216.681,552.583,5.844,775.107
228,212.802,574.092,5.998,792.892
229,223.998,537.411,5.969,767.377
230,207.516,530.957,5.875,744.348
231,200.188,514.342,6.261,720.791
232,207.083,504.963,6.255,718.301
233,247.077,564.904,5.930,817.911
234,226.781,587.281,5.473,819.535
235,231.886,588.563,5.335,825.783
236,232.722,582.641,5.547,820.911
237,211.000,566.874,5.403,783.278
238,214.238,545.522,5.906,765.667
239,234.518,560.251,5.503,800.272
240,218.892,564.208,5.947,789.046
241,235.502,573.263,5.357,814.122
242,233.161,585.829,5.590,824.579
243,225.741,581.083,5.383,812.206
244,234.718,597.423,5.424,837.564
245,228.680,587.330,5.527,821.537
246,227.886,575.311,6.022,809.219
247,232.042,588.002,5.683,825.727
248,234.230,583.680,5.466,823.377
249,220.069,560.155,5.469,785.693
250,220.673,573.936,5.407,800.015
251,227.067,553.203,6.078,786.348
252,235.136,586.656,5.329,827.121
253,220.922,545.955,7.909,774.786
254,226.172,514.121,6.020,746.313
255,221.522,556.029,6.265,783.816
256,226.512,555.858,6.050,788.420
257,225.400,541.822,6.180,773.403
258,206.821,540.697,5.954,753.472
259,193.454,512.839,5.960,712.253
260,197.545,502.885,6.038,706.468
261,184.143,535.656,5.546,725.344
262,203.054,470.767,5.440,679.261
263,185.268,541.954,5.982,733.203
264,200.937,500.154,5.386,706.476
265,190.404,553.513,5.447,749.363
266,229.995,546.535,6.241,782.771
267,227.291,541.678,5.981,774.951
268,202.362,517.288,6.055,725.705
269,208.900,505.695,6.069,720.665
270,199.406,509.678,6.119,715.203
271,212.670,526.511,5.913,745.094
272,195.706,569.951,5.876,771.533
273,196.328,507.276,6.126,709.730
274,195.438,528.684,5.443,729.564
275,182.349,563.704,5.999,752.051
276,221.660,582.606,5.461,809.728
277,228.410,582.592,5.500,816.502
278,225.344,563.542,6.096,794.981
279,224.638,563.115,6.075,793.829
280,215.778,561.018,5.986,782.781
281,224.165,544.546,6.320,775.031
282,209.421,548.190,6.021,763.631
283,211.955,521.187,6.325,739.466
284,249.041,588.839,5.606,843.485
285,227.412,563.176,10.753,801.342
286,204.692,518.743,6.195,729.629
287,195.510,526.672,5.413,727.595
288,248.930,569.962,5.428,824.320
289,227.172,589.596,5.400,822.169
290,218.530,561.258,5.369,785.157
291,216.725,548.371,6.314,771.410
292,245.485,601.272,5.997,852.754
293,218.931,546.242,6.349,771.522
294,221.200,548.196,6.047,775.443
295,228.260,580.204,8.613,817.076
296,233.567,564.661,5.487,803.714
297,218.816,605.416,5.635,829.867
298,225.749,596.422,5.545,827.716
299,217.543,556.213,5.950,779.706
300,227.188,552.070,6.088,785.347
301,215.055,560.009,5.874,780.939
302,227.672,587.053,5.510,820.234
303,216.164,571.444,6.470,794.078
304,207.751,553.589,6.121,767.461
305,233.991,569.711,5.443,809.145
306,237.254,594.736,5.387,837.377
307,211.343,564.966,6.043,782.352
308,216.665,547.016,5.841,769.521
309,201.855,534.875,5.500,742.230
310,220.786,539.634,6.000,766.421
311,234.412,566.972,5.845,807.229
312,213.941,531.952,6.275,752.167
313,203.763,551.901,5.982,761.646
314,185.315,553.814,6.218,745.347
315,225.016,558.722,6.245,789.983
316,228.583,538.137,5.969,772.689
317,222.398,549.724,5.945,778.067
318,223.489,572.315,5.779,801.583
319,220.624,543.864,5.891,770.379
320,212.131,534.800,5.931,752.862
321,233.078,575.596,6.389,815.064
322,211.248,526.964,5.888,744.099
323,192.796,509.507,5.961,708.264
324,243.904,558.600,6.001,808.505
325,221.163,588.348,5.806,815.317
326,208.849,504.961,5.482,719.292
327,184.320,515.869,5.912,706.101
328,207.494,502.299,5.533,715.326
