node,transport,drop,seed,iter_ms_med,iter_ms_p99,iter_ms_mean,final_loss,ts
amd245,clear_t1,0.0,41,6729.7075,7004.606,6718.051906666667,1.5370446,2026-05-02 11-42-50
amd247,clear_t1,0.0,42,6504.669,6889.05,6492.983346666667,1.4805045000000001,2026-05-02 11-41-31
amd245,clear_t1,0.0,43,6700.1720000000005,6959.957,6686.554206666667,1.39337125,2026-05-02 12-06-24
amd247,clear_t1,0.01,41,6701.1810000000005,6970.696,6692.037746666667,1.5455513,2026-05-02 12-04-18
amd245,clear_t1,0.01,42,6727.4925,6875.601,6719.820746666666,1.49735035,2026-05-02 12-29-50
amd247,clear_t1,0.01,43,6740.8965,6911.588,6729.79458,1.4509607500000001,2026-05-02 12-27-44
amd245,clear_t1,0.05,41,6635.7895,6941.592,6614.697766666666,1.5080001,2026-05-02 12-53-23
amd247,clear_t1,0.05,42,6735.6205,6917.798,6725.70964,1.50311465,2026-05-02 12-51-20
amd245,clear_t1,0.05,43,6750.125,6926.345,6753.545126666667,1.68891095,2026-05-02 13-16-33
amd247,rc_baseline,0.0,41,6541.641,6821.394,6508.7499333333335,1.5370446,2026-04-30 00-53-10
amd245,rc_baseline,0.0,42,6545.4884999999995,6888.32,6517.509706666667,1.4805045000000001,2026-04-30 00-53-10
amd247,rc_baseline,0.0,43,6482.0975,6697.988,6480.098813333333,1.39337125,2026-04-30 02-07-24
amd245,rc_baseline,0.01,41,6427.886,6615.345,6426.536953333333,1.5370446,2026-04-30 02-07-24
amd247,rc_baseline,0.01,42,6424.1335,6764.577,6434.891506666667,1.4805045000000001,2026-04-30 02-29-22
amd245,rc_baseline,0.01,43,6737.273999999999,6894.086,6726.54404,1.39337125,2026-04-30 02-29-12
amd247,rc_baseline,0.05,41,6351.9295,6684.381,6361.522453333333,1.5370446,2026-04-30 02-51-21
amd245,rc_baseline,0.05,42,6303.6065,6657.27,6293.3866,1.4805045000000001,2026-04-30 02-52-00
amd247,rc_baseline,0.05,43,6505.466,6741.279,6500.70746,1.39337125,2026-04-30 03-13-16
amd245,semirdma,0.0,41,6562.8595000000005,7179.273,6575.92844,1.9217712,2026-04-30 07-38-42
amd247,semirdma,0.0,41,6211.38,6734.585,6226.9228533333335,1.4367089,2026-04-30 17-00-01
amd245,semirdma,0.0,42,6651.0085,7224.546,6680.64188,1.59453395,2026-04-30 17-21-48
amd247,semirdma,0.0,42,6604.193,7243.888,6593.910206666666,1.4346467999999999,2026-04-30 07-38-47
amd245,semirdma,0.0,43,6511.5435,6838.787,6520.5219799999995,1.64185395,2026-04-30 08-01-08
amd247,semirdma,0.0,43,6536.540499999999,6993.897,6525.592046666667,1.55690035,2026-04-30 17-21-19
amd245,semirdma,0.01,41,6651.963,7090.192,6660.110833333333,1.79325215,2026-05-01 20-46-11
amd247,semirdma,0.01,41,6511.1235,6990.705,6503.262293333333,1.52769085,2026-04-30 08-01-15
amd245,semirdma,0.01,42,6500.612999999999,7141.696,6513.542526666667,1.6251631,2026-04-30 08-23-37
amd247,semirdma,0.01,42,6599.8605,7213.104,6593.268613333334,1.60960905,2026-05-01 20-44-05
amd245,semirdma,0.01,43,6573.897,6891.554,6569.897126666667,1.54601215,2026-05-01 21-09-34
amd247,semirdma,0.01,43,6533.7625,6974.536,6549.36956,1.4958303,2026-04-30 08-23-19
amd245,semirdma,0.05,41,6619.585,7212.74,6623.6261933333335,1.33215175,2026-04-30 09-45-16
amd247,semirdma,0.05,41,6578.372,6817.996,6562.2713066666665,1.54077165,2026-05-01 21-07-13
amd245,semirdma,0.05,42,6409.047500000001,6789.874,6416.349086666667,1.4317601,2026-05-01 21-32-31
amd247,semirdma,0.05,42,6485.251,6799.357,6488.047966666667,1.7371631,2026-04-30 09-45-21
amd245,semirdma,0.05,43,6399.835,6802.253,6385.3911,1.62460535,2026-04-30 16-59-57
amd247,semirdma,0.05,43,6386.522,6919.129,6394.8709,1.4125793,2026-05-01 21-30-18
