step,loss
0,2.365618
1,2.732113
2,2.670468
3,3.198015
4,4.004527
5,5.183558
6,6.985003
7,6.371364
8,7.331022
9,5.298156
10,6.533669
11,6.182403
12,3.110818
13,3.977531
14,3.609026
15,2.877134
16,2.540978
17,2.582620
18,2.922957
19,2.385764
20,2.410054
21,2.174871
22,2.468102
23,2.467767
24,2.281235
25,2.178318
26,2.195387
27,2.295177
28,2.250202
29,2.150928
30,2.236271
31,2.036216
32,2.095418
33,2.018829
34,1.993293
35,1.987304
36,2.058408
37,1.951966
38,2.066514
39,1.991420
40,2.002158
41,2.032366
42,1.990105
43,2.092952
44,1.875145
45,2.027470
46,2.013548
47,2.008287
48,1.967112
49,2.094863
50,2.050186
51,1.887415
52,1.948696
53,1.953840
54,2.022049
55,1.926407
56,1.795253
57,2.139801
58,1.989691
59,2.020946
60,1.974196
61,1.866079
62,1.905858
63,1.977076
64,1.983946
65,1.938863
66,1.930381
67,1.966370
68,1.884941
69,1.877040
70,1.829983
71,1.977408
72,1.809820
73,1.807871
74,1.873493
75,1.800019
76,1.870589
77,2.034756
78,1.930828
79,1.753693
80,1.813961
81,1.848377
82,1.989739
83,1.915451
84,1.847458
85,1.798911
86,1.856317
87,1.786000
88,1.803330
89,1.878642
90,1.846787
91,1.748673
92,1.823624
93,1.819369
94,1.776071
95,1.837574
96,1.843428
97,1.693684
98,1.800109
99,1.774901
100,1.650096
101,1.849610
102,1.879025
103,1.833320
104,1.841538
105,1.848286
106,1.787337
107,1.806835
108,1.685912
109,1.793403
110,1.805205
111,1.824698
112,1.789886
113,1.734574
114,1.829782
115,1.694629
116,1.702462
117,1.689725
118,1.779330
119,1.898362
120,1.765027
121,1.843763
122,1.580432
123,1.682817
124,1.769858
125,1.659451
126,1.814295
127,1.760157
128,1.583658
129,1.834130
130,1.711277
131,1.658067
132,1.749829
133,1.750054
134,1.842535
135,1.690940
136,1.624044
137,1.831859
138,1.711920
139,1.670489
140,1.709710
141,1.735012
142,1.556755
143,1.665134
144,1.689119
145,1.697691
146,1.725340
147,1.784900
148,1.964825
149,1.557208
150,1.647681
151,1.760797
152,1.672559
153,1.719306
154,1.795350
155,1.486219
156,1.742200
157,1.662578
158,1.774012
159,1.692199
160,1.745924
161,1.643868
162,1.607105
163,1.516175
164,1.617656
165,1.466199
166,1.654894
167,1.471846
168,1.617285
169,1.688996
170,1.623536
171,1.684635
172,1.729285
173,1.746839
174,1.556819
175,1.646879
176,1.668496
177,1.798138
178,1.627127
179,1.608154
180,1.513101
181,1.478587
182,1.639652
183,1.739814
184,1.598717
185,1.553457
186,1.764170
187,1.602813
188,1.694491
189,1.575792
190,1.739350
191,1.531593
192,1.547625
193,1.613646
194,1.456350
195,1.583829
196,1.465942
197,1.402828
198,1.619813
199,1.680192
