step_seq,bucket_seq,n_chunks,recv_count,decision,nbytes,to_bytes_ms,stage_ms,threads_ms,send_ms,recv_ms,finalize_ms,average_ms,from_numpy_ms,total_ms,hook_total_ms
0,0,2729,2458,3,44695848,25.516,3.207,147.389,146.637,138.752,1.703,71.593,9.197,223.894,268.210
1,0,2729,2458,3,44695848,24.624,3.247,331.799,331.486,323.791,1.657,71.051,8.733,407.757,450.422
2,0,2729,2467,3,44695848,2.980,3.362,63.732,7.853,55.705,1.597,68.632,6.888,137.325,157.339
3,0,2729,2457,3,44695848,2.619,3.075,65.731,7.861,57.761,1.836,70.197,6.923,140.842,160.697
4,0,2729,2457,3,44695848,2.638,3.160,144.759,144.426,136.872,1.644,68.481,6.737,218.047,236.897
5,0,2729,2460,3,44695848,24.245,3.381,63.340,34.293,57.889,1.761,66.768,6.655,135.252,175.114
6,0,2729,2460,3,44695848,2.633,3.159,63.875,7.744,56.057,1.621,68.601,6.686,137.256,156.797
7,0,2729,2468,3,44695848,24.237,3.333,64.440,7.693,56.374,1.607,67.968,6.663,137.349,177.344
8,0,2729,2461,3,44695848,2.657,3.118,64.233,7.543,56.335,1.614,45.228,2.744,114.194,124.822
9,0,2729,2465,3,44695848,23.461,3.020,64.356,7.467,56.772,1.626,68.934,6.921,137.938,178.582
10,0,2729,2463,3,44695848,2.642,3.132,64.132,7.760,56.162,1.685,47.178,3.195,116.130,127.467
11,0,2729,2463,3,44695848,2.640,3.090,63.893,7.716,55.995,1.832,67.585,6.761,136.403,155.512
12,0,2729,2458,3,44695848,23.866,3.064,64.826,7.864,56.821,1.648,69.469,6.962,139.010,179.580
13,0,2729,2457,3,44695848,2.653,3.232,75.354,75.010,67.379,1.782,69.475,8.374,149.845,170.805
14,0,2729,2457,3,44695848,24.061,3.067,263.663,263.350,255.812,1.895,68.478,8.400,337.104,379.692
15,0,2729,2457,3,44695848,2.648,3.114,202.726,202.380,194.786,1.652,70.076,8.344,277.571,298.663
16,0,2729,2457,3,44695848,2.653,3.189,410.215,409.884,403.863,1.832,45.436,2.758,460.674,471.357
17,0,2729,2468,3,44695848,23.832,3.026,65.071,7.793,57.121,1.685,68.525,6.750,138.310,178.192
18,0,2729,2458,3,44695848,2.616,3.125,137.274,136.990,129.251,1.686,45.639,2.763,187.725,198.470
19,0,2729,2460,3,44695848,23.714,3.024,64.936,7.655,56.925,1.639,68.889,6.629,138.489,178.165
20,0,2729,2472,3,44695848,2.980,3.353,63.856,7.482,56.184,1.579,68.949,6.910,137.739,158.087
21,0,2729,2457,3,44695848,23.797,3.035,64.504,7.823,56.352,1.657,69.222,6.896,138.420,178.827
22,0,2729,2464,3,44695848,2.611,3.113,63.624,7.755,55.660,1.637,45.792,2.773,114.168,124.821
23,0,2729,2466,3,44695848,23.683,3.010,64.662,7.310,57.004,1.616,69.824,6.932,139.114,179.525
24,0,2729,2457,3,44695848,2.633,3.102,493.454,493.103,485.715,1.795,69.343,8.170,567.697,587.922
25,0,2729,2457,3,44695848,2.645,3.147,612.771,612.460,605.023,1.687,46.107,2.833,663.714,674.464
26,0,2729,2457,3,44695848,2.688,3.220,793.378,793.021,785.663,1.880,15.382,2.887,813.863,824.289
27,0,2729,2458,3,44695848,2.633,3.127,497.279,496.974,489.325,1.910,69.891,8.462,572.209,593.253
28,0,2729,2457,3,44695848,2.629,3.104,638.860,638.578,631.126,2.174,15.375,2.881,659.515,669.989
29,0,2729,2466,3,44695848,24.288,3.035,65.848,7.721,57.932,1.708,70.223,6.953,140.816,182.102
30,0,2729,2457,3,44695848,2.630,3.179,177.938,177.610,170.352,1.662,18.260,2.883,201.041,211.594
31,0,2729,2457,3,44695848,2.669,3.170,465.784,465.438,458.106,2.015,45.113,2.778,516.084,526.648
32,0,2729,2457,3,44695848,2.649,3.181,576.070,575.686,568.119,1.718,44.513,2.732,625.485,635.775
33,0,2729,2457,3,44695848,2.636,3.128,508.459,508.098,500.737,1.764,45.048,2.735,558.401,568.654
34,0,2729,2458,3,44695848,2.653,3.138,559.197,558.834,551.158,1.649,18.394,2.872,582.380,592.887
35,0,2729,2457,3,44695848,2.711,3.324,129.150,128.805,121.527,1.668,45.265,2.695,179.410,189.874
36,0,2729,2461,3,44695848,24.475,3.411,65.303,7.929,57.208,1.699,70.167,6.998,140.582,182.445
37,0,2729,2457,3,44695848,2.966,3.405,63.677,63.365,55.980,1.642,68.345,6.899,137.070,157.897
38,0,2729,2467,3,44695848,2.640,3.191,64.475,7.634,56.687,1.607,46.125,2.724,115.400,126.225
39,0,2729,2458,3,44695848,24.091,3.005,64.279,7.521,56.650,1.641,68.895,6.941,137.821,179.468
40,0,2729,2457,3,44695848,23.706,3.154,206.732,206.376,199.019,1.969,70.062,6.736,281.920,321.966
41,0,2729,2457,3,44695848,2.637,3.107,502.844,502.497,494.893,1.723,38.800,2.809,546.475,556.597
42,0,2729,2457,3,44695848,2.643,3.185,309.228,308.928,301.353,1.874,69.913,8.420,384.202,405.693
43,0,2729,2457,3,44695848,2.668,3.120,617.646,617.266,609.447,1.963,45.010,2.735,667.743,678.134
44,0,2729,2457,3,44695848,2.644,3.191,574.263,573.926,566.310,1.946,18.462,2.856,597.864,608.474
45,0,2729,2457,3,44695848,2.679,3.129,715.471,715.152,707.623,1.886,45.365,2.757,765.853,776.283
46,0,2729,2457,3,44695848,23.490,3.049,525.158,524.820,519.674,1.859,70.046,8.395,600.114,642.402
47,0,2729,2457,3,44695848,23.991,3.057,322.307,321.972,314.356,1.791,70.647,7.943,397.804,440.532
