step,fwd_ms,bwd_ms,opt_ms,total_ms
0,2397.135,4728.523,60.929,7186.587
1,2322.908,4588.463,15.383,6926.754
2,2189.833,4539.320,14.612,6743.765
3,2036.652,4746.103,15.236,6797.992
4,2034.759,4589.712,15.289,6639.759
5,2135.187,4649.717,15.143,6800.048
6,2110.134,4724.487,15.059,6849.680
7,2204.856,4606.272,15.622,6826.750
8,2086.157,4714.956,15.327,6816.440
9,2025.802,4613.586,18.568,6657.956
10,2044.552,4454.930,15.040,6514.522
11,1943.735,4587.390,15.033,6546.158
12,1986.070,4433.453,18.771,6438.294
13,1957.436,4378.169,17.483,6353.088
14,1991.393,4768.247,18.041,6777.680
15,1954.426,4836.505,17.461,6808.392
16,1991.538,4918.322,15.214,6925.074
17,1972.766,4824.520,18.879,6816.164
18,1922.367,4720.362,18.960,6661.689
19,1959.860,4812.764,17.048,6789.672
20,2136.725,4751.721,15.438,6903.884
21,1976.673,4770.987,14.676,6762.337
22,2106.892,4680.488,14.782,6802.163
23,1913.714,4815.550,15.039,6744.303
24,2016.664,4933.784,14.912,6965.360
25,1978.382,4841.623,15.212,6835.216
26,1982.272,4757.379,17.258,6756.908
27,2042.044,4882.323,14.924,6939.291
28,2035.424,4623.622,15.206,6674.251
29,1989.818,4625.128,17.391,6632.338
30,2007.052,4752.487,15.393,6774.932
31,1956.586,4847.419,17.312,6821.317
32,1930.913,4717.880,18.614,6667.407
33,1940.495,4702.629,15.344,6658.468
34,1963.265,4840.097,18.721,6822.082
35,1923.648,4609.158,18.495,6551.301
36,1929.371,4855.101,15.205,6799.677
37,2035.250,4887.576,15.272,6938.098
38,1967.205,4790.398,17.554,6775.157
39,1985.870,5004.014,14.919,7004.802
40,1965.477,4840.282,17.471,6823.231
41,1987.332,4861.879,17.508,6866.719
42,1993.276,4910.983,15.119,6919.378
43,1953.312,4749.794,18.584,6721.690
44,2003.934,4624.528,15.292,6643.755
45,2039.760,4750.831,17.331,6807.922
46,2010.423,4774.886,17.689,6802.999
47,2042.966,4597.798,15.194,6655.958
48,1976.803,4995.329,17.993,6990.125
49,2042.498,4585.332,17.419,6645.249
50,2002.352,4880.049,19.083,6901.483
51,1917.566,4788.020,14.973,6720.559
52,2038.690,4798.644,17.413,6854.746
53,1995.365,4969.384,18.986,6983.735
54,1932.011,5029.352,18.460,6979.823
55,1975.518,4717.514,17.587,6710.619
56,1997.769,4777.210,17.433,6792.411
57,2012.845,4709.639,18.590,6741.075
58,1919.480,4823.803,18.159,6761.441
59,2066.543,4760.059,18.849,6845.451
60,1917.837,4758.591,17.098,6693.527
61,2035.638,4723.484,18.932,6778.054
62,1929.758,4672.171,18.380,6620.308
63,1999.453,4841.088,18.330,6858.871
64,1952.647,4875.327,18.683,6846.657
65,2006.049,4604.364,17.684,6628.098
66,2006.052,4729.977,15.080,6751.109
67,1998.455,4810.545,18.611,6827.611
68,2011.913,4960.381,18.333,6990.626
69,1935.315,4819.400,15.031,6769.746
70,2097.781,4770.250,15.055,6883.086
71,2087.724,4579.320,17.381,6684.424
72,2022.061,4888.260,18.611,6928.932
73,1983.076,4862.967,18.528,6864.571
74,2008.703,4844.882,17.279,6870.864
75,2078.727,4770.776,17.925,6867.427
76,1955.202,4880.674,17.838,6853.714
77,2008.405,4791.657,18.131,6818.192
78,1996.566,4879.186,15.027,6890.779
79,2025.183,4699.184,14.555,6738.922
80,2034.570,4786.784,14.961,6836.315
81,2086.794,4628.610,14.845,6730.249
82,2065.388,4660.480,14.378,6740.247
83,1993.939,4771.819,14.189,6779.947
84,2070.898,4533.679,14.845,6619.422
85,1988.085,4356.216,14.553,6358.854
86,2092.736,4438.990,14.896,6546.623
87,1975.079,4573.147,15.206,6563.432
88,2085.137,4453.959,15.068,6554.163
89,2054.553,4619.972,15.237,6689.762
90,1937.395,4790.789,14.834,6743.018
91,2062.875,4629.702,14.478,6707.055
92,2025.137,4694.103,14.398,6733.638
93,1945.232,4773.005,15.247,6733.484
94,2076.851,4757.161,14.896,6848.908
95,2045.245,4939.744,14.627,6999.617
96,2080.511,4827.792,14.863,6923.167
97,2043.397,4891.300,14.420,6949.116
98,1978.194,4897.135,14.994,6890.323
99,1958.785,4966.289,14.920,6939.994
100,1995.314,4847.521,15.222,6858.056
101,1934.054,4977.952,15.003,6927.010
102,1931.486,4857.620,14.900,6804.007
103,2015.167,4725.375,14.904,6755.447
104,2032.821,4657.286,14.791,6704.898
105,2012.519,4783.667,14.219,6810.405
106,2034.279,4740.553,14.273,6789.105
107,2027.030,4658.864,14.895,6700.788
108,2008.023,4862.309,14.975,6885.307
109,1995.588,4711.996,14.344,6721.928
110,1929.676,4716.111,14.207,6659.994
111,2035.106,4687.453,14.741,6737.299
112,2078.863,4665.971,14.859,6759.694
113,2069.182,4432.360,14.656,6516.197
114,1991.409,4500.095,14.363,6505.867
115,1926.511,4782.958,15.160,6724.629
116,1929.694,4890.336,15.055,6835.085
117,2088.438,4754.999,14.741,6858.178
118,2128.507,4697.784,14.956,6841.247
119,2111.314,4680.573,14.259,6806.147
120,2003.760,4573.961,14.682,6592.403
121,1942.381,4902.638,14.952,6859.971
122,2036.254,4760.022,14.314,6810.591
123,2095.027,4786.100,15.145,6896.273
124,1984.847,4832.507,14.302,6831.656
125,2119.755,4862.167,14.469,6996.390
126,2045.160,4854.329,14.782,6914.272
127,1906.765,4844.836,15.006,6766.607
128,1985.801,4816.570,15.016,6817.387
129,1976.451,4766.454,15.155,6758.060
130,1993.857,4590.197,14.357,6598.411
131,2101.263,4468.776,14.622,6584.661
132,2184.380,4437.653,14.502,6636.535
133,2143.131,4503.841,19.328,6666.299
134,2115.184,4489.685,15.523,6620.392
135,2022.461,4753.575,15.008,6791.044
136,2056.638,4811.366,14.980,6882.983
137,2007.033,4982.203,15.370,7004.606
