step_seq,bucket_seq,n_chunks,recv_count,decision,nbytes,to_bytes_ms,stage_ms,threads_ms,send_ms,recv_ms,finalize_ms,average_ms,from_numpy_ms,total_ms,hook_total_ms
0,0,2729,2729,1,44695848,25.309,3.175,87.249,86.913,80.288,0.073,69.546,8.413,160.045,203.812
1,0,2729,2729,1,44695848,23.914,3.117,65.142,8.198,56.771,0.044,69.643,7.011,137.948,178.755
2,0,2729,2729,1,44695848,2.664,2.800,85.732,85.383,77.413,0.045,69.777,8.234,158.355,179.016
3,0,2729,2729,1,44695848,24.234,3.127,64.518,7.932,56.241,0.044,68.754,6.978,136.445,177.674
4,0,2729,2729,1,44695848,2.985,3.035,64.207,8.029,56.040,0.051,46.901,3.455,114.196,125.988
5,0,2729,2729,1,44695848,2.666,2.824,63.799,7.962,55.720,0.039,45.042,3.403,111.706,122.619
6,0,2729,2729,1,44695848,24.078,3.078,65.181,8.159,56.846,0.056,70.169,6.737,138.486,178.646
7,0,2729,2729,1,44695848,2.634,2.819,64.580,64.259,56.641,0.053,69.942,6.649,137.397,156.309
8,0,2729,2729,1,44695848,2.981,3.070,64.270,8.304,55.825,0.041,69.817,6.773,137.201,156.770
9,0,2729,2729,1,44695848,24.164,3.090,64.796,8.019,56.662,0.052,71.799,7.274,139.739,180.775
10,0,2729,2729,1,44695848,2.980,3.045,64.449,7.945,56.149,0.051,71.335,7.938,138.882,160.142
11,0,2729,2729,1,44695848,2.961,3.081,64.224,8.155,55.735,0.041,49.886,2.855,117.234,128.400
12,0,2729,2729,1,44695848,3.008,3.084,64.868,8.070,56.451,0.051,69.620,6.676,137.626,157.035
13,0,2729,2729,1,44695848,2.967,3.044,63.926,8.170,55.405,0.053,70.419,7.073,137.443,157.046
14,0,2729,2729,1,44695848,2.638,2.837,64.184,8.145,55.687,0.042,71.689,7.961,138.753,159.329
15,0,2729,2729,1,44695848,23.512,2.758,65.577,8.142,57.231,0.046,71.468,6.611,139.851,178.825
16,0,2729,2729,1,44695848,2.634,2.781,64.798,8.020,56.600,0.055,22.586,3.843,90.222,101.807
17,0,2729,2729,1,44695848,2.978,3.026,64.678,8.066,56.431,0.044,69.263,7.088,137.012,156.926
18,0,2729,2729,1,44695848,2.627,2.807,64.454,7.779,56.306,0.044,49.325,2.802,116.632,127.239
19,0,2729,2729,1,44695848,24.413,3.118,65.573,8.379,57.027,0.059,70.330,6.643,139.084,179.535
20,0,2729,2729,1,44695848,2.973,3.034,64.791,7.963,56.507,0.048,71.298,7.867,139.173,160.832
