step,grad_l2
0,2.914951
1,4.094928
2,5.568308
3,5.985218
4,6.528374
5,8.233053
6,6.795590
7,8.757436
8,5.438545
9,5.109772
10,3.156928
11,2.989913
12,2.996573
13,3.361425
14,2.208866
15,1.954441
16,2.420098
17,1.430014
18,2.743115
19,1.849349
20,1.930176
21,1.614337
22,0.926034
23,0.857029
24,0.835770
25,1.239687
26,1.002217
27,1.780529
28,1.592006
29,1.264550
30,1.521088
31,1.644502
32,1.300800
33,0.931463
34,1.018592
35,0.897994
36,1.086459
37,0.767328
38,1.191251
39,0.649295
40,0.698686
41,0.601377
42,0.647798
43,0.773125
44,0.651832
45,1.093989
46,0.889786
47,0.724654
48,0.695511
49,0.596374
50,0.724612
51,0.773785
52,0.594970
53,0.779696
54,0.765815
55,0.838501
56,1.353609
57,1.173102
58,0.684616
59,0.591388
60,0.821517
61,0.860476
62,0.708904
63,0.962784
64,0.673193
65,0.837771
66,0.784131
67,0.724880
68,0.756673
69,0.788389
70,0.708430
71,0.538250
72,0.842010
73,0.674690
74,0.733814
75,0.611736
76,0.748359
77,0.671338
78,0.730035
79,0.903216
80,0.861455
81,0.700359
82,0.687554
83,0.788942
84,1.296008
85,0.819740
86,0.774490
87,0.642019
88,0.779200
89,0.522757
90,0.815671
91,0.980921
92,0.761537
93,0.687985
94,0.738475
95,0.743729
96,0.883711
97,0.817751
98,0.628949
99,0.748739
100,0.582741
101,0.748582
102,0.930001
103,0.550302
104,0.707080
105,1.014549
106,0.847386
107,0.609403
108,0.851199
109,0.821417
110,0.904030
111,0.822267
112,0.691053
113,0.766862
114,0.679178
115,0.762051
116,0.711733
117,0.912325
118,0.924885
119,0.759636
120,0.775061
121,0.778294
122,1.009814
123,0.882347
124,0.745622
125,0.642076
126,0.970390
127,0.683897
128,0.640757
129,0.848501
130,0.663175
131,0.763913
132,0.830550
133,0.861626
134,0.822135
135,0.945677
136,0.877403
137,0.930252
138,0.821980
139,0.996427
140,1.127032
141,0.851051
142,0.741407
143,0.840534
144,1.175685
145,0.760278
146,0.779855
147,0.845479
148,0.928976
149,0.868199
150,0.689113
151,0.652623
152,0.785325
153,0.771630
154,0.848064
155,0.920678
156,0.778372
157,0.717293
158,0.819819
159,0.748247
160,0.888537
161,0.959479
162,0.784893
163,0.796058
164,0.845971
165,0.898435
166,0.898481
167,0.590657
168,0.747927
169,1.079062
170,0.632296
171,0.891299
172,0.695881
173,0.926711
174,0.892419
175,1.059933
176,0.717677
177,0.790570
178,1.031942
179,0.992789
180,0.819221
181,0.957784
182,1.028434
183,0.770549
184,0.633444
185,0.854713
186,0.897607
187,0.958814
188,0.958635
189,1.076010
190,0.956507
191,0.990110
192,0.832117
193,0.800624
194,0.797175
195,0.787581
196,0.858937
197,0.752124
198,0.874003
199,0.909265
