step,fwd_ms,bwd_ms,opt_ms,total_ms
0,2388.397,4711.113,59.257,7158.767
1,2253.874,4501.467,15.146,6770.487
2,2144.445,4637.443,15.395,6797.283
3,2124.652,4491.414,15.267,6631.333
4,2112.386,4467.772,15.317,6595.475
5,2129.838,4450.845,14.548,6595.232
6,2270.488,4607.353,15.230,6893.070
7,2182.101,4547.642,14.838,6744.581
8,2151.275,4533.252,14.904,6699.431
9,2175.398,4269.206,15.440,6460.044
10,2251.056,4503.938,14.781,6769.775
11,2191.386,4504.084,14.683,6710.154
12,2194.205,4480.256,14.647,6689.108
13,2082.511,4469.066,14.983,6566.560
14,2053.809,4414.924,14.944,6483.678
15,2079.158,4466.604,14.548,6560.310
16,2092.640,4367.232,14.610,6474.483
17,2101.714,4581.038,14.929,6697.680
18,2228.296,4495.463,15.099,6738.858
19,2245.697,4479.613,14.827,6740.137
20,2265.294,4697.047,15.123,6977.464
21,2205.857,4406.983,14.658,6627.498
22,2110.824,4421.038,14.944,6546.806
23,2061.883,4544.501,14.911,6621.295
24,2089.176,4500.089,14.504,6603.769
25,2121.236,4398.424,14.782,6534.441
26,2143.787,4594.699,14.798,6753.283
27,2137.583,4536.599,14.898,6689.081
28,1994.402,4244.026,15.780,6254.208
29,2021.106,4344.864,14.665,6380.634
30,1949.814,4366.414,14.759,6330.987
31,2016.864,4196.544,15.166,6228.573
32,2120.428,4505.023,14.912,6640.363
33,2063.828,4458.532,20.884,6543.244
34,2052.540,4362.800,15.487,6430.827
35,2107.245,4344.177,15.127,6466.549
36,2105.598,4377.186,14.600,6497.383
37,2190.584,4529.204,15.045,6734.833
38,2088.209,4584.779,15.173,6688.161
39,2048.877,4296.617,15.337,6360.831
40,2105.630,4294.843,14.493,6414.966
41,2151.862,4512.263,15.119,6679.244
42,2096.068,4472.874,15.201,6584.143
43,2144.493,4453.265,14.936,6612.694
44,2080.782,4424.080,15.271,6520.134
45,2021.842,4437.387,15.314,6474.543
46,2093.290,4443.415,14.874,6551.580
47,2109.877,4561.007,15.301,6686.186
48,2118.908,4421.173,15.107,6555.188
49,2114.534,4565.777,15.220,6695.531
50,2095.990,4410.147,14.938,6521.075
51,2103.374,4558.566,15.188,6677.127
52,2107.035,4306.311,15.317,6428.662
53,2035.960,4507.412,15.124,6558.495
54,2078.233,4397.245,15.289,6490.767
55,2080.447,4559.179,14.670,6654.296
56,2101.218,4328.734,14.927,6444.879
57,2100.549,4521.340,15.064,6636.953
58,2153.242,4371.859,14.759,6539.860
59,2069.966,4503.679,15.269,6588.913
60,2155.565,4396.352,14.823,6566.740
61,2083.022,4567.711,15.165,6665.898
62,2139.285,4420.630,15.294,6575.209
63,2078.410,4542.123,15.198,6635.732
64,2193.014,4529.292,14.981,6737.287
65,2241.047,4659.526,15.025,6915.598
