step,fwd_ms,bwd_ms,opt_ms,total_ms
0,2383.522,4596.379,43.095,7022.995
1,2194.430,4413.377,15.233,6623.041
2,2202.163,4404.728,15.444,6622.335
3,2045.003,4548.364,15.641,6609.009
4,2019.048,4663.087,15.235,6697.370
5,1934.202,4731.978,15.218,6681.398
6,1998.111,4441.655,15.394,6455.161
7,1944.526,4652.328,15.178,6612.031
8,2050.073,4641.150,15.291,6706.514
9,2044.247,4407.166,15.165,6466.579
10,2130.520,4389.113,15.294,6534.928
11,2028.044,4519.004,21.193,6568.242
12,1993.316,4493.196,15.297,6501.808
13,2036.569,4273.189,14.994,6324.753
14,2018.144,4420.627,15.365,6454.136
15,2101.185,4332.817,15.157,6449.158
16,2182.944,4319.050,15.327,6517.321
17,2213.276,4457.555,15.416,6686.247
18,2091.890,4341.530,15.083,6448.504
19,2087.207,4658.832,15.117,6761.156
20,2129.713,4481.644,15.203,6626.560
21,2085.719,4608.593,15.160,6709.472
22,2278.101,4387.462,15.237,6680.799
23,2263.127,4455.235,15.194,6733.557
24,2215.602,4480.850,15.191,6711.643
25,2139.875,4367.005,15.287,6522.166
26,2167.489,4516.124,15.277,6698.890
27,2050.456,4626.190,15.089,6691.734
28,2117.909,4521.924,15.512,6655.346
29,2063.904,4430.265,15.560,6509.729
30,2083.468,4364.212,15.711,6463.391
31,2179.506,4504.004,15.552,6699.062
32,2124.318,4179.323,15.124,6318.765
33,1993.774,4170.894,15.664,6180.332
34,2076.195,4155.595,15.286,6247.076
35,1942.046,4455.651,15.637,6413.335
36,1993.299,4360.682,15.750,6369.730
37,2056.336,4457.812,15.135,6529.282
38,1992.820,4331.392,15.998,6340.210
39,1955.863,4396.694,15.194,6367.751
40,2080.274,4229.170,15.719,6325.163
41,2158.523,4306.830,15.140,6480.493
42,2171.236,4252.660,15.758,6439.654
43,2189.319,4218.284,15.498,6423.101
44,2142.110,4259.746,15.744,6417.600
45,2079.983,4095.507,15.314,6190.804
46,2274.147,4397.952,15.776,6687.874
47,2186.878,4247.448,15.058,6449.384
48,2149.713,4234.343,15.768,6399.824
49,2104.487,4103.764,15.237,6223.489
50,2061.597,4152.530,15.645,6229.772
51,2008.930,4291.982,15.177,6316.089
52,2068.864,4243.219,15.716,6327.799
53,2072.192,4220.050,15.178,6307.420
54,2140.171,4273.409,15.796,6429.376
55,2015.500,4179.952,15.242,6210.693
56,2034.441,4195.934,15.781,6246.157
57,2103.891,4209.342,15.309,6328.542
58,2005.484,4254.730,15.777,6275.992
59,1938.617,4209.849,15.176,6163.642
60,1985.819,4079.392,15.662,6080.874
61,1980.895,4266.326,15.228,6262.448
62,2190.748,4210.201,15.839,6416.789
63,2077.304,4342.640,15.106,6435.049
64,2118.339,4262.859,16.040,6397.238
65,2062.834,4019.976,15.757,6098.567
66,1990.768,4171.559,15.727,6178.054
67,2131.521,4243.430,15.097,6390.047
68,2133.743,4324.840,15.576,6474.159
69,2168.263,4174.665,15.183,6358.110
70,1971.140,4307.839,15.320,6294.300
71,2040.282,4254.732,15.846,6310.860
72,2088.166,4224.507,15.754,6328.427
73,2175.809,4235.332,15.675,6426.816
74,2034.983,4465.224,15.452,6515.659
75,2036.283,4617.332,15.203,6668.818
76,2042.448,4553.883,15.376,6611.707
77,1997.849,4519.699,15.644,6533.193
78,1939.673,4429.462,15.614,6384.748
79,2108.774,4446.544,15.833,6571.150
80,1984.909,4459.485,15.682,6460.076
81,2027.522,4026.645,15.350,6069.517
82,2092.373,4256.359,15.705,6364.436
83,2200.338,4284.824,15.254,6500.416
84,2127.899,4301.705,15.205,6444.809
85,2104.078,4418.385,15.085,6537.548
86,2167.784,4498.027,15.529,6681.341
87,2172.641,4451.006,15.607,6639.254
88,2055.744,4555.144,15.503,6626.391
89,2129.029,4744.190,15.102,6888.320
90,2048.327,4519.087,15.113,6582.527
91,2033.192,4461.365,15.764,6510.321
92,2050.351,4571.904,15.669,6637.924
93,2013.432,4686.930,15.163,6715.524
94,1979.492,4612.811,15.110,6607.414
95,1949.339,4634.393,15.739,6599.471
96,2036.006,4262.104,15.095,6313.205
97,2007.965,4410.337,15.592,6433.893
98,2006.749,4447.803,15.483,6470.034
99,1996.868,4231.470,15.142,6243.480
100,2065.288,4153.322,15.793,6234.403
101,2006.430,4205.345,15.330,6227.106
102,2013.876,4308.468,15.467,6337.811
103,1937.756,4403.768,15.285,6356.809
104,1983.921,4364.021,15.456,6363.398
105,1984.501,4674.066,15.112,6673.679
106,1946.419,4488.789,15.401,6450.609
107,1933.433,4662.677,15.323,6611.433
108,2031.311,4525.641,15.597,6572.549
109,1986.991,4272.473,15.516,6274.980
110,1928.943,4446.798,16.018,6391.759
111,1921.274,4709.064,15.148,6645.486
112,1921.828,4554.816,15.902,6492.546
113,1919.086,4390.363,15.093,6324.542
114,1954.266,4229.711,15.420,6199.397
115,2060.186,4121.213,15.460,6196.860
116,1922.788,4177.965,15.274,6116.027
117,2011.523,4394.065,15.247,6420.835
118,1926.266,4541.296,15.274,6482.835
119,2086.403,4489.659,15.336,6591.399
120,1972.325,4594.036,15.303,6581.665
121,1991.378,4510.281,15.459,6517.117
122,1973.461,4330.700,15.474,6319.635
123,1991.148,4572.362,15.515,6579.025
124,1927.657,4501.317,15.377,6444.351
125,1934.502,4543.083,15.418,6493.003
126,1995.322,4579.692,15.518,6590.531
127,1920.112,4614.566,15.338,6550.016
128,2027.126,4633.036,15.557,6675.720
129,1927.226,4808.049,15.389,6750.665
130,1977.264,4690.908,15.549,6683.722
131,1955.154,4630.933,15.377,6601.464
132,2119.883,4378.335,15.176,6513.394
133,1974.882,4348.539,15.433,6338.853
134,2009.763,4395.864,15.571,6421.198
135,1987.900,4333.107,15.345,6336.352
136,1922.405,4432.830,15.566,6370.801
137,2004.024,4321.568,15.202,6340.794
138,1986.693,4468.410,15.273,6470.376
139,2017.672,4791.897,15.319,6824.888
140,1954.393,4693.153,15.424,6662.970
141,2015.302,4593.481,15.252,6624.035
142,2002.550,4537.523,15.267,6555.341
143,1936.757,4768.646,15.633,6721.036
144,2048.465,4473.546,15.303,6537.314
145,2034.676,4548.810,15.670,6599.156
146,2046.440,4441.408,15.699,6503.546
147,1994.891,4601.067,15.328,6611.286
148,2046.050,4590.068,15.739,6651.857
149,2028.172,4553.277,15.812,6597.261
150,1995.719,4573.840,15.579,6585.139
151,2079.885,4458.075,15.828,6553.789
152,1970.876,4624.600,15.490,6610.966
153,1971.066,4671.189,15.571,6657.826
154,2006.025,4542.096,15.796,6563.917
155,1989.695,4414.896,15.333,6419.923
156,2061.220,4454.526,15.835,6531.581
157,2052.616,4594.521,15.422,6662.559
158,1989.728,4662.111,15.286,6667.125
159,1989.468,4656.232,15.874,6661.573
160,2086.196,4716.057,15.241,6817.494
161,1988.254,4546.891,15.565,6550.710
162,1945.855,4645.155,15.321,6606.331
163,2081.061,4456.575,15.411,6553.046
164,2008.679,4623.049,15.392,6647.119
165,2049.383,4613.294,15.286,6677.963
166,2018.934,4779.273,15.351,6813.558
167,2006.486,4604.709,15.680,6626.875
168,1986.849,4509.332,15.803,6511.983
169,2066.178,4588.945,15.228,6670.352
170,2024.405,4651.930,15.207,6691.543
171,2049.489,4675.884,15.817,6741.190
172,2017.851,4667.401,15.512,6700.764
173,2017.846,4548.504,15.339,6581.689
174,2045.989,4484.874,15.800,6546.663
175,2069.670,4506.694,15.790,6592.154
176,1978.593,4507.498,15.752,6501.844
177,2015.215,4815.070,15.289,6845.574
178,2008.462,4679.934,15.991,6704.387
179,1999.885,4701.371,15.660,6716.915
180,1980.004,4570.161,16.168,6566.333
181,1994.543,4816.447,15.907,6826.896
182,2042.735,4486.285,15.294,6544.314
183,1993.922,4860.917,15.293,6870.132
184,1910.943,4674.008,15.201,6600.152
185,2064.172,4716.950,16.106,6797.228
186,2014.159,4578.674,15.892,6608.726
187,1915.244,4649.503,15.722,6580.469
188,2052.554,4428.599,15.413,6496.566
189,1985.980,4684.272,15.724,6685.976
190,1984.230,4803.790,15.444,6803.464
191,1990.506,4805.397,15.409,6811.312
192,2001.658,4500.749,15.414,6517.821
193,1982.898,4873.210,15.228,6871.336
194,1981.995,4582.740,15.217,6579.951
195,2414.966,4446.724,73.649,6935.339
196,1975.559,4539.925,15.242,6530.726
197,1916.377,4702.042,16.765,6635.185
198,1923.346,4638.274,15.261,6576.881
199,1909.147,4520.513,15.207,6444.866
