step,grad_l2
0,3.447057
1,5.415835
2,4.725317
3,6.224096
4,5.925604
5,6.522735
6,6.788822
7,3.313405
8,2.251210
9,2.489061
10,4.409225
11,2.912174
12,5.791973
13,2.535314
14,2.242852
15,3.461536
16,2.146720
17,2.457403
18,1.296152
19,1.029503
20,1.478554
21,3.662939
22,2.036268
23,0.732227
24,3.582606
25,0.524127
26,2.003146
27,0.936815
28,1.977225
29,0.632425
30,0.490492
31,1.093845
32,0.952201
33,1.427379
34,1.005581
35,0.994805
36,0.895003
37,1.081807
38,0.839655
39,0.711558
40,0.908824
41,0.545358
42,0.610191
43,0.406074
44,0.439926
45,0.713487
46,0.520784
47,0.717007
48,0.650846
49,0.495326
50,0.592922
51,0.706377
52,1.065876
53,0.644909
54,0.736575
55,0.676950
56,0.724069
57,0.516206
58,0.558949
59,0.683727
60,0.600962
61,0.630403
62,0.379198
63,0.352482
64,0.590851
65,0.650613
66,0.439689
67,0.646516
68,0.483306
69,0.459932
70,0.548558
71,0.448210
72,0.469135
73,0.391124
74,0.641624
75,0.667940
76,0.632479
77,0.475900
78,0.590646
79,0.523365
80,0.536424
81,0.413503
82,0.523854
83,0.359115
84,1.146497
85,0.543578
86,0.451723
87,0.553915
88,0.511938
89,0.511601
90,0.652009
91,0.489702
92,0.638693
93,0.717960
94,0.520174
95,0.868706
96,0.505220
97,0.636658
98,0.489784
99,0.500839
100,0.560434
101,0.495255
102,0.570499
103,0.639375
104,0.425668
105,0.534920
106,0.396074
107,0.394437
108,0.507683
109,0.628756
110,0.453619
111,0.460805
112,0.496433
113,0.559828
114,0.717942
115,0.530680
116,0.546502
117,0.565358
118,0.654128
119,0.711357
120,0.550247
121,0.547005
122,0.486474
123,0.551102
124,0.595579
125,0.567894
126,0.634487
127,0.579717
128,0.507202
129,0.613118
130,0.548573
131,0.541581
132,0.492533
133,0.752436
134,0.508259
135,0.549834
136,0.593644
137,0.537082
138,0.469155
139,0.544551
140,0.638075
141,0.677423
142,0.661373
143,0.542247
144,0.683822
145,0.603912
146,0.717562
147,0.816673
148,0.727844
149,0.641123
150,0.552076
151,0.622826
152,0.656478
153,0.790175
154,0.557642
155,0.587625
156,0.651194
157,0.701828
158,0.559767
159,0.527835
160,0.600183
161,0.595534
162,0.649091
163,0.683939
164,0.642599
165,0.736707
166,0.701530
167,0.668400
168,0.846522
169,0.779282
170,0.880678
171,0.888741
172,0.726217
173,0.643516
174,0.573317
175,0.660747
176,0.634210
177,0.691745
178,0.694270
179,0.575098
180,0.603972
181,0.570196
182,0.565683
183,0.718392
184,0.658305
185,0.662754
186,0.583155
187,0.870885
188,0.658013
189,0.703326
190,0.579372
191,0.883809
192,0.737018
193,0.574307
194,0.624941
195,0.714430
196,0.784492
197,0.549113
198,0.806526
199,0.627691
