step_seq,bucket_seq,n_chunks,recv_count,decision,nbytes,to_bytes_ms,stage_ms,threads_ms,send_ms,recv_ms,finalize_ms,average_ms,from_numpy_ms,total_ms,hook_total_ms
0,0,2729,2729,1,44695848,25.295,3.197,103.656,102.951,96.824,0.073,68.927,8.225,175.855,219.379
1,0,2729,2729,1,44695848,23.416,2.813,63.370,8.047,55.179,0.040,69.834,6.937,136.058,176.275
2,0,2729,2729,1,44695848,23.975,3.136,64.462,8.050,56.358,0.043,70.538,6.958,138.181,178.838
3,0,2729,2729,1,44695848,24.017,3.134,64.509,7.825,56.337,0.052,69.015,6.943,136.713,177.001
4,0,2729,2729,1,44695848,23.739,3.110,64.616,7.942,56.319,0.051,70.791,6.933,138.572,178.697
5,0,2729,2729,1,44695848,24.042,3.108,64.824,7.802,56.673,0.045,68.404,6.955,136.383,177.486
6,0,2729,2729,1,44695848,24.198,3.095,65.010,8.181,56.657,0.044,69.696,6.950,137.848,178.332
7,0,2729,2729,1,44695848,23.943,3.116,64.494,8.101,56.248,0.053,68.780,6.981,136.446,177.035
8,0,2729,2729,1,44695848,23.307,2.768,63.544,63.270,56.102,0.044,70.863,6.893,137.221,176.881
9,0,2729,2729,1,44695848,23.448,2.780,65.200,7.878,56.949,0.054,65.951,6.653,133.988,172.951
10,0,2729,2729,1,44695848,23.956,3.101,64.524,64.174,59.063,0.052,71.101,6.978,138.781,179.343
11,0,2729,2729,1,44695848,23.613,2.792,64.662,7.730,56.587,0.041,68.745,6.989,136.241,176.608
12,0,2729,2729,1,44695848,23.873,2.783,63.590,63.323,55.240,0.041,69.011,6.735,135.427,175.041
13,0,2729,2729,1,44695848,24.191,3.088,65.702,8.015,57.299,0.043,66.956,6.646,135.792,175.776
14,0,2729,2729,1,44695848,24.272,3.141,65.172,8.201,56.841,0.054,70.720,6.916,139.090,179.932
15,0,2729,2729,1,44695848,24.338,3.128,65.861,8.259,57.453,0.054,66.066,6.658,135.113,175.118
16,0,2729,2729,1,44695848,24.134,3.075,68.629,12.059,56.347,0.044,68.732,6.693,140.483,180.306
17,0,2729,2729,1,44695848,23.596,2.770,64.746,8.163,56.419,0.055,68.241,6.958,135.815,175.731
18,0,2729,2729,1,44695848,2.632,2.708,64.045,7.774,56.085,0.052,70.063,6.668,136.870,156.029
19,0,2729,2729,1,44695848,23.884,2.753,64.585,8.154,56.289,0.048,66.836,6.708,134.225,173.872
20,0,2729,2729,1,44695848,23.656,2.789,64.343,7.518,56.473,0.051,69.113,6.947,136.298,176.569
21,0,2729,2729,1,44695848,23.551,2.752,64.482,7.635,56.434,0.043,70.515,6.941,137.794,177.892
22,0,2729,2729,1,44695848,24.163,3.102,65.056,8.029,56.860,0.045,68.894,6.965,137.099,178.117
23,0,2729,2729,1,44695848,23.426,2.771,64.717,7.915,56.625,0.053,69.889,6.760,137.433,176.537
24,0,2729,2729,1,44695848,24.255,3.099,64.869,7.899,56.638,0.044,67.357,6.677,135.370,175.404
25,0,2729,2729,1,44695848,2.666,2.792,64.726,7.961,56.629,0.055,70.344,6.940,137.920,158.315
26,0,2729,2729,1,44695848,23.976,2.809,63.868,7.675,56.045,0.042,67.295,6.667,134.018,173.644
27,0,2729,2729,1,44695848,24.282,2.800,104.446,104.118,96.276,0.043,69.015,8.341,176.306,218.339
28,0,2729,2729,1,44695848,23.536,2.764,63.597,7.830,55.614,0.057,69.930,6.728,136.352,175.605
