step,grad_l2
0,3.535744
1,7.843482
2,5.791518
3,5.433100
4,9.452263
5,7.329614
6,5.557079
7,5.341059
8,6.077777
9,6.773262
10,5.273914
11,5.124825
12,16.199834
13,5.811945
14,7.256157
15,3.853871
16,3.447366
17,2.229008
18,3.024471
19,1.627147
20,3.025538
21,1.460843
22,1.900005
23,1.271615
24,1.371935
25,1.750634
26,1.596824
27,1.423787
28,1.666333
29,0.586528
30,0.855794
31,1.435517
32,1.483969
33,0.962464
34,0.582972
35,0.774919
36,0.670748
37,0.718979
38,0.701394
39,0.567564
40,0.506323
41,0.699056
42,0.696752
43,1.011112
44,0.489479
45,0.977655
46,0.636653
47,1.135968
48,0.554713
49,0.643396
50,0.555273
51,0.606281
52,0.687123
53,0.567215
54,0.779998
55,0.624595
56,0.425656
57,0.942380
58,0.435028
59,0.569367
60,0.687086
61,0.680652
62,0.798955
63,0.697778
64,0.676387
65,0.735285
66,0.517641
67,0.945826
68,1.101523
69,0.783414
70,0.740251
71,0.768250
72,0.929137
73,0.822248
74,0.843961
75,0.786222
76,0.581038
77,1.146032
78,0.755942
79,1.033337
80,0.907836
81,0.841633
82,0.792851
83,1.019001
84,0.713480
85,0.837295
86,0.967890
87,0.870650
88,0.789944
89,0.794165
90,0.892460
91,1.025068
92,0.953762
93,0.944492
94,0.863094
95,0.901746
96,0.746668
97,0.838020
98,0.632479
99,1.003899
100,0.867727
101,0.985510
102,1.294999
103,0.837860
104,1.006917
105,0.859841
106,1.085524
107,1.164449
108,0.923109
109,0.827031
110,0.774262
111,0.908171
112,0.870216
113,0.783048
114,0.813774
115,0.766964
116,0.876024
117,0.975611
118,0.910473
119,0.930808
120,0.930992
121,0.933127
122,1.329764
123,0.997216
124,1.021116
125,1.249370
126,1.115074
127,1.284627
128,0.959873
129,0.989655
130,0.962266
131,0.918669
132,0.833117
133,1.013727
134,0.836415
135,1.098553
136,0.996467
137,0.928690
138,0.950683
139,1.032589
140,1.085678
141,1.017644
142,1.330319
143,1.084505
144,1.228415
145,1.054821
146,0.936144
147,0.831383
148,0.950263
149,1.073005
150,1.044359
151,0.808194
152,0.940127
153,0.936774
154,0.978256
155,1.155450
156,0.944821
157,0.974977
158,1.038065
159,0.931603
160,1.073297
161,1.047972
162,1.055305
163,0.830835
164,0.984660
165,1.460646
166,1.074064
167,0.849526
168,1.046186
169,1.038465
170,0.707628
171,0.950423
172,0.924778
173,1.000043
174,1.148210
175,1.104732
176,0.818716
177,0.802119
178,0.957319
179,0.896031
180,0.901164
181,1.281946
182,1.173024
183,1.022542
184,0.898169
185,0.876527
186,0.888712
187,0.921876
188,0.957992
189,1.165706
190,0.965193
191,1.074840
192,1.333850
193,1.052398
194,1.080395
195,1.116897
196,1.071638
197,1.473053
198,1.097115
199,1.340565
