step,fwd_ms,bwd_ms,opt_ms,total_ms
0,2386.064,4671.509,59.553,7117.126
1,2273.250,4657.519,15.166,6945.935
2,2205.654,4599.693,15.332,6820.678
3,2225.366,4570.713,15.114,6811.194
4,2180.362,4487.753,14.966,6683.081
5,2179.891,4666.164,15.387,6861.441
6,2226.543,4585.288,14.886,6826.717
7,2225.405,4601.571,15.019,6841.995
8,2124.970,4518.059,14.986,6658.015
9,2157.580,4513.874,14.829,6686.284
10,2252.206,4542.547,15.291,6810.044
11,2211.533,4588.400,15.162,6815.095
12,2209.122,4390.487,14.966,6614.576
13,2237.977,4495.676,14.956,6748.609
14,2237.012,4512.842,14.876,6764.730
15,2234.437,4577.106,14.901,6826.444
16,2241.036,4648.550,14.917,6904.502
17,2157.155,4561.889,15.223,6734.266
18,2163.291,4438.321,14.642,6616.254
19,2192.732,4546.255,14.640,6753.627
20,2179.829,4566.250,15.143,6761.222
21,2189.051,4555.366,15.054,6759.471
22,2251.674,4545.619,15.314,6812.607
23,2160.019,4581.288,14.940,6756.247
24,2260.525,4620.009,14.618,6895.152
25,2164.241,4579.805,15.332,6759.378
26,2167.607,4450.480,14.650,6632.737
27,2157.245,4483.831,15.465,6656.542
28,2125.739,4514.008,14.896,6654.644
29,2173.639,4491.240,14.617,6679.495
30,2149.594,4445.641,14.994,6610.229
31,2154.734,4433.214,15.379,6603.327
32,2139.251,4429.600,14.855,6583.705
33,2045.064,4275.015,14.696,6334.775
34,2071.631,4274.218,15.038,6360.886
35,2136.511,4337.738,15.016,6489.266
36,2071.840,4425.504,15.094,6512.437
37,2029.283,4147.346,15.200,6191.829
38,2168.970,4551.159,15.236,6735.365
39,2080.315,4499.889,15.122,6595.325
40,2107.285,4438.196,14.720,6560.201
41,2176.827,4504.608,14.708,6696.143
42,2261.056,4386.838,15.439,6663.333
43,2215.806,4584.363,14.883,6815.051
44,2104.702,4433.062,15.069,6552.833
45,2059.302,4580.806,15.456,6655.564
46,2059.715,4359.964,14.951,6434.630
47,2006.323,4547.767,14.804,6568.894
48,2115.939,4523.705,14.737,6654.381
49,2069.187,4592.831,15.419,6677.436
50,1995.591,4469.356,15.103,6480.050
51,2198.510,4551.865,15.385,6765.760
52,2090.707,4575.304,15.336,6681.346
53,2146.952,4476.043,15.471,6638.466
54,2054.046,4595.895,15.220,6665.161
55,2043.502,4607.442,15.319,6666.264
56,2003.879,4779.152,15.162,6798.193
57,2048.026,4573.590,14.658,6636.274
58,2070.195,4547.628,15.003,6632.826
59,2041.743,4529.520,15.417,6586.681
60,2164.708,4458.949,15.135,6638.791
61,2249.830,4535.949,16.140,6801.919
62,2110.830,4574.000,15.400,6700.230
63,2109.933,4471.219,15.210,6596.362
64,2156.733,4442.905,15.310,6614.948
65,2092.056,4537.904,15.412,6645.371
66,2130.828,4671.539,15.308,6817.675
67,2133.751,4531.202,14.962,6679.914
68,2136.454,4469.825,14.654,6620.933
69,2265.684,4511.147,14.769,6791.600
70,2151.487,4449.058,15.383,6615.929
71,2243.099,4544.924,15.271,6803.294
72,2213.454,4570.069,15.084,6798.607
73,2184.770,4398.382,15.271,6598.423
74,2256.842,4640.137,14.903,6911.882
75,2156.437,4496.566,15.025,6668.028
76,2164.603,4488.545,15.249,6668.397
77,2203.144,4445.009,15.173,6663.326
78,2236.240,4568.563,15.000,6819.803
79,2253.969,4634.187,15.131,6903.287
80,2171.952,4464.209,16.018,6652.179
81,2101.111,4446.525,15.359,6562.996
82,2084.475,4436.430,15.292,6536.197
83,2009.384,4484.565,15.386,6509.335
84,2028.444,4665.866,14.685,6708.994
85,1955.263,4670.663,15.209,6641.135
86,2017.295,4478.665,15.218,6511.178
87,2072.996,4646.964,14.752,6734.712
88,2196.085,4663.879,15.317,6875.281
89,2241.526,4509.153,15.391,6766.069
90,2243.765,4485.457,15.129,6744.350
91,2132.391,4439.699,15.176,6587.266
92,2125.861,4500.123,15.090,6641.074
93,2171.317,4495.777,15.210,6682.304
94,2124.307,4523.861,14.963,6663.130
95,2144.879,4490.996,15.051,6650.927
96,2156.822,4462.454,15.136,6634.411
97,2147.113,4500.441,14.944,6662.498
98,2151.050,4511.243,15.095,6677.388
99,2138.222,4360.145,15.283,6513.650
100,2161.307,4650.229,15.258,6826.793
101,2104.503,4437.186,15.189,6556.877
102,2136.180,4578.730,15.234,6730.144
103,2125.200,4529.909,15.084,6670.193
104,2121.390,4506.605,15.009,6643.005
105,2193.196,4524.388,15.359,6732.943
106,2124.705,4636.468,15.176,6776.348
107,2195.839,4543.998,15.353,6755.190
108,2069.486,4690.939,15.140,6775.565
109,2169.879,4507.317,15.423,6692.619
110,2105.035,4504.622,21.538,6631.195
111,2116.952,4599.166,15.343,6731.462
112,2084.200,4651.012,15.189,6750.400
113,2139.229,4526.943,15.450,6681.622
114,2171.521,4465.323,15.127,6651.971
115,2123.735,4536.541,15.206,6675.482
116,2173.813,4552.446,15.423,6741.682
117,2082.789,4487.715,14.983,6585.487
118,2205.658,4439.423,15.192,6660.273
119,2098.951,4426.707,15.308,6540.966
120,2073.622,4449.661,15.014,6538.296
121,2149.374,4505.765,15.554,6670.694
122,2181.304,4576.758,15.105,6773.167
123,2185.665,4530.059,15.142,6730.867
124,2151.737,4367.529,15.342,6534.608
125,2189.022,4524.338,14.847,6728.206
126,2181.595,4499.406,14.964,6695.966
127,2071.238,4453.151,14.888,6539.277
128,2102.196,4362.349,14.751,6479.296
129,2101.161,4464.518,14.855,6580.534
130,1987.989,4407.564,15.484,6411.038
131,2031.342,4506.889,14.713,6552.945
132,2116.090,4555.183,14.664,6685.937
133,2149.654,4494.437,14.878,6658.968
134,2200.311,4583.835,14.703,6798.849
135,2195.420,4491.397,14.893,6701.710
136,2161.024,4376.165,14.653,6551.842
137,2265.173,4624.957,14.964,6905.094
138,2190.580,4588.371,15.044,6793.995
139,2209.491,4578.385,14.982,6802.859
140,2177.721,4459.594,14.917,6652.233
141,2225.329,4394.482,15.203,6635.015
142,2134.903,4551.858,15.267,6702.029
143,2090.245,4399.266,15.148,6504.659
144,2017.511,4440.667,14.982,6473.161
145,2082.697,4254.125,15.186,6352.008
146,2096.212,4472.711,15.072,6583.994
147,2122.848,4304.301,15.273,6442.422
148,2252.354,4490.320,14.751,6757.425
149,2242.332,4454.801,14.588,6711.721
150,2230.389,4499.544,14.922,6744.855
151,2160.597,4420.629,15.413,6596.640
152,2153.073,4391.239,14.686,6558.999
153,2058.765,4586.281,15.040,6660.086
154,2215.948,4442.489,14.783,6673.220
155,2089.626,4411.008,14.723,6515.357
156,2066.172,4191.240,14.936,6272.348
157,2063.340,4275.615,14.810,6353.766
158,2088.618,4378.079,15.425,6482.123
159,2074.217,4341.677,15.309,6431.203
160,2058.375,4523.432,14.976,6596.783
161,2079.801,4400.417,14.574,6494.792
162,2091.064,4486.861,15.134,6593.060
163,2217.331,4549.598,15.047,6781.975
164,2190.889,4462.977,14.795,6668.661
165,2260.243,4535.745,14.989,6810.977
166,2224.120,4618.351,14.551,6857.023
167,2164.858,4544.947,14.940,6724.745
