step,fwd_ms,bwd_ms,opt_ms,total_ms
0,2381.945,9750.110,60.011,12192.066
1,2284.200,9591.225,14.986,11890.410
2,2221.646,9591.115,15.416,11828.178
3,2132.538,9546.370,14.953,11693.860
4,2105.638,9378.826,14.851,11499.314
5,2195.557,9377.637,15.121,11588.316
6,2136.594,9548.874,14.787,11700.255
7,2104.792,9486.780,14.771,11606.343
8,2037.499,9490.524,15.129,11543.152
9,1997.591,9779.889,14.603,11792.084
10,2051.847,9629.818,14.869,11696.533
11,2125.548,9633.807,15.238,11774.593
12,2127.564,9587.639,14.764,11729.968
13,2152.396,9609.043,14.845,11776.283
14,2119.530,9710.785,14.873,11845.188
15,2121.437,9635.904,14.531,11771.873
16,2144.541,9455.894,14.701,11615.137
17,2166.902,9578.898,14.742,11760.542
18,2164.180,9539.129,14.675,11717.983
19,2240.995,9611.902,14.804,11867.702
20,2105.120,9544.217,15.138,11664.475
21,2139.622,9611.281,14.563,11765.465
22,2187.360,9653.717,14.929,11856.006
23,2144.111,9470.548,14.797,11629.456
24,2146.779,9586.317,14.654,11747.750
25,2127.850,9653.379,15.260,11796.489
26,2143.997,9452.743,15.062,11611.803
27,2193.853,9630.692,14.769,11839.315
28,2049.755,9520.982,14.558,11585.295
29,2070.822,9689.553,14.731,11775.106
30,2068.545,9558.062,15.473,11642.080
31,2085.247,9513.003,15.228,11613.478
32,2119.539,9586.962,14.778,11721.279
33,2161.617,9586.539,15.144,11763.301
34,2121.716,9703.598,14.772,11840.086
35,2119.739,9551.372,14.981,11686.092
36,2138.264,9531.545,15.150,11684.959
37,2118.778,9742.224,15.144,11876.146
38,2173.429,9567.984,14.969,11756.382
39,2192.242,9533.857,14.513,11740.611
40,2265.175,9570.316,14.766,11850.257
41,2258.086,9474.593,14.982,11747.661
42,2138.341,9677.781,14.909,11831.032
43,2110.157,9635.852,14.818,11760.828
44,2158.652,9482.651,15.414,11656.717
45,2131.385,9647.557,15.325,11794.267
46,2232.933,9602.976,14.589,11850.497
47,2254.256,9605.146,14.931,11874.333
48,2263.583,9493.133,14.824,11771.541
49,2129.341,9560.729,14.743,11704.813
50,2252.654,9641.942,15.035,11909.631
51,2126.889,9658.930,14.803,11800.622
52,2121.542,9496.765,14.849,11633.157
53,2139.020,9580.469,15.311,11734.800
54,2184.522,9601.702,14.829,11801.054
55,2170.962,9543.570,14.898,11729.430
56,2131.752,9651.130,15.421,11798.303
57,2169.913,9497.138,14.835,11681.887
58,2157.127,9487.987,15.268,11660.381
59,2143.428,9602.545,15.337,11761.310
60,2065.317,9602.807,15.308,11683.433
61,2139.847,9600.387,15.289,11755.523
62,2216.687,9542.044,14.554,11773.285
63,2115.167,9628.736,15.047,11758.951
64,2163.613,9548.583,14.977,11727.173
65,2133.961,9523.223,15.532,11672.716
66,2125.174,9363.171,14.539,11502.885
67,2066.356,9546.933,14.559,11627.848
68,2103.543,9434.896,14.998,11553.438
69,2076.611,9583.116,14.594,11674.320
70,2090.873,9489.984,15.084,11595.940
71,2129.482,9475.449,14.809,11619.740
72,2147.580,9350.132,15.355,11513.067
73,2279.662,9514.287,14.783,11808.732
74,2136.533,9430.343,15.341,11582.218
