step,loss
0,2.364031
1,2.701080
2,2.772660
3,3.353727
4,3.431720
5,4.445402
6,3.934659
7,3.656138
8,3.821273
9,3.982067
10,3.461401
11,2.644441
12,2.488178
13,2.765657
14,3.025990
15,2.565163
16,2.602889
17,4.092724
18,2.690917
19,2.085625
20,2.386107
21,2.209983
22,2.128860
23,2.252213
24,2.079406
25,2.327149
26,2.211550
27,1.987138
28,2.282489
29,2.125137
30,2.041786
31,2.428916
32,2.047902
33,2.029814
34,2.315079
35,2.088087
36,1.970366
37,2.079471
38,2.237823
39,2.262722
40,2.353378
41,1.879562
42,2.161034
43,1.925063
44,1.948806
45,2.324751
46,1.757829
47,1.955186
48,1.911598
49,1.959154
50,1.821799
51,1.843750
52,1.895735
53,1.962734
54,1.985819
55,1.913475
56,1.895997
57,1.964610
58,2.074744
59,1.812381
60,2.076139
61,1.968299
62,1.880691
63,1.866497
64,1.834409
65,1.785653
66,1.886451
67,1.835650
68,1.711011
69,1.923743
70,2.007259
71,1.791305
72,1.977463
73,2.032184
74,1.838240
75,2.036038
76,1.881427
77,1.736697
78,2.031269
79,1.859673
80,1.913251
81,1.834283
82,1.793295
83,1.715668
84,1.782685
85,1.799063
86,1.771806
87,1.682195
88,1.885898
89,1.667815
90,1.674217
91,1.752575
92,1.624214
93,1.711443
94,1.630383
95,1.765278
96,1.606806
97,1.800855
98,1.662732
99,1.700854
100,1.640895
101,1.673168
102,1.682923
103,1.695670
104,1.606132
105,1.814908
106,1.584868
107,1.865083
108,1.679156
109,1.601769
110,1.625471
111,1.604330
112,1.633415
113,1.633509
114,1.563777
115,1.652451
116,1.595794
117,1.524482
118,1.639499
119,1.775398
120,1.575515
121,1.692959
122,1.619587
123,1.456269
124,1.530524
125,1.403997
126,1.737529
127,1.550380
128,1.574844
129,1.402312
130,1.770400
131,1.675876
132,1.564035
133,1.655439
134,1.646472
135,1.632459
136,1.547086
137,1.527114
138,1.575568
139,1.560520
140,1.433301
141,1.575877
142,1.459275
143,1.563626
144,1.481874
145,1.542699
146,1.560277
147,1.444502
148,1.549713
149,1.480663
150,1.495585
151,1.551595
152,1.603750
153,1.609343
154,1.552644
155,1.422873
156,1.449289
157,1.320435
158,1.502005
159,1.419096
160,1.450831
161,1.198402
162,1.460152
163,1.455217
164,1.346934
165,1.542843
166,1.436867
167,1.421943
168,1.550479
169,1.451695
170,1.656754
171,1.567253
172,1.583014
173,1.524651
174,1.388003
175,1.421534
176,1.461092
177,1.528726
178,1.520479
179,1.459721
180,1.357888
181,1.347479
182,1.404200
183,1.497080
184,1.452595
185,1.158613
186,1.506502
187,1.476332
188,1.281307
189,1.545203
190,1.420056
191,1.462107
192,1.316317
193,1.384266
194,1.601774
195,1.351806
196,1.360662
197,1.305695
198,1.481726
199,1.387417
