step,grad_l2
0,3.524522
1,7.823475
2,5.826011
3,5.397769
4,9.676489
5,7.030601
6,5.293682
7,7.002540
8,7.267576
9,3.257641
10,5.846628
11,7.492589
12,7.639181
13,3.117689
14,4.457942
15,2.019132
16,30.746815
17,4.542946
18,4.884726
19,4.113534
20,3.034099
21,3.965475
22,2.926904
23,1.894828
24,1.723358
25,1.514374
26,1.177800
27,1.322295
28,1.508457
29,1.408735
30,1.347342
31,0.927885
32,1.266593
33,0.534697
34,0.711548
35,0.674192
36,0.605506
37,0.494188
38,0.620702
39,0.646151
40,0.407073
41,0.738489
42,0.514233
43,1.001689
44,0.385123
45,0.427181
46,0.583400
47,0.592789
48,0.634630
49,0.515896
50,0.398678
51,0.368190
52,0.528576
53,0.456272
54,0.508998
55,0.553969
56,0.437994
57,0.625257
58,0.347676
59,0.462188
60,0.431196
61,0.523962
62,0.538146
63,0.435479
64,0.681597
65,0.545512
66,0.367157
67,0.842429
68,0.570931
69,0.504971
70,0.678755
71,0.556900
72,0.478902
73,0.481338
74,0.535824
75,0.608365
76,0.532093
77,0.444005
78,0.493844
79,0.664689
80,0.527850
81,0.733771
82,0.500340
83,0.733027
84,0.551514
85,0.621874
86,0.717372
87,0.590102
88,0.645425
89,0.681600
90,0.821451
91,0.850706
92,0.836111
93,1.075553
94,0.879549
95,0.619342
96,0.749405
97,0.813732
98,0.543864
99,0.820061
100,0.650451
101,0.715706
102,0.828883
103,0.558403
104,0.693162
105,0.803017
106,0.739079
107,0.735962
108,0.765841
109,0.833889
110,0.751189
111,0.828424
112,0.736936
113,0.913688
114,0.680829
115,0.787079
116,0.792430
117,0.881156
118,0.832593
119,0.824724
120,0.818138
121,0.688139
122,0.836882
123,1.005633
124,0.752266
125,0.700438
126,0.760607
127,0.922828
128,0.956759
129,0.580594
130,0.803336
131,0.814909
132,0.618503
133,0.691358
134,0.605846
135,0.808770
136,0.957276
137,0.670529
138,0.925564
139,0.811712
140,0.877264
141,0.877008
142,0.838473
143,0.819092
144,0.983249
145,0.913576
146,0.796979
147,0.804527
148,0.877225
149,0.842990
150,0.716531
151,0.703034
152,0.860344
153,1.097871
154,0.893117
155,1.219323
156,0.825072
157,0.784327
158,0.888158
159,1.024719
160,0.966655
161,0.875514
162,0.876038
163,0.720630
164,0.808923
165,1.386459
166,1.012455
167,0.776035
168,0.920803
169,0.985199
170,0.750243
171,1.046611
172,0.753255
173,1.186827
174,0.971495
175,0.904281
176,0.814822
177,0.646125
178,0.791573
179,0.803648
180,0.854992
181,1.105499
182,1.026314
183,0.892113
184,0.863473
185,0.919302
186,1.018257
187,0.711351
188,0.972683
189,0.915751
190,0.919896
191,0.864737
192,0.952790
193,0.798518
194,0.939083
195,0.923332
196,0.993632
197,1.005012
198,1.016020
199,1.093531
