step,loss
0,2.423275
1,2.886190
2,3.467362
3,3.998424
4,4.127609
5,4.399698
6,3.887104
7,3.602378
8,3.044813
9,3.636942
10,3.913456
11,3.340375
12,4.620743
13,5.073534
14,4.026460
15,3.065873
16,3.508523
17,4.194268
18,2.632778
19,2.950281
20,2.706543
21,2.642480
22,2.539923
23,2.541966
24,2.806581
25,2.525127
26,2.399347
27,2.363206
28,2.666348
29,2.269471
30,2.677501
31,2.349086
32,2.282209
33,2.177779
34,2.077525
35,2.180486
36,2.325311
37,2.129851
38,2.056221
39,1.980858
40,2.102224
41,1.984204
42,2.167764
43,2.117506
44,1.999897
45,2.112761
46,1.949784
47,2.050471
48,2.046904
49,1.965653
50,1.938793
51,2.073279
52,2.030376
53,1.939175
54,2.091517
55,2.001891
56,1.923964
57,2.130831
58,2.002803
59,1.890524
60,2.164910
61,2.081842
62,2.101730
63,1.938678
64,1.887319
65,2.053306
66,1.988790
67,1.864762
68,1.907709
69,1.967119
70,1.900465
71,1.874521
72,1.951930
73,1.997798
74,1.864720
75,2.061865
76,1.786366
77,1.887996
78,1.983287
79,1.840131
80,1.919323
81,1.808982
82,1.917601
83,1.910855
84,1.735126
85,1.788429
86,1.832627
87,1.794252
88,1.866448
89,1.787011
90,1.669054
91,1.731142
92,1.810401
93,1.846804
94,1.774518
95,1.752954
96,1.844658
97,1.754813
98,1.756008
99,1.745816
100,1.819198
101,1.828514
102,1.997118
103,1.699427
104,1.867687
105,1.759222
106,2.014848
107,1.807975
108,1.668738
109,1.583070
110,1.693750
111,1.662742
112,1.661806
113,1.633033
114,1.754922
115,1.657256
116,1.605980
117,1.706306
118,1.776973
119,1.747141
120,1.588058
121,1.688343
122,1.813759
123,1.660127
124,1.645698
125,1.695645
126,1.677781
127,1.758020
128,1.854043
129,1.609788
130,1.747123
131,1.710598
132,1.529078
133,1.624301
134,1.625974
135,1.784321
136,1.628117
137,1.535362
138,1.603743
139,1.508979
140,1.659212
141,1.474894
142,1.585838
143,1.562029
144,1.683237
145,1.517661
146,1.684297
147,1.644889
148,1.725954
149,1.710142
150,1.724077
151,1.426669
152,1.588070
153,1.550974
154,1.709397
155,1.637651
156,1.546944
157,1.572764
158,1.649220
159,1.668678
160,1.513359
161,1.592895
162,1.506117
163,1.463550
164,1.667648
165,1.460084
166,1.665324
167,1.322392
168,1.646296
169,1.518073
170,1.542814
171,1.540583
172,1.560787
173,1.433959
174,1.571415
175,1.475814
176,1.541310
177,1.680848
178,1.643970
179,1.436289
180,1.367140
181,1.634481
182,1.546551
183,1.448158
184,1.403589
185,1.543896
186,1.400225
187,1.430916
188,1.464802
189,1.476128
190,1.372748
191,1.513688
192,1.536555
193,1.468455
194,1.472773
195,1.427261
196,1.390693
197,1.505837
198,1.572805
199,1.633389
