step_seq,bucket_seq,n_chunks,recv_count,decision,nbytes,to_bytes_ms,stage_ms,threads_ms,send_ms,recv_ms,finalize_ms,average_ms,from_numpy_ms,total_ms,hook_total_ms
0,0,2729,2675,3,44695848,24.646,3.534,146.097,145.637,136.954,1.537,69.197,8.347,220.367,262.979
1,0,2729,2685,3,44695848,23.949,3.334,64.824,7.858,56.611,1.539,69.655,6.970,139.355,180.259
2,0,2729,2675,3,44695848,24.798,3.473,150.449,150.172,141.924,1.142,70.607,7.996,225.673,268.700
3,0,2729,2675,3,44695848,2.966,3.267,238.708,238.391,230.739,1.184,45.384,2.771,288.545,299.531
4,0,2729,2676,3,44695848,2.627,3.107,329.321,328.982,321.720,1.327,68.911,8.133,402.668,423.274
5,0,2729,2683,3,44695848,24.073,3.347,65.843,65.569,57.708,1.187,69.162,6.963,139.542,180.292
6,0,2729,2676,3,44695848,23.523,3.080,65.720,8.399,56.978,1.386,69.307,6.952,139.496,179.722
7,0,2729,2681,3,44695848,23.401,3.021,65.289,8.254,56.890,1.441,70.612,6.966,140.365,180.466
8,0,2729,2685,3,44695848,2.595,3.098,64.338,7.979,56.030,1.579,69.283,6.903,138.301,158.233
9,0,2729,2688,3,44695848,2.589,3.072,65.245,8.003,56.886,1.521,45.410,2.707,115.251,125.935
10,0,2729,2682,3,44695848,2.590,3.117,65.580,8.225,57.214,1.136,70.025,7.088,139.859,160.304
11,0,2729,2679,3,44695848,23.950,2.990,64.962,8.018,56.622,1.150,69.102,6.926,138.207,178.889
12,0,2729,2680,3,44695848,24.156,3.140,64.363,63.995,58.866,1.193,68.730,6.868,137.428,178.644
13,0,2729,2680,3,44695848,23.393,3.017,65.432,8.328,56.750,1.130,70.801,7.015,140.382,180.585
14,0,2729,2689,3,44695848,2.605,3.101,64.675,7.791,56.763,1.112,70.025,6.951,138.915,158.971
15,0,2729,2677,3,44695848,24.142,3.050,62.708,33.970,57.243,1.148,68.635,6.956,135.544,176.689
16,0,2729,2676,3,44695848,24.418,3.103,125.851,125.508,117.573,1.137,68.595,8.157,198.688,240.747
17,0,2729,2678,3,44695848,24.360,3.381,65.864,8.203,57.524,1.166,68.864,6.754,139.277,179.694
18,0,2729,2690,3,44695848,24.446,3.424,64.587,34.713,59.122,1.346,68.589,6.956,137.949,179.531
19,0,2729,2675,3,44695848,23.704,3.030,64.707,8.004,56.527,1.146,70.817,6.964,139.703,180.082
20,0,2729,2676,3,44695848,2.641,3.126,82.759,82.437,74.313,1.147,69.200,8.061,156.234,176.980
21,0,2729,2675,3,44695848,2.569,3.055,326.772,326.442,318.271,1.214,18.256,2.826,349.299,359.854
22,0,2729,2675,3,44695848,2.957,3.387,65.199,7.615,57.172,1.133,69.016,6.949,138.737,159.296
23,0,2729,2681,3,44695848,24.334,3.340,64.770,8.294,56.283,1.395,67.521,6.751,137.028,177.310
24,0,2729,2684,3,44695848,23.514,3.390,64.036,8.089,55.809,1.125,69.165,7.014,137.717,178.091
25,0,2729,2675,3,44695848,24.126,3.058,74.973,74.636,66.584,1.192,70.677,7.750,149.903,191.887
26,0,2729,2675,3,44695848,24.113,3.455,65.652,8.128,57.300,1.173,66.660,6.687,136.942,176.878
27,0,2729,2677,3,44695848,24.260,3.343,64.720,8.211,56.356,1.594,68.785,6.657,138.445,178.541
28,0,2729,2689,3,44695848,2.966,3.389,63.915,7.938,55.604,1.094,68.509,6.921,136.909,157.063
29,0,2729,2688,3,44695848,24.283,3.338,65.854,65.522,57.177,1.166,67.062,6.819,137.423,177.660
30,0,2729,2675,3,44695848,23.474,3.088,65.390,8.014,57.215,1.159,69.140,6.980,138.780,178.876
31,0,2729,2675,3,44695848,24.407,3.064,109.277,108.927,100.863,1.326,70.523,8.127,184.193,226.267
32,0,2729,2683,3,44695848,24.376,3.444,66.087,8.316,57.371,1.395,68.864,6.963,139.792,180.938
