step,grad_l2
0,3.456118
1,5.410080
2,5.753814
3,8.035499
4,7.045119
5,7.384794
6,5.507219
7,8.021748
8,5.937025
9,4.056952
10,4.983181
11,3.033080
12,2.513874
13,13.068844
14,4.361889
15,2.603712
16,9.702487
17,2.053195
18,2.753423
19,2.066997
20,1.589054
21,4.061179
22,1.413413
23,2.353309
24,1.760739
25,0.812327
26,1.629541
27,1.266009
28,1.576325
29,1.499185
30,0.778332
31,1.788646
32,0.814711
33,1.627106
34,0.555087
35,0.902349
36,1.062126
37,1.129509
38,0.898795
39,1.060449
40,0.976401
41,0.613490
42,0.492333
43,0.679895
44,0.774189
45,0.901239
46,0.905651
47,0.807360
48,0.750876
49,0.559245
50,0.794593
51,0.701364
52,0.903456
53,0.547375
54,0.937347
55,0.626001
56,0.848154
57,0.540329
58,0.639007
59,0.717464
60,0.865139
61,0.913875
62,0.989677
63,0.817521
64,0.782151
65,1.072502
66,0.876567
67,1.414691
68,0.899191
69,0.891694
70,0.969756
71,1.622759
72,0.965891
73,0.803172
74,0.803137
75,1.024008
76,0.892075
77,0.713755
78,1.084390
79,0.922808
80,0.900541
81,1.077096
82,1.196387
83,1.049617
84,1.014083
85,0.860360
86,0.842288
87,0.691845
88,0.678214
89,0.880012
90,0.755618
91,0.804675
92,0.912003
93,0.984368
94,0.911208
95,1.139295
96,1.172813
97,0.949016
98,0.818157
99,0.896375
100,0.955012
101,0.732033
102,1.292585
103,0.964191
104,0.974778
105,1.337446
106,0.958872
107,0.796878
108,1.134864
109,1.057841
110,0.868742
111,0.702055
112,1.047594
113,0.904548
114,0.954866
115,0.915575
116,0.811972
117,1.036279
118,0.748331
119,1.350586
120,1.040588
121,1.138165
122,1.058921
123,1.235407
124,1.059512
125,1.359936
126,1.208873
127,1.037110
128,1.112946
129,1.124879
130,1.039584
131,1.081083
132,0.716962
133,0.883277
134,1.083131
135,1.324990
136,1.182732
137,1.042501
138,0.904298
139,0.973773
140,1.262874
141,1.083077
142,1.337839
143,1.195778
144,1.280487
145,1.363619
146,1.083629
147,1.117240
148,1.284741
149,0.957457
150,0.790577
151,1.081906
152,1.099399
153,1.062584
154,0.971038
155,1.067625
156,1.374033
157,1.188952
158,1.246176
159,1.485004
160,1.166112
161,1.250878
162,1.132344
163,0.963484
164,1.070838
165,1.516118
166,1.060769
167,1.290925
168,1.178739
169,1.108339
170,1.078800
171,1.052021
172,0.996760
173,1.074143
174,1.091336
175,1.243586
176,1.254024
177,1.204182
178,1.487046
179,1.111328
180,0.991918
181,1.009815
182,1.052557
183,1.080639
184,1.031155
185,0.937258
186,1.140015
187,1.175014
188,1.086528
189,1.014083
190,1.020242
191,1.260819
192,1.201255
193,1.240569
194,1.261906
195,1.087542
196,1.067048
197,1.059482
198,1.144763
199,1.128195
