step,loss
0,2.364031
1,2.700363
2,2.765774
3,3.336811
4,3.410828
5,4.535712
6,3.849859
7,3.813769
8,3.399961
9,3.716475
10,3.084102
11,3.147038
12,2.793731
13,3.113770
14,3.282464
15,2.800597
16,3.510614
17,3.482022
18,2.846112
19,2.516250
20,2.891905
21,2.836818
22,2.852216
23,2.930074
24,3.201511
25,2.201292
26,2.721107
27,2.186821
28,2.466511
29,2.286596
30,2.094045
31,2.469483
32,2.156422
33,2.277531
34,2.123334
35,2.050192
36,2.216600
37,2.143442
38,2.060665
39,2.110739
40,2.224115
41,1.908846
42,2.070574
43,2.030313
44,2.020783
45,2.038909
46,1.815410
47,1.828940
48,1.817447
49,1.886559
50,1.871301
51,1.817556
52,1.989910
53,1.955914
54,2.012130
55,1.889190
56,1.925864
57,1.948014
58,2.008627
59,1.844133
60,1.953525
61,1.986512
62,1.898902
63,1.742523
64,1.800428
65,1.810057
66,1.907431
67,2.087191
68,1.827043
69,1.956932
70,1.904355
71,1.819693
72,1.947873
73,1.952035
74,2.001523
75,1.936794
76,1.814514
77,1.752632
78,1.933638
79,1.830835
80,1.825328
81,1.825454
82,1.687156
83,1.770350
84,1.764857
85,1.838065
86,1.813412
87,1.712311
88,1.803395
89,1.738469
90,1.644434
91,1.784227
92,1.622820
93,1.770656
94,1.626004
95,1.809864
96,1.625196
97,1.786390
98,1.710421
99,1.746397
100,1.685333
101,1.717338
102,1.824336
103,1.710828
104,1.616409
105,1.789590
106,1.585775
107,1.837042
108,1.710834
109,1.540878
110,1.600574
111,1.558227
112,1.706652
113,1.634007
114,1.524604
115,1.538387
116,1.564581
117,1.569944
118,1.617413
119,1.832899
120,1.530805
121,1.665695
122,1.564664
123,1.478726
124,1.491245
125,1.440441
126,1.696338
127,1.495420
128,1.600695
129,1.497444
130,1.672023
131,1.638940
132,1.570462
133,1.636728
134,1.649362
135,1.635364
136,1.592314
137,1.511339
138,1.496322
139,1.521718
140,1.481212
141,1.622930
142,1.543549
143,1.532685
144,1.529440
145,1.542320
146,1.500508
147,1.383070
148,1.593400
149,1.496321
150,1.506274
151,1.529693
152,1.599682
153,1.643056
154,1.566146
155,1.442659
156,1.408037
157,1.273934
158,1.409537
159,1.383855
160,1.397482
161,1.180550
162,1.378706
163,1.493552
164,1.369233
165,1.598661
166,1.454086
167,1.464484
168,1.533091
169,1.429772
170,1.564075
171,1.577288
172,1.554820
173,1.634252
174,1.360934
175,1.509521
176,1.460553
177,1.486478
178,1.504960
179,1.500393
180,1.342337
181,1.337015
182,1.451049
183,1.472664
184,1.454517
185,1.152182
186,1.517227
187,1.440358
188,1.274570
189,1.486840
190,1.405500
191,1.429320
192,1.395956
193,1.394518
194,1.528973
195,1.371436
196,1.332329
197,1.302248
198,1.396546
199,1.381840
