step,loss
0,2.423275
1,2.886190
2,2.846227
3,3.124010
4,2.842323
5,3.017756
6,3.841243
7,3.155572
8,3.243536
9,3.135904
10,3.126161
11,2.763358
12,3.301407
13,2.663662
14,3.137109
15,2.619880
16,2.838309
17,3.067267
18,2.919668
19,2.515168
20,2.967774
21,2.508646
22,2.450454
23,2.110997
24,2.735405
25,2.126263
26,2.309830
27,2.378221
28,2.495543
29,2.295612
30,2.090763
31,2.064939
32,2.245412
33,2.281433
34,1.929560
35,2.003389
36,2.196287
37,2.320917
38,2.209884
39,2.201467
40,2.044271
41,1.792949
42,2.048224
43,1.938935
44,1.893881
45,1.886444
46,1.854250
47,1.889247
48,1.992563
49,1.856801
50,1.777794
51,1.878054
52,1.796666
53,1.712859
54,2.093776
55,1.842081
56,1.800885
57,1.854442
58,1.890235
59,1.762065
60,2.268479
61,1.968352
62,1.837656
63,1.803755
64,1.825736
65,1.865185
66,1.840800
67,1.692619
68,1.768929
69,1.788023
70,1.745522
71,1.796236
72,2.024317
73,1.860159
74,1.740024
75,1.937733
76,1.700585
77,1.639539
78,1.909882
79,1.690957
80,1.936047
81,1.691413
82,1.720197
83,1.818001
84,1.659150
85,1.765619
86,1.789072
87,1.605738
88,1.742643
89,1.690725
90,1.648325
91,1.708735
92,1.768765
93,1.715074
94,1.560609
95,1.770579
96,1.682951
97,1.589003
98,1.598529
99,1.601989
100,1.588241
101,1.740435
102,1.860299
103,1.653370
104,1.611926
105,1.546315
106,1.767214
107,1.705296
108,1.620279
109,1.459372
110,1.636861
111,1.408537
112,1.468341
113,1.489041
114,1.668516
115,1.670805
116,1.505102
117,1.609030
118,1.731628
119,1.577683
120,1.625607
121,1.566242
122,1.765684
123,1.518206
124,1.561045
125,1.564360
126,1.850767
127,1.529345
128,1.665025
129,1.497625
130,1.550820
131,1.673264
132,1.441151
133,1.518250
134,1.577977
135,1.671636
136,1.493170
137,1.454501
138,1.483738
139,1.388352
140,1.657573
141,1.411505
142,1.367315
143,1.474937
144,1.513636
145,1.479100
146,1.605082
147,1.535830
148,1.572350
149,1.626728
150,1.704709
151,1.320130
152,1.440102
153,1.497256
154,1.666430
155,1.625391
156,1.489051
157,1.511189
158,1.585889
159,1.533321
160,1.446623
161,1.523281
162,1.452432
163,1.415336
164,1.497306
165,1.335886
166,1.658689
167,1.227514
168,1.466187
169,1.436939
170,1.567036
171,1.512113
172,1.398637
173,1.322457
174,1.392289
175,1.369435
176,1.423204
177,1.711411
178,1.535977
179,1.360151
180,1.293269
181,1.565019
182,1.505070
183,1.387073
184,1.361572
185,1.452286
186,1.467944
187,1.487423
188,1.430504
189,1.414471
190,1.361756
191,1.508257
192,1.418367
193,1.377164
194,1.380738
195,1.403965
196,1.333386
197,1.495192
198,1.559494
199,1.489986
