step,fwd_ms,bwd_ms,opt_ms,total_ms
0,2376.710,4542.507,40.645,6959.862
1,2235.524,4371.523,15.521,6622.568
2,2240.110,4409.744,14.754,6664.607
3,2181.351,4329.847,15.317,6526.514
4,2133.846,4360.179,14.915,6508.940
5,2234.464,4293.046,14.863,6542.373
6,2410.485,4268.186,14.653,6693.324
7,2263.252,4328.442,14.845,6606.540
8,2156.770,4279.378,14.772,6450.919
9,2163.118,4470.892,15.024,6649.034
10,2049.617,4154.377,15.027,6219.021
11,2518.863,4162.483,14.864,6696.210
12,2278.529,4182.242,14.883,6475.653
13,2538.888,4160.847,14.922,6714.657
14,2285.235,4314.294,14.903,6614.431
15,2418.070,4443.363,14.896,6876.330
16,2472.867,4719.286,14.673,7206.826
17,2127.046,4399.741,15.008,6541.796
18,2202.007,4201.740,14.755,6418.502
19,2387.517,4194.337,14.719,6596.573
20,2385.411,4169.372,15.033,6569.816
21,2559.290,4192.872,14.722,6766.884
22,2505.998,4157.816,14.857,6678.671
23,2500.807,4260.653,20.232,6781.692
24,2381.994,4232.371,14.764,6629.129
25,2418.194,4516.610,14.865,6949.669
26,2210.090,4209.005,14.786,6433.881
27,2494.949,4096.999,14.789,6606.737
28,2458.711,4267.003,14.817,6740.531
29,2293.632,3977.273,21.459,6292.364
30,2635.099,4212.859,14.747,6862.705
31,2597.567,4135.330,14.880,6747.777
32,2242.553,4190.646,14.782,6447.981
33,2334.791,4240.432,14.714,6589.937
34,2704.664,4358.247,14.573,7077.485
35,2286.183,4238.559,14.878,6539.620
36,2411.721,4600.497,14.888,7027.105
37,2083.240,4061.943,14.718,6159.902
38,2586.600,4103.116,15.006,6704.723
39,2424.623,4213.251,15.016,6652.890
40,2565.055,4428.134,14.707,7007.895
41,2149.009,4269.285,14.671,6432.966
42,2079.393,4274.820,15.028,6369.241
43,2330.958,4426.896,15.187,6773.042
44,2086.589,4552.975,14.844,6654.408
45,2075.142,4202.278,14.709,6292.130
46,2495.007,4303.579,14.737,6813.322
47,2315.692,4286.386,14.719,6616.796
48,2397.665,3970.791,14.892,6383.348
49,2723.125,4278.669,14.758,7016.552
50,2510.790,4462.688,15.019,6988.497
51,2191.953,4526.890,18.795,6737.638
52,2059.222,4420.064,15.049,6494.335
53,2273.261,4102.942,14.875,6391.079
54,2769.180,4144.509,14.855,6928.544
55,2426.186,4119.594,14.732,6560.512
56,2728.269,3996.946,14.813,6740.028
57,2706.712,4126.552,14.721,6847.985
58,2534.676,4645.995,15.432,7196.103
59,1974.154,4274.216,14.752,6263.122
60,2494.676,4348.335,14.587,6857.598
61,2414.304,4653.890,15.414,7083.607
62,2054.695,4150.847,14.684,6220.226
63,2569.859,4151.013,14.687,6735.559
64,2481.665,4136.309,14.840,6632.814
65,2532.421,4460.551,14.837,7007.809
66,2128.084,4171.067,14.860,6314.012
67,2383.972,4070.785,14.812,6469.569
68,2551.993,4269.622,14.634,6836.249
69,2350.245,4235.667,14.725,6600.638
70,2264.152,4464.048,14.927,6743.127
71,2106.572,4146.098,14.874,6267.544
72,2489.908,4646.936,14.828,7151.672
73,2008.204,4484.024,14.638,6506.866
74,1928.148,4109.447,14.769,6052.364
75,2530.043,4112.170,14.750,6656.963
76,2528.775,4463.488,14.602,7006.865
77,2200.139,4492.790,14.592,6707.521
78,1983.890,4312.397,14.806,6311.093
79,2244.841,4235.193,14.776,6494.811
80,2308.799,4162.036,14.974,6485.810
81,2413.194,4035.737,14.592,6463.523
82,2563.099,4205.076,14.862,6783.036
83,2402.662,4154.900,14.940,6572.502
84,2507.020,3960.353,14.829,6482.203
85,2500.939,4177.091,14.718,6692.748
86,2259.869,4000.161,14.912,6274.942
87,2316.681,4188.194,14.767,6519.643
88,2491.329,4204.264,14.479,6710.071
89,2299.281,4369.383,14.979,6683.643
90,2090.071,4152.932,14.928,6257.930
91,2324.854,4210.324,15.050,6550.227
92,2423.160,4409.269,15.365,6847.794
93,1916.331,4318.152,14.664,6249.147
94,2197.327,4166.614,14.474,6378.415
95,2297.679,4214.847,14.774,6527.300
96,2220.056,4196.827,14.684,6431.568
97,2502.784,3858.519,14.761,6376.064
98,2691.619,4565.021,14.863,7271.503
99,2026.602,4111.130,14.668,6152.401
100,2401.960,4578.339,15.423,6995.722
101,1962.467,4114.161,14.819,6091.447
102,2401.075,4260.339,14.715,6676.130
103,2364.611,4028.892,15.024,6408.527
104,2451.500,4258.960,14.756,6725.216
105,2197.245,4357.616,14.608,6569.469
106,2240.740,4243.400,14.774,6498.914
107,2219.061,4190.294,15.016,6424.372
108,2326.760,4075.642,14.612,6417.014
109,2296.779,4061.370,14.835,6372.983
